worker,axis,effect,lower,upper,sign_subtype,qualified,train_rows,train_buildings,train_building_ids,bootstrap_valid,bootstrap_requested,heldout_building
W001,benefit,-1.4848628633598318,-2.1536747656104906,-0.72177076615955105,negative,True,24,10,7y3sRwLe3Va|B6ByNegPMKs|UwV83HsGsw3|X7HyMhZNoso|Z6MFQCViBuw|b8cTxDM8gDG|e9zR4mvMWw7|q9vSo1VnCiC|rPc6DW4iMge|uNb9QFRL6hY|wc2JMjhGNzB|yqstnuAEVhm,200,200,2t7WUuJeko7
W002,benefit,1.1212472385440755,0.39004762551202538,1.7654488317988934,positive,True,22,10,7y3sRwLe3Va|B6ByNegPMKs|UwV83HsGsw3|X7HyMhZNoso|Z6MFQCViBuw|b8cTxDM8gDG|e9zR4mvMWw7|q9vSo1VnCiC|rPc6DW4iMge|uNb9QFRL6hY|wc2JMjhGNzB|yqstnuAEVhm,200,200,2t7WUuJeko7
W006,benefit,-1.2211634510824947,-2.9493219783917,1.2265289475218442,unclassified,True,21,10,7y3sRwLe3Va|B6ByNegPMKs|UwV83HsGsw3|X7HyMhZNoso|Z6MFQCViBuw|b8cTxDM8gDG|e9zR4mvMWw7|q9vSo1VnCiC|rPc6DW4iMge|uNb9QFRL6hY|wc2JMjhGNzB|yqstnuAEVhm,200,200,2t7WUuJeko7
W008,benefit,1.5525058630677087,-0.048065350652844521,3.5012429970588372,unclassified,True,19,10,7y3sRwLe3Va|B6ByNegPMKs|UwV83HsGsw3|X7HyMhZNoso|Z6MFQCViBuw|b8cTxDM8gDG|e9zR4mvMWw7|q9vSo1VnCiC|rPc6DW4iMge|uNb9QFRL6hY|wc2JMjhGNzB|yqstnuAEVhm,200,200,2t7WUuJeko7
W010,benefit,0.22109873272843752,-0.23316430527264229,0.81690669406930627,unclassified,True,21,10,7y3sRwLe3Va|B6ByNegPMKs|UwV83HsGsw3|X7HyMhZNoso|Z6MFQCViBuw|b8cTxDM8gDG|e9zR4mvMWw7|q9vSo1VnCiC|rPc6DW4iMge|uNb9QFRL6hY|wc2JMjhGNzB|yqstnuAEVhm,200,200,2t7WUuJeko7
W011,benefit,-3.0208914142369219,-4.1638288020084984,-1.614621315636126,negative,True,21,11,7y3sRwLe3Va|B6ByNegPMKs|UwV83HsGsw3|X7HyMhZNoso|Z6MFQCViBuw|b8cTxDM8gDG|e9zR4mvMWw7|q9vSo1VnCiC|rPc6DW4iMge|uNb9QFRL6hY|wc2JMjhGNzB|yqstnuAEVhm,200,200,2t7WUuJeko7
W012,benefit,-0.42430562878984612,-1.1287135235654759,0.300696785309509,unclassified,True,20,10,7y3sRwLe3Va|B6ByNegPMKs|UwV83HsGsw3|X7HyMhZNoso|Z6MFQCViBuw|b8cTxDM8gDG|e9zR4mvMWw7|q9vSo1VnCiC|rPc6DW4iMge|uNb9QFRL6hY|wc2JMjhGNzB|yqstnuAEVhm,200,200,2t7WUuJeko7
W013,benefit,0.66106212551991361,-0.35869089181369979,1.4220201536110726,unclassified,True,22,11,7y3sRwLe3Va|B6ByNegPMKs|UwV83HsGsw3|X7HyMhZNoso|Z6MFQCViBuw|b8cTxDM8gDG|e9zR4mvMWw7|q9vSo1VnCiC|rPc6DW4iMge|uNb9QFRL6hY|wc2JMjhGNzB|yqstnuAEVhm,200,200,2t7WUuJeko7
W014,benefit,1.6155522866124075,0.72955642196464332,3.07793331377415,positive,True,21,11,7y3sRwLe3Va|B6ByNegPMKs|UwV83HsGsw3|X7HyMhZNoso|Z6MFQCViBuw|b8cTxDM8gDG|e9zR4mvMWw7|q9vSo1VnCiC|rPc6DW4iMge|uNb9QFRL6hY|wc2JMjhGNzB|yqstnuAEVhm,200,200,2t7WUuJeko7
W015,benefit,0.64982963192283405,-0.43434192783661146,1.7056349187890931,unclassified,True,19,10,7y3sRwLe3Va|B6ByNegPMKs|UwV83HsGsw3|X7HyMhZNoso|Z6MFQCViBuw|b8cTxDM8gDG|e9zR4mvMWw7|q9vSo1VnCiC|rPc6DW4iMge|uNb9QFRL6hY|wc2JMjhGNzB|yqstnuAEVhm,200,200,2t7WUuJeko7
