cohort,model,groups,role,group,n,worker_ids,worker_ids_original,roster_origin
all26,B,2,edit_low,1,5,W006|W011|W021,6|11|19|21|26,full_history_hindsight_NOT_target_holdout
all26,B,2,edit_high,2,21,W001|W002|W008|W010|W012|W013|W014|W015|W017|W018|W027|W028|W029|W030|W031|W032|W033|W034|W035|W036|W037,1|2|8|10|12|13|14|15|17|18|27|28|29|30|31|32|33|34|35|36|37,full_history_hindsight_NOT_target_holdout
all26,B,3,edit_low,1,5,W006|W011|W021,6|11|19|21|26,full_history_hindsight_NOT_target_holdout
all26,B,3,edit_high,3,8,W001|W012|W029|W030|W031|W034|W035|W037,1|12|29|30|31|34|35|37,full_history_hindsight_NOT_target_holdout
all26,B,3,benefit_high,2,13,W002|W008|W010|W013|W014|W015|W017|W018|W027|W028|W032|W033|W036,2|8|10|13|14|15|17|18|27|28|32|33|36,full_history_hindsight_NOT_target_holdout
all26,B,4,edit_low,1,4,W006|W011|W021,6|11|21|26,full_history_hindsight_NOT_target_holdout
all26,B,4,edit_high,4,8,W001|W012|W029|W030|W031|W034|W035|W037,1|12|29|30|31|34|35|37,full_history_hindsight_NOT_target_holdout
all26,B,4,benefit_low,2,1,,19,full_history_hindsight_NOT_target_holdout
all26,B,4,benefit_high,3,13,W002|W008|W010|W013|W014|W015|W017|W018|W027|W028|W032|W033|W036,2|8|10|13|14|15|17|18|27|28|32|33|36,full_history_hindsight_NOT_target_holdout
all26,B,5,edit_low,1,2,W011,11|26,full_history_hindsight_NOT_target_holdout
all26,B,5,edit_high,5,8,W001|W012|W029|W030|W031|W034|W035|W037,1|12|29|30|31|34|35|37,full_history_hindsight_NOT_target_holdout
all26,B,5,benefit_low,3,1,,19,full_history_hindsight_NOT_target_holdout
all26,B,5,benefit_high,4,13,W002|W008|W010|W013|W014|W015|W017|W018|W027|W028|W032|W033|W036,2|8|10|13|14|15|17|18|27|28|32|33|36,full_history_hindsight_NOT_target_holdout
all26,B,6,edit_low,1,2,W011,11|26,full_history_hindsight_NOT_target_holdout
all26,B,6,edit_high,6,5,W001|W031|W034|W035|W037,1|31|34|35|37,full_history_hindsight_NOT_target_holdout
all26,B,6,benefit_low,3,1,,19,full_history_hindsight_NOT_target_holdout
all26,B,6,benefit_high,4,13,W002|W008|W010|W013|W014|W015|W017|W018|W027|W028|W032|W033|W036,2|8|10|13|14|15|17|18|27|28|32|33|36,full_history_hindsight_NOT_target_holdout
all26,B,7,edit_low,1,2,W011,11|26,full_history_hindsight_NOT_target_holdout
all26,B,7,edit_high,7,5,W001|W031|W034|W035|W037,1|31|34|35|37,full_history_hindsight_NOT_target_holdout
all26,B,7,benefit_low,3,1,,19,full_history_hindsight_NOT_target_holdout
all26,B,7,benefit_high,4,4,W008|W014|W028|W033,8|14|28|33,full_history_hindsight_NOT_target_holdout
all26,B,8,edit_low,1,2,W011,11|26,full_history_hindsight_NOT_target_holdout
all26,B,8,edit_high,8,4,W001|W031|W034|W035,1|31|34|35,full_history_hindsight_NOT_target_holdout
all26,B,8,benefit_low,3,1,,19,full_history_hindsight_NOT_target_holdout
all26,B,8,benefit_high,4,4,W008|W014|W028|W033,8|14|28|33,full_history_hindsight_NOT_target_holdout
all26,B,9,edit_low,1,2,W011,11|26,full_history_hindsight_NOT_target_holdout
all26,B,9,edit_high,9,4,W001|W031|W034|W035,1|31|34|35,full_history_hindsight_NOT_target_holdout
all26,B,9,benefit_low,4,1,,19,full_history_hindsight_NOT_target_holdout
all26,B,9,benefit_high,5,4,W008|W014|W028|W033,8|14|28|33,full_history_hindsight_NOT_target_holdout
all26,B,10,edit_low,1,2,W011,11|26,full_history_hindsight_NOT_target_holdout
all26,B,10,edit_high,10,4,W001|W031|W034|W035,1|31|34|35,full_history_hindsight_NOT_target_holdout
all26,B,10,benefit_low,4,1,,19,full_history_hindsight_NOT_target_holdout
all26,B,10,benefit_high,6,1,W028,28,full_history_hindsight_NOT_target_holdout
all26,B,11,edit_low,1,2,W011,11|26,full_history_hindsight_NOT_target_holdout
all26,B,11,edit_high,11,1,W034,34,full_history_hindsight_NOT_target_holdout
all26,B,11,benefit_low,4,1,,19,full_history_hindsight_NOT_target_holdout
all26,B,11,benefit_high,6,1,W028,28,full_history_hindsight_NOT_target_holdout
all26,B,12,edit_low,1,2,W011,11|26,full_history_hindsight_NOT_target_holdout
all26,B,12,edit_high,12,1,W034,34,full_history_hindsight_NOT_target_holdout
all26,B,12,benefit_low,5,1,,19,full_history_hindsight_NOT_target_holdout
all26,B,12,benefit_high,7,1,W028,28,full_history_hindsight_NOT_target_holdout
all26,B,13,edit_low,1,2,W011,11|26,full_history_hindsight_NOT_target_holdout
all26,B,13,edit_high,13,1,W034,34,full_history_hindsight_NOT_target_holdout
all26,B,13,benefit_low,5,1,,19,full_history_hindsight_NOT_target_holdout
all26,B,13,benefit_high,7,1,W028,28,full_history_hindsight_NOT_target_holdout
all26,Q,2,quality_low,1,24,W001|W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W032|W033|W034|W035|W036|W037,1|2|6|8|10|11|12|13|14|15|17|18|21|27|28|29|30|31|32|33|34|35|36|37,full_history_hindsight_NOT_target_holdout
all26,Q,2,quality_high,2,1,,19,full_history_hindsight_NOT_target_holdout
all26,Q,3,quality_low,1,6,W002|W015|W017|W018|W021|W027,2|15|17|18|21|27,full_history_hindsight_NOT_target_holdout
all26,Q,3,quality_high,3,1,,19,full_history_hindsight_NOT_target_holdout
all26,Q,4,quality_low,1,6,W002|W015|W017|W018|W021|W027,2|15|17|18|21|27,full_history_hindsight_NOT_target_holdout
all26,Q,4,quality_high,4,1,,19,full_history_hindsight_NOT_target_holdout
all26,Q,5,quality_low,1,2,W002|W027,2|27,full_history_hindsight_NOT_target_holdout
all26,Q,5,quality_high,5,1,,19,full_history_hindsight_NOT_target_holdout
all26,Q,6,quality_low,1,2,W002|W027,2|27,full_history_hindsight_NOT_target_holdout
all26,Q,6,quality_high,6,1,,19,full_history_hindsight_NOT_target_holdout
all26,Q,7,quality_low,1,1,W002,2,full_history_hindsight_NOT_target_holdout
all26,Q,7,quality_high,7,1,,19,full_history_hindsight_NOT_target_holdout
all26,Q,8,quality_low,1,1,W002,2,full_history_hindsight_NOT_target_holdout
all26,Q,8,quality_high,8,1,,19,full_history_hindsight_NOT_target_holdout
all26,Q,9,quality_low,1,1,W002,2,full_history_hindsight_NOT_target_holdout
all26,Q,9,quality_high,9,1,,19,full_history_hindsight_NOT_target_holdout
all26,Q,10,quality_low,1,1,W002,2,full_history_hindsight_NOT_target_holdout
all26,Q,10,quality_high,10,1,,19,full_history_hindsight_NOT_target_holdout
all26,Q,11,quality_low,1,1,W002,2,full_history_hindsight_NOT_target_holdout
