axis,rows,buildings,workers,baseline_mse,model_mse,relative_improvement,delta_mse,conditional_building_bootstrap_lower,conditional_building_bootstrap_upper
image:complete:singleton,2319,22,24,0.099490001802458358,0.09279647606730633,0.067278375855719719,-0.0066935257351520448,-0.014238718122508555,0.0011029301184570428
image:pair_disagreement,2319,22,24,0.030413578627536231,0.028102448418781626,0.075990077887845953,-0.0023111302087545954,-0.0042418824769416092,-0.00046772810208092861
image:representative:singleton,2319,22,24,0.091155520946796742,0.086308365513445479,0.05317456784850505,-0.0048471554333512851,-0.011769916308746445,0.0021094794158084554
sphere:complete:singleton,2319,22,24,0.098198607369118521,0.091372874498251364,0.069509467127267133,-0.006825732870867152,-0.014490680662456819,0.00078375031384750056
sphere:pair_disagreement,2319,22,24,0.029990030032921156,0.0279456005427801,0.06817030486120923,-0.0020444294901410583,-0.0039651157972468544,-0.00020187817879719811
sphere:representative:singleton,2319,22,24,0.088257091982089905,0.084102341140401896,0.04707554654679913,-0.0041547508416880175,-0.010908175279367851,0.0027808725502595946
