config,metric,nominal_cut,arm_a,arm_b,images,buildings,a_uncovered,b_uncovered,image_equal_delta,building_equal_delta,conditional_building_bootstrap_lower,conditional_building_bootstrap_upper,causal_effect
QTSB_3,image,6,AAAA,AABC,45,14,0.50376438896544307,0.48971872541454858,-0.014045663550894405,-0.021494764512647927,-0.052775990021992458,-0.00024425952235396784,False
QTSB_3,image,6,AAAB,AABC,45,14,0.49295515531772749,0.48971872541454858,-0.0032364299031788996,-0.0067308616975954661,-0.017559224933117252,0.0028595716796072515,False
QTSB_3,image,6,AABB,AABC,45,14,0.48814328589506206,0.48971872541454858,0.0015754395194864386,-0.0014281269219036127,-0.010180067584153114,0.0072760205470333347,False
QTSB_3,image,9,AAAA,AABC,45,14,0.41228602312640361,0.40956831535211824,-0.0027177077742853747,0.0010889037489662894,-0.021654161100858944,0.022206975810308116,False
QTSB_3,image,9,AAAB,AABC,45,14,0.40685831045282017,0.40956831535211824,0.0027100048992980802,0.0052604489380238175,-0.0047058485852517909,0.01578057209158765,False
QTSB_3,image,9,AABB,AABC,45,14,0.40430115755949292,0.40956831535211824,0.0052671577926251692,0.0064840919869196406,-0.00080226829175665711,0.014975456300563824,False
QTSB_3,image,12,AAAA,AABC,45,14,0.36141411083654668,0.36112222335584676,-0.00029188748069996801,0.00078083934082053637,-0.028721636331025265,0.027113713474684803,False
QTSB_3,image,12,AAAB,AABC,45,14,0.35510816024475533,0.36112222335584676,0.0060140631110914824,0.0063256510524640607,-0.0064267709261183513,0.019622490144192921,False
QTSB_3,image,12,AABB,AABC,45,14,0.3513729021871253,0.36112222335584676,0.0097493211687214899,0.0084389655963408999,-0.0012292189965543486,0.019289514876598194,False
QTSB_3,sphere,6,AAAA,AABC,45,14,0.46360166216582949,0.45250797160299311,-0.011093690562836388,-0.013093789608597733,-0.047057702592252268,0.013777185393822442,False
QTSB_3,sphere,6,AAAB,AABC,45,14,0.4541551410932273,0.45250797160299311,-0.0016471694902342169,-0.0014740739569218651,-0.014074978870618005,0.010833696844782593,False
QTSB_3,sphere,6,AABB,AABC,45,14,0.450258354718998,0.45250797160299311,0.0022496168839950784,0.0029196699808116877,-0.0066301909677969582,0.012858237522050004,False
QTSB_3,sphere,9,AAAA,AABC,45,14,0.37809983262033731,0.37703474089352818,-0.0010650917268091092,0.0016641310721331776,-0.023411243943874508,0.024891576268991456,False
QTSB_3,sphere,9,AAAB,AABC,45,14,0.37222651597428019,0.37703474089352818,0.0048082249192480386,0.0062680526705627274,-0.0047840606631325893,0.018394915114895799,False
QTSB_3,sphere,9,AABB,AABC,45,14,0.3687834919514858,0.37703474089352818,0.0082512489420423895,0.0078515386119485022,-0.00036283076726759036,0.018084555104231754,False
QTSB_3,sphere,12,AAAA,AABC,45,14,0.34655151412291629,0.34327343573894814,-0.0032780783839681201,-0.0015322011999237136,-0.026912405372943385,0.022380467917143831,False
QTSB_3,sphere,12,AAAB,AABC,45,14,0.3380484834720065,0.34327343573894814,0.0052249522669416213,0.0053068927328646974,-0.0060496105774154284,0.017522173727062176,False
QTSB_3,sphere,12,AABB,AABC,45,14,0.33347325014539364,0.34327343573894814,0.0098001855935544654,0.0073774212507537809,-0.0019214685975845632,0.0179682608307986,False
QT_3,image,6,AAAA,AABC,45,14,0.49937424468189057,0.49029145626037257,-0.0090827884215180458,-0.012129822784606217,-0.030922559738902181,0.0061064611918231265,False
QT_3,image,6,AAAB,AABC,45,14,0.49174376500725286,0.49029145626037257,-0.0014523087468803421,-0.0041304885396739885,-0.011385782587187695,0.0034959302049277679,False
QT_3,image,6,AABB,AABC,45,14,0.4886775553461416,0.49029145626037257,0.0016139009142310148,-0.0015782124241779647,-0.0065753100871653886,0.0033182005200821174,False
QT_3,image,9,AAAA,AABC,45,14,0.40839864234836415,0.40611510316161337,-0.0022835391867506902,-0.011133823197992844,-0.042089833980177536,0.013512350766255872,False
QT_3,image,9,AAAB,AABC,45,14,0.40670538979508336,0.40611510316161337,-0.0005902866334699207,-0.0066556073953308583,-0.022815557207749054,0.0064640175747912127,False
QT_3,image,9,AABB,AABC,45,14,0.40657113766214142,0.40611510316161337,-0.00045603450052805533,-0.005536889546570012,-0.015378310175781951,0.002819707734879137,False
QT_3,image,12,AAAA,AABC,45,14,0.35930189645671629,0.3579080650147265,-0.0013938314419898795,-0.017260315752301296,-0.068621732836598406,0.01713913607854806,False
QT_3,image,12,AAAB,AABC,45,14,0.35478151913105316,0.3579080650147265,0.0031265458836732714,-0.0064229618922066328,-0.02795990865059432,0.009345433736197532,False
QT_3,image,12,AABB,AABC,45,14,0.35186669209323573,0.3579080650147265,0.0060413729214906734,-0.0032384087116748192,-0.014868271583483455,0.0065488672984217455,False
QT_3,sphere,6,AAAA,AABC,45,14,0.45690680102305892,0.45071119941436816,-0.0061956016086907074,-0.012451562812184905,-0.043399636621833639,0.013529370687915427,False
QT_3,sphere,6,AAAB,AABC,45,14,0.45303507725549202,0.45071119941436816,-0.0023238778411238943,-0.0066775213477176477,-0.022125486525210635,0.0054036936719757366,False
QT_3,sphere,6,AABB,AABC,45,14,0.45137816404780956,0.45071119941436816,-0.00066696463344147292,-0.0050186338004399884,-0.014758393415898531,0.0017304181214099002,False
QT_3,sphere,9,AAAA,AABC,45,14,0.37804935729640743,0.37284782904517677,-0.005201528251230679,-0.021723559199079999,-0.070799493753397238,0.014028168600047635,False
QT_3,sphere,9,AAAB,AABC,45,14,0.37275987798866844,0.37284782904517677,8.795105650830567e-05,-0.010027941979651098,-0.032736602047418843,0.0073891906452576463,False
QT_3,sphere,9,AABB,AABC,45,14,0.37091008705337214,0.37284782904517677,0.0019377419918045963,-0.0068793248760086051,-0.020016768534552448,0.0038396770006219757,False
QT_3,sphere,12,AAAA,AABC,45,14,0.34546710569661193,0.34005614230119657,-0.0054109633954153675,-0.024925251463110424,-0.077226348264548147,0.012847326284700008,False
QT_3,sphere,12,AAAB,AABC,45,14,0.33850972245678451,0.34005614230119657,0.0015464198444120759,-0.010275896795760433,-0.033439952201046175,0.0080101174602949382,False
QT_3,sphere,12,AABB,AABC,45,14,0.33471169567051334,0.34005614230119657,0.0053444466306832314,-0.0062108221281813314,-0.021631402562381694,0.0062655053080964392,False
Q_3,image,6,AAAA,AABC,45,14,0.50000516438527121,0.49129336328764439,-0.0087118010976268128,-0.0020006267542240575,-0.020875462521894119,0.016742611792225807,False
Q_3,image,6,AAAB,AABC,45,14,0.48914398469305526,0.49129336328764439,0.0021493785945889952,0.0067261045782428782,-0.0032431965732405768,0.017149244756424795,False
Q_3,image,6,AABB,AABC,45,14,0.47927843396027259,0.49129336328764439,0.012014929327371828,0.015249754675964585,0.0030033297557757487,0.03014656765370238,False
Q_3,image,9,AAAA,AABC,45,14,0.41843049336161425,0.40997282305339899,-0.0084576703082151952,-0.011824221919761671,-0.044545658117607183,0.016771698518062643,False
Q_3,image,9,AAAB,AABC,45,14,0.40922209188541253,0.40997282305339899,0.00075073116798644163,0.0015656046798343769,-0.0095723531830924653,0.013809143692461976,False
Q_3,image,9,AABB,AABC,45,14,0.40115188439461918,0.40997282305339899,0.0088209386587798887,0.012190350595775548,0.0023563674927384631,0.022842811440878838,False
Q_3,image,12,AAAA,AABC,45,14,0.36805990801737953,0.36205698781066431,-0.0060029202067151911,-0.014990476880722008,-0.052466964562916253,0.014784407449115185,False
Q_3,image,12,AAAB,AABC,45,14,0.35735936171576388,0.36205698781066431,0.0046976260949003912,0.0030488660235888825,-0.0062986899217141873,0.013298923819630866,False
Q_3,image,12,AABB,AABC,45,14,0.34880094248611804,0.36205698781066431,0.013256045324546219,0.013199148267767644,0.0042440781164511925,0.024479782067672307,False
Q_3,sphere,6,AAAA,AABC,45,14,0.46230747055046084,0.45274115000452825,-0.0095663205459325835,-0.0067621111016038654,-0.02875667998278111,0.015223090543650144,False
Q_3,sphere,6,AAAB,AABC,45,14,0.45362443127452079,0.45274115000452825,-0.00088328126999264605,0.0038557126127304561,-0.0074616071105900869,0.016269233619244761,False
Q_3,sphere,6,AABB,AABC,45,14,0.44703346727660209,0.45274115000452825,0.0057076827279262032,0.013980584550552259,0.00052875863178293721,0.029765612475692895,False
Q_3,sphere,9,AAAA,AABC,45,14,0.38582195801737312,0.37571853267012573,-0.010103425347247374,-0.019758635847856452,-0.053575789192629744,0.0085858042275568265,False
