axis,groups,fold_a,fold_b,common_workers,changed,ARI
image:complete:singleton,2,2t7WUuJeko7,7y3sRwLe3Va,24,0,1
image:complete:singleton,2,2t7WUuJeko7,B6ByNegPMKs,24,9,0.026136957658128592
image:complete:singleton,2,2t7WUuJeko7,S9hNv5qa7GM,24,0,1
image:complete:singleton,2,2t7WUuJeko7,UwV83HsGsw3,24,8,0.082818422555688248
image:complete:singleton,2,2t7WUuJeko7,VFuaQ6m2Qom,24,9,0.026136957658128592
image:complete:singleton,2,2t7WUuJeko7,VLzqgDo317F,24,0,1
image:complete:singleton,2,2t7WUuJeko7,X7HyMhZNoso,24,0,1
image:complete:singleton,2,2t7WUuJeko7,Z6MFQCViBuw,24,0,1
image:complete:singleton,2,2t7WUuJeko7,b8cTxDM8gDG,24,0,1
image:complete:singleton,2,2t7WUuJeko7,e9zR4mvMWw7,24,0,1
image:complete:singleton,2,2t7WUuJeko7,jh4fc5c5qoQ,24,0,1
image:complete:singleton,2,2t7WUuJeko7,jtcxE69GiFV,24,0,1
image:complete:singleton,2,2t7WUuJeko7,pRbA3pwrgk9,24,0,1
image:complete:singleton,2,2t7WUuJeko7,pa4otMbVnkk,24,0,1
image:complete:singleton,2,2t7WUuJeko7,q9vSo1VnCiC,24,9,0.026136957658128592
image:complete:singleton,2,2t7WUuJeko7,rPc6DW4iMge,24,0,1
image:complete:singleton,2,2t7WUuJeko7,uNb9QFRL6hY,24,0,1
image:complete:singleton,2,2t7WUuJeko7,wc2JMjhGNzB,24,0,1
image:complete:singleton,2,2t7WUuJeko7,x8F5xyUWy9e,24,0,1
image:complete:singleton,2,2t7WUuJeko7,yqstnuAEVhm,24,8,0.082818422555688248
image:complete:singleton,2,2t7WUuJeko7,zsNo4HB9uLZ,24,0,1
image:complete:singleton,2,7y3sRwLe3Va,B6ByNegPMKs,24,9,0.026136957658128592
image:complete:singleton,2,7y3sRwLe3Va,S9hNv5qa7GM,24,0,1
image:complete:singleton,2,7y3sRwLe3Va,UwV83HsGsw3,24,8,0.082818422555688248
image:complete:singleton,2,7y3sRwLe3Va,VFuaQ6m2Qom,24,9,0.026136957658128592
image:complete:singleton,2,7y3sRwLe3Va,VLzqgDo317F,24,0,1
image:complete:singleton,2,7y3sRwLe3Va,X7HyMhZNoso,24,0,1
image:complete:singleton,2,7y3sRwLe3Va,Z6MFQCViBuw,24,0,1
image:complete:singleton,2,7y3sRwLe3Va,b8cTxDM8gDG,24,0,1
image:complete:singleton,2,7y3sRwLe3Va,e9zR4mvMWw7,24,0,1
image:complete:singleton,2,7y3sRwLe3Va,jh4fc5c5qoQ,24,0,1
image:complete:singleton,2,7y3sRwLe3Va,jtcxE69GiFV,24,0,1
image:complete:singleton,2,7y3sRwLe3Va,pRbA3pwrgk9,24,0,1
image:complete:singleton,2,7y3sRwLe3Va,pa4otMbVnkk,24,0,1
image:complete:singleton,2,7y3sRwLe3Va,q9vSo1VnCiC,24,9,0.026136957658128592
image:complete:singleton,2,7y3sRwLe3Va,rPc6DW4iMge,24,0,1
image:complete:singleton,2,7y3sRwLe3Va,uNb9QFRL6hY,24,0,1
image:complete:singleton,2,7y3sRwLe3Va,wc2JMjhGNzB,24,0,1
image:complete:singleton,2,7y3sRwLe3Va,x8F5xyUWy9e,24,0,1
image:complete:singleton,2,7y3sRwLe3Va,yqstnuAEVhm,24,8,0.082818422555688248
image:complete:singleton,2,7y3sRwLe3Va,zsNo4HB9uLZ,24,0,1
image:complete:singleton,2,B6ByNegPMKs,S9hNv5qa7GM,24,9,0.026136957658128592
image:complete:singleton,2,B6ByNegPMKs,UwV83HsGsw3,24,1,0.83324577072606909
image:complete:singleton,2,B6ByNegPMKs,VFuaQ6m2Qom,24,0,1
image:complete:singleton,2,B6ByNegPMKs,VLzqgDo317F,24,9,0.026136957658128592
image:complete:singleton,2,B6ByNegPMKs,X7HyMhZNoso,24,9,0.026136957658128592
image:complete:singleton,2,B6ByNegPMKs,Z6MFQCViBuw,24,9,0.026136957658128592
image:complete:singleton,2,B6ByNegPMKs,b8cTxDM8gDG,24,9,0.026136957658128592
image:complete:singleton,2,B6ByNegPMKs,e9zR4mvMWw7,24,9,0.026136957658128592
image:complete:singleton,2,B6ByNegPMKs,jh4fc5c5qoQ,24,9,0.026136957658128592
image:complete:singleton,2,B6ByNegPMKs,jtcxE69GiFV,24,9,0.026136957658128592
image:complete:singleton,2,B6ByNegPMKs,pRbA3pwrgk9,24,9,0.026136957658128592
image:complete:singleton,2,B6ByNegPMKs,pa4otMbVnkk,24,9,0.026136957658128592
