condition,model,subtype,metric,partition,k,images,next_uncovered,expected_clusters,expected_singletons
manual,QTSB_3,1,image,complete,3,25,0.31622222222222218,1.9689523809523808,1.2988571428571427
manual,QTSB_3,1,image,complete,5,25,0.27023809523809528,2.6815873015873017,1.6828571428571428
manual,QTSB_3,1,image,complete,8,25,0.23199999999999998,3.5422222222222217,2.1422222222222222
manual,QTSB_3,1,image,representative,3,25,0.31622222222222218,1.7616190476190476,1.0288571428571427
manual,QTSB_3,1,image,representative,5,25,0.27023809523809528,2.3641269841269841,1.4561904761904763
manual,QTSB_3,1,image,representative,8,25,0.23199999999999998,3.1591111111111108,2.032
manual,QTSB_3,1,sphere,complete,3,25,0.29157142857142859,1.9146190476190477,1.2098571428571427
manual,QTSB_3,1,sphere,complete,5,25,0.24707936507936509,2.5725396825396825,1.5522222222222224
manual,QTSB_3,1,sphere,complete,8,25,0.21155555555555555,3.3706666666666667,1.9955555555555557
manual,QTSB_3,1,sphere,representative,3,25,0.29157142857142859,1.7291904761904759,0.97623809523809513
manual,QTSB_3,1,sphere,representative,5,25,0.24707936507936509,2.2963492063492064,1.3668253968253967
manual,QTSB_3,1,sphere,representative,8,25,0.21155555555555555,3.032,1.8675555555555556
manual,QTSB_3,2,image,complete,3,14,0.47729591836734692,2.2911255411255413,1.7653679653679653
manual,QTSB_3,2,image,complete,5,14,0.42232271696557416,3.324958771387343,2.4979643372500511
manual,QTSB_3,2,image,complete,8,14,0.37395382395382398,4.6825396825396828,3.4666666666666663
manual,QTSB_3,2,image,representative,3,14,0.47729591836734692,2.0983766233766237,1.5385281385281384
manual,QTSB_3,2,image,representative,5,14,0.42232271696557416,3.031101834673263,2.2682694289837149
manual,QTSB_3,2,image,representative,8,14,0.37395382395382398,4.2883116883116887,3.2438672438672436
manual,QTSB_3,2,sphere,complete,3,14,0.47399505256648117,2.2816017316017319,1.7523809523809522
manual,QTSB_3,2,sphere,complete,5,14,0.42087971552257269,3.3031591424448563,2.4625592661306945
manual,QTSB_3,2,sphere,complete,8,14,0.37380952380952381,4.6340548340548349,3.393939393939394
