worker,metric,partition,no_near_peer,no_same_count_peer,not_singleton,partition_isolated_despite_near_peer,N
W001,image,complete,26,11,54,6,97
W001,image,representative,26,11,58,2,97
W001,sphere,complete,26,11,54,6,97
W001,sphere,representative,26,11,57,3,97
W002,image,complete,9,6,82,1,98
W002,image,representative,9,6,83,0,98
W002,sphere,complete,9,6,82,1,98
W002,sphere,representative,9,6,83,0,98
W006,image,complete,8,5,86,0,99
W006,image,representative,8,5,86,0,99
W006,sphere,complete,8,5,86,0,99
W006,sphere,representative,8,5,86,0,99
W008,image,complete,11,4,84,1,100
W008,image,representative,11,4,84,1,100
W008,sphere,complete,9,4,86,1,100
W008,sphere,representative,9,4,87,0,100
W010,image,complete,14,5,78,3,100
W010,image,representative,14,5,81,0,100
W010,sphere,complete,13,5,80,2,100
W010,sphere,representative,13,5,82,0,100
W011,image,complete,10,13,79,0,102
W011,image,representative,10,13,78,1,102
W011,sphere,complete,9,13,79,1,102
W011,sphere,representative,9,13,78,2,102
W012,image,complete,27,16,52,2,97
W012,image,representative,27,16,52,2,97
W012,sphere,complete,25,16,52,4,97
W012,sphere,representative,25,16,55,1,97
W013,image,complete,2,4,94,1,101
W013,image,representative,2,4,95,0,101
W013,sphere,complete,2,4,94,1,101
W013,sphere,representative,2,4,95,0,101
W014,image,complete,0,0,86,0,86
W014,image,representative,0,0,86,0,86
W014,sphere,complete,0,0,86,0,86
W014,sphere,representative,0,0,86,0,86
W015,image,complete,5,6,90,0,101
W015,image,representative,5,6,90,0,101
W015,sphere,complete,4,6,91,0,101
W015,sphere,representative,4,6,91,0,101
W017,image,complete,11,5,82,1,99
W017,image,representative,11,5,83,0,99
W017,sphere,complete,10,5,83,1,99
W017,sphere,representative,10,5,84,0,99
W018,image,complete,10,4,75,0,89
W018,image,representative,10,4,74,1,89
W018,sphere,complete,10,4,75,0,89
W018,sphere,representative,10,4,74,1,89
W021,image,complete,0,0,56,1,57
W021,image,representative,0,0,57,0,57
W021,sphere,complete,0,0,57,0,57
W021,sphere,representative,0,0,57,0,57
W027,image,complete,16,10,62,2,90
W027,image,representative,16,10,63,1,90
W027,sphere,complete,15,10,62,3,90
W027,sphere,representative,15,10,64,1,90
W028,image,complete,18,15,65,1,99
W028,image,representative,18,15,65,1,99
W028,sphere,complete,17,15,67,0,99
W028,sphere,representative,17,15,67,0,99
W029,image,complete,17,8,73,3,101
W029,image,representative,17,8,75,1,101
W029,sphere,complete,16,8,73,4,101
W029,sphere,representative,16,8,77,0,101
W030,image,complete,20,8,71,2,101
W030,image,representative,20,8,69,4,101
W030,sphere,complete,19,8,74,0,101
W030,sphere,representative,19,8,72,2,101
W031,image,complete,21,12,72,1,106
W031,image,representative,21,12,73,0,106
W031,sphere,complete,20,12,74,0,106
W031,sphere,representative,20,12,74,0,106
W032,image,complete,25,16,58,1,100
W032,image,representative,25,16,59,0,100
W032,sphere,complete,25,16,58,1,100
W032,sphere,representative,25,16,59,0,100
W033,image,complete,17,5,79,1,102
W033,image,representative,17,5,77,3,102
W033,sphere,complete,17,5,79,1,102
W033,sphere,representative,17,5,78,2,102
W034,image,complete,29,26,63,3,121
W034,image,representative,29,26,66,0,121
W034,sphere,complete,27,26,65,3,121
W034,sphere,representative,27,26,68,0,121
W035,image,complete,17,10,72,2,101
W035,image,representative,17,10,74,0,101
W035,sphere,complete,17,10,73,1,101
W035,sphere,representative,17,10,74,0,101
W036,image,complete,23,9,66,1,99
W036,image,representative,23,9,66,1,99
W036,sphere,complete,22,9,67,1,99
W036,sphere,representative,22,9,67,1,99
W037,image,complete,22,26,45,4,97
W037,image,representative,22,26,44,5,97
W037,sphere,complete,20,26,45,6,97
W037,sphere,representative,20,26,49,2,97
