heldout_building,groups,axis_a,axis_b,common_workers,changed_after_optimal_label_alignment,ARI
2t7WUuJeko7,2,image:complete:singleton,image:pair_disagreement,24,0,1
2t7WUuJeko7,2,image:complete:singleton,image:representative:singleton,24,7,0.14920733602735467
2t7WUuJeko7,2,image:complete:singleton,sphere:complete:singleton,24,0,1
2t7WUuJeko7,2,image:complete:singleton,sphere:pair_disagreement,24,0,1
2t7WUuJeko7,2,image:complete:singleton,sphere:representative:singleton,24,7,0.14920733602735467
2t7WUuJeko7,2,image:pair_disagreement,image:representative:singleton,24,7,0.14920733602735467
2t7WUuJeko7,2,image:pair_disagreement,sphere:complete:singleton,24,0,1
2t7WUuJeko7,2,image:pair_disagreement,sphere:pair_disagreement,24,0,1
2t7WUuJeko7,2,image:pair_disagreement,sphere:representative:singleton,24,7,0.14920733602735467
2t7WUuJeko7,2,image:representative:singleton,sphere:complete:singleton,24,7,0.14920733602735467
2t7WUuJeko7,2,image:representative:singleton,sphere:pair_disagreement,24,7,0.14920733602735467
2t7WUuJeko7,2,image:representative:singleton,sphere:representative:singleton,24,0,1
2t7WUuJeko7,2,sphere:complete:singleton,sphere:pair_disagreement,24,0,1
2t7WUuJeko7,2,sphere:complete:singleton,sphere:representative:singleton,24,7,0.14920733602735467
2t7WUuJeko7,2,sphere:pair_disagreement,sphere:representative:singleton,24,7,0.14920733602735467
2t7WUuJeko7,3,image:complete:singleton,image:pair_disagreement,24,4,0.53417721518987338
2t7WUuJeko7,3,image:complete:singleton,image:representative:singleton,24,7,0.35373808329152034
2t7WUuJeko7,3,image:complete:singleton,sphere:complete:singleton,24,4,0.53417721518987338
2t7WUuJeko7,3,image:complete:singleton,sphere:pair_disagreement,24,3,0.62847046945986873
2t7WUuJeko7,3,image:complete:singleton,sphere:representative:singleton,24,7,0.35373808329152034
2t7WUuJeko7,3,image:pair_disagreement,image:representative:singleton,24,5,0.43564877022842791
2t7WUuJeko7,3,image:pair_disagreement,sphere:complete:singleton,24,4,0.50816750816750822
2t7WUuJeko7,3,image:pair_disagreement,sphere:pair_disagreement,24,1,0.85326953748006384
2t7WUuJeko7,3,image:pair_disagreement,sphere:representative:singleton,24,5,0.43564877022842791
2t7WUuJeko7,3,image:representative:singleton,sphere:complete:singleton,24,3,0.61301629958520765
2t7WUuJeko7,3,image:representative:singleton,sphere:pair_disagreement,24,4,0.51857666143380432
2t7WUuJeko7,3,image:representative:singleton,sphere:representative:singleton,24,0,1
2t7WUuJeko7,3,sphere:complete:singleton,sphere:pair_disagreement,24,3,0.60871876661350344
2t7WUuJeko7,3,sphere:complete:singleton,sphere:representative:singleton,24,3,0.61301629958520765
2t7WUuJeko7,3,sphere:pair_disagreement,sphere:representative:singleton,24,4,0.51857666143380432
7y3sRwLe3Va,2,image:complete:singleton,image:pair_disagreement,24,0,1
7y3sRwLe3Va,2,image:complete:singleton,image:representative:singleton,24,0,1
7y3sRwLe3Va,2,image:complete:singleton,sphere:complete:singleton,24,0,1
7y3sRwLe3Va,2,image:complete:singleton,sphere:pair_disagreement,24,0,1
7y3sRwLe3Va,2,image:complete:singleton,sphere:representative:singleton,24,0,1
7y3sRwLe3Va,2,image:pair_disagreement,image:representative:singleton,24,0,1
7y3sRwLe3Va,2,image:pair_disagreement,sphere:complete:singleton,24,0,1
7y3sRwLe3Va,2,image:pair_disagreement,sphere:pair_disagreement,24,0,1
7y3sRwLe3Va,2,image:pair_disagreement,sphere:representative:singleton,24,0,1
7y3sRwLe3Va,2,image:representative:singleton,sphere:complete:singleton,24,0,1
7y3sRwLe3Va,2,image:representative:singleton,sphere:pair_disagreement,24,0,1
7y3sRwLe3Va,2,image:representative:singleton,sphere:representative:singleton,24,0,1
7y3sRwLe3Va,2,sphere:complete:singleton,sphere:pair_disagreement,24,0,1
7y3sRwLe3Va,2,sphere:complete:singleton,sphere:representative:singleton,24,0,1
7y3sRwLe3Va,2,sphere:pair_disagreement,sphere:representative:singleton,24,0,1
7y3sRwLe3Va,3,image:complete:singleton,image:pair_disagreement,24,4,0.53417721518987338
7y3sRwLe3Va,3,image:complete:singleton,image:representative:singleton,24,4,0.53417721518987338
7y3sRwLe3Va,3,image:complete:singleton,sphere:complete:singleton,24,0,1
7y3sRwLe3Va,3,image:complete:singleton,sphere:pair_disagreement,24,8,0.32902370296701478
7y3sRwLe3Va,3,image:complete:singleton,sphere:representative:singleton,24,4,0.53417721518987338
7y3sRwLe3Va,3,image:pair_disagreement,image:representative:singleton,24,4,0.50816750816750822
7y3sRwLe3Va,3,image:pair_disagreement,sphere:complete:singleton,24,4,0.53417721518987338
7y3sRwLe3Va,3,image:pair_disagreement,sphere:pair_disagreement,24,4,0.52411058106787745
7y3sRwLe3Va,3,image:pair_disagreement,sphere:representative:singleton,24,4,0.50816750816750822
7y3sRwLe3Va,3,image:representative:singleton,sphere:complete:singleton,24,4,0.53417721518987338
7y3sRwLe3Va,3,image:representative:singleton,sphere:pair_disagreement,24,8,0.30202885223288695
7y3sRwLe3Va,3,image:representative:singleton,sphere:representative:singleton,24,0,1
7y3sRwLe3Va,3,sphere:complete:singleton,sphere:pair_disagreement,24,8,0.32902370296701478
7y3sRwLe3Va,3,sphere:complete:singleton,sphere:representative:singleton,24,4,0.53417721518987338
7y3sRwLe3Va,3,sphere:pair_disagreement,sphere:representative:singleton,24,8,0.30202885223288695
B6ByNegPMKs,2,image:complete:singleton,image:pair_disagreement,24,9,0.026136957658128592
B6ByNegPMKs,2,image:complete:singleton,image:representative:singleton,24,2,0.68095838587641866
B6ByNegPMKs,2,image:complete:singleton,sphere:complete:singleton,24,9,0.026136957658128592
B6ByNegPMKs,2,image:complete:singleton,sphere:pair_disagreement,24,9,0.026136957658128592
B6ByNegPMKs,2,image:complete:singleton,sphere:representative:singleton,24,2,0.68149391523289971
B6ByNegPMKs,2,image:pair_disagreement,image:representative:singleton,24,7,0.14920733602735467
B6ByNegPMKs,2,image:pair_disagreement,sphere:complete:singleton,24,0,1
B6ByNegPMKs,2,image:pair_disagreement,sphere:pair_disagreement,24,0,1
B6ByNegPMKs,2,image:pair_disagreement,sphere:representative:singleton,24,11,-0.060169764693241645
B6ByNegPMKs,2,image:representative:singleton,sphere:complete:singleton,24,7,0.14920733602735467
