condition,config,subtype,metric,partition,k,images,images_with_remaining_person,min_pool_N,max_pool_N,prefix_K,prefix_singletons,fixed_K,pair_uncovered,largest_share,old_relation_churn
manual,QTSB_3,1,image,complete,3,34,34,6,10,1.8469117647058824,1.1204411764705882,1.9270588235294117,0.31889180672268902,0.71769607843137251,0.015735294117647052
manual,QTSB_3,1,image,complete,5,34,34,6,10,2.562205882352941,1.545441176470588,2.6270588235294121,0.27372794117647059,0.65455882352941175,0.018382352941176457
manual,QTSB_3,1,image,complete,8,26,25,8,10,3.4128846153846153,2.0175000000000001,3.441730769230769,0.23419999999999999,0.6135576923076923,0.015283882783882765
manual,QTSB_3,1,image,representative,3,34,34,6,10,1.7998529411764705,1.0733823529411763,1.7704411764705883,0.31889180672268902,0.73338235294117649,0.014117647058823525
manual,QTSB_3,1,image,representative,5,34,34,6,10,2.3991176470588234,1.4808823529411765,2.3864705882352943,0.27372794117647059,0.70688235294117641,0.010196078431372537
manual,QTSB_3,1,image,representative,8,26,25,8,10,3.0640384615384613,1.9407692307692308,3.0753846153846149,0.23419999999999999,0.7109375,0.0093681318681318616
manual,QTSB_3,1,sphere,complete,3,34,34,6,10,1.796470588235294,1.0460294117647058,1.8735294117647059,0.295719537815126,0.73450980392156862,0.017941176470588231
manual,QTSB_3,1,sphere,complete,5,34,34,6,10,2.4635294117647062,1.4357352941176469,2.5219117647058824,0.25162499999999999,0.67517647058823527,0.018112745098039201
manual,QTSB_3,1,sphere,complete,8,26,25,8,10,3.253076923076923,1.8651923076923076,3.2771153846153847,0.21299999999999999,0.63670673076923079,0.017133699633699616
manual,QTSB_3,1,sphere,representative,3,34,34,6,10,1.7482352941176469,0.99779411764705872,1.7338235294117648,0.295719537815126,0.75058823529411767,0.014852941176470579
manual,QTSB_3,1,sphere,representative,5,34,34,6,10,2.3092647058823528,1.3713235294117647,2.3130882352941176,0.25162499999999999,0.72399999999999998,0.010563725490196067
manual,QTSB_3,1,sphere,representative,8,26,25,8,10,2.9361538461538461,1.7792307692307692,2.9538461538461536,0.21299999999999999,0.7245673076923077,0.008122710622710614
manual,QTSB_3,2,image,complete,3,40,29,3,11,1.9326250000000003,1.23275,2.0085000000000002,0.39100328407224955,0.68912499999999999,0.015374999999999989
manual,QTSB_3,2,image,complete,5,29,29,6,11,2.8958620689655175,1.969655172413793,2.9853448275862071,0.34664942528735626,0.59606896551724131,0.019971264367816075
manual,QTSB_3,2,image,complete,8,16,14,8,11,4.7021875,3.5134374999999998,4.7696874999999999,0.38416666666666666,0.49113281249999996,0.012529761904761894
manual,QTSB_3,2,image,representative,3,40,29,3,11,1.8916250000000001,1.1917500000000001,1.871375,0.39100328407224955,0.70279166666666659,0.01199999999999999
manual,QTSB_3,2,image,representative,5,29,29,6,11,2.689137931034483,1.8110344827586209,2.6786206896551725,0.34664942528735626,0.64703448275862063,0.005804597701149411
manual,QTSB_3,2,image,representative,8,16,14,8,11,4.4081250000000001,3.350625,4.4299999999999997,0.38416666666666666,0.54640624999999998,0.0033928571428571315
manual,QTSB_3,2,sphere,complete,3,40,29,3,11,1.917875,1.2112499999999999,1.998875,0.38046449096880131,0.69404166666666656,0.027374999999999983
manual,QTSB_3,2,sphere,complete,5,29,29,6,11,2.8563793103448272,1.9143103448275862,2.9486206896551725,0.33906321839080461,0.60079310344827586,0.02244252873563217
manual,QTSB_3,2,sphere,complete,8,16,14,8,11,4.6637500000000003,3.46875,4.7268749999999997,0.38380952380952377,0.49257812499999998,0.011235119047619037
manual,QTSB_3,2,sphere,representative,3,40,29,3,11,1.8456250000000001,1.1389999999999998,1.8283750000000001,0.38046449096880131,0.7181249999999999,0.020874999999999987
manual,QTSB_3,2,sphere,representative,5,29,29,6,11,2.6494827586206893,1.7812068965517243,2.6360344827586206,0.33906321839080461,0.65693103448275858,0.0091091954022988354
manual,QTSB_3,2,sphere,representative,8,16,14,8,11,4.3737500000000002,3.3162500000000001,4.381875,0.38380952380952377,0.55070312499999996,0.0031101190476190378
manual,QTSB_3,3,image,complete,3,45,45,6,11,2.1240000000000001,1.5046666666666666,2.2412222222222224,0.4357003968253968,0.6253333333333333,0.018666666666666654
manual,QTSB_3,3,image,complete,5,45,45,6,11,3.0925555555555553,2.1846666666666668,3.2255555555555557,0.38230740740740737,0.55735555555555549,0.015537037037037018
