annotator_id,language,included_for_smoke_preview,n_scope_preview_rows,n_scope_preview_correct_in_scope,n_scope_preview_correct_oos,n_scope_preview_false_positive,n_scope_preview_false_negative,n_geometry_preview_rows,n_geometry_present_rows,dry_run,provisional_only
1,zh,False,0,0,0,0,0,0,0,True,True
2,zh,False,0,0,0,0,0,0,0,True,True
6,zh,True,48,44,0,0,0,28,28,True,True
7,zh,False,0,0,0,0,0,0,0,True,True
8,zh,True,48,48,0,0,0,28,28,True,True
9,zh,False,0,0,0,0,0,0,0,True,True
10,zh,True,48,46,0,0,0,28,28,True,True
11,zh,True,48,40,0,0,0,28,28,True,True
12,zh,True,48,45,0,0,0,28,28,True,True
13,zh,True,48,43,0,0,0,28,28,True,True
14,zh,True,48,43,0,0,0,28,28,True,True
15,zh,True,48,45,0,0,0,28,28,True,True
16,zh,False,0,0,0,0,0,0,0,True,True
17,zh,True,48,45,0,0,0,28,28,True,True
18,zh,False,0,0,0,0,0,0,0,True,True
19,zh,False,0,0,0,0,0,0,0,True,True
21,zh,False,0,0,0,0,0,0,0,True,True
26,en,False,0,0,0,0,0,0,0,True,True
27,en,True,48,48,0,0,0,1,1,True,True
28,en,True,48,34,0,0,0,1,1,True,True
29,en,True,48,27,0,0,0,1,1,True,True
30,en,True,48,16,0,0,0,1,1,True,True
31,en,True,48,48,0,0,0,1,1,True,True
32,en,True,48,37,0,0,0,1,1,True,True
33,en,True,48,35,0,0,0,1,1,True,True
34,en,True,48,45,0,0,0,1,1,True,True
35,en,True,48,38,0,0,0,1,1,True,True
36,en,True,48,41,0,0,0,1,1,True,True
37,en,True,48,30,0,0,0,1,1,True,True
