task_cell_id,threshold,valid_k,partition_status,structure_status,structure_reason,cluster_count,largest_cluster_support,second_cluster_support,largest_cluster_share,second_cluster_share,strong_split,stage,base_task_id,dense_role
C1|manual|C1_anchor_all|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,0.9,23,unique,dominant_with_dissent,unique_complete_link_partition,2,22,1,0.9565217391304348,0.043478260869565216,False,C1,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,main_p1_c1_dense42
C1|manual|C1_anchor_all|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,0.925,23,unique,dominant_with_dissent,unique_complete_link_partition,2,22,1,0.9565217391304348,0.043478260869565216,False,C1,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,main_p1_c1_dense42
C1|manual|C1_anchor_all|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,0.95,23,unique,dominant_with_dissent,unique_complete_link_partition,3,21,1,0.9130434782608695,0.043478260869565216,False,C1,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,main_p1_c1_dense42
C1|manual|C1_anchor_all|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,0.97,23,unique,dominant_with_dissent,unique_complete_link_partition,3,21,1,0.9130434782608695,0.043478260869565216,False,C1,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,main_p1_c1_dense42
C1|manual|C1_anchor_all|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,0.98,23,unique,dominant_with_dissent,unique_complete_link_partition,4,20,1,0.8695652173913043,0.043478260869565216,False,C1,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,main_p1_c1_dense42
C1|manual|C1_anchor_all|rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,0.9,23,unique,supported_multimodal,unique_complete_link_partition,2,21,2,0.9130434782608695,0.08695652173913043,False,C1,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,main_p1_c1_dense42
C1|manual|C1_anchor_all|rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,0.925,23,unique,supported_multimodal,unique_complete_link_partition,2,21,2,0.9130434782608695,0.08695652173913043,False,C1,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,main_p1_c1_dense42
C1|manual|C1_anchor_all|rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,0.95,23,unique,supported_multimodal,unique_complete_link_partition,2,21,2,0.9130434782608695,0.08695652173913043,False,C1,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,main_p1_c1_dense42
C1|manual|C1_anchor_all|rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,0.97,23,unique,supported_multimodal,unique_complete_link_partition,2,21,2,0.9130434782608695,0.08695652173913043,False,C1,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,main_p1_c1_dense42
C1|manual|C1_anchor_all|rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,0.98,23,not_evaluable,not_evaluable,non_unique_complete_link_partition,,0,0,0.0,0.0,False,C1,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,main_p1_c1_dense42
