task_cell_id,stage,condition,dataset_group,base_task_id,dense_role,full_valid_support,k,replicates,full_mask_distance,estimate_mean,estimate_bias,estimate_q05,estimate_q95,mean_absolute_error,probability_abs_error_le_0_02,probability_abs_error_le_0_03,probability_abs_error_le_0_05,full_cardinality_diverse,probability_detect_cardinality_diversity,probability_full_top1_is_sample_mode,probability_cover_full_top2_cardinalities,main_dense42_mask_q80,probability_estimate_above_main_q80,stage_dense_mask_q80,probability_estimate_above_stage_q80
C1|manual|C1_anchor_all|rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,C1,manual,C1_anchor_all,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,main_p1_c1_dense42,23,10,1000,0.02865773782118246,0.028617239485694973,-4.049833548748841e-05,0.020908506826341444,0.036549302086546366,0.003821365311237148,1.0,1.0,1.0,True,0.707,1.0,0.707,0.1931645996469437,0.0,0.1467919751474915,0.0
C1|manual|C1_anchor_all|rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,C1,manual,C1_anchor_all,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,main_p1_c1_dense42,23,12,1000,0.02865773782118246,0.028751634274153105,9.38964529706432e-05,0.0220844581827818,0.034477526688700064,0.003025146624564125,1.0,1.0,1.0,True,0.779,1.0,0.779,0.1931645996469437,0.0,0.1467919751474915,0.0
C1|manual|C1_anchor_all|rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,C1,manual,C1_anchor_all,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,main_p1_c1_dense42,23,15,1000,0.02865773782118246,0.028581874403213563,-7.5863417968898e-05,0.023694591748330746,0.03348886232130497,0.0024178550504353555,1.0,1.0,1.0,True,0.887,1.0,0.887,0.1931645996469437,0.0,0.1467919751474915,0.0
C1|manual|C1_anchor_all|rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,C1,manual,C1_anchor_all,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,main_p1_c1_dense42,23,20,1000,0.02865773782118246,0.028619375097471988,-3.836272371047361e-05,0.025613983392516543,0.030607413855451383,0.0013158123881963858,1.0,1.0,1.0,True,0.986,1.0,0.986,0.1931645996469437,0.0,0.1467919751474915,0.0
C1|manual|C1_anchor_all|rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,C1,manual,C1_anchor_all,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,main_p1_c1_dense42,23,3,1000,0.06587695858896252,0.06577419556362002,-0.0001027630253424977,0.031511835421920854,0.12708758165620784,0.02263084594608347,0.542,0.73,0.918,True,0.128,1.0,0.128,0.1931645996469437,0.0,0.1467919751474915,0.012
C1|manual|C1_anchor_all|rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,C1,manual,C1_anchor_all,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,main_p1_c1_dense42,23,5,1000,0.06587695858896252,0.06616607612403559,0.0002891175350730746,0.039710379646273206,0.10498778328656933,0.016831659618739912,0.656,0.876,0.982,True,0.224,1.0,0.224,0.1931645996469437,0.0,0.1467919751474915,0.0
C1|manual|C1_anchor_all|rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,C1,manual,C1_anchor_all,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,main_p1_c1_dense42,23,8,1000,0.06587695858896252,0.06602862306637283,0.0001516644774103154,0.04480393941515713,0.09236011902644385,0.012316721392605026,0.815,0.977,1.0,True,0.349,1.0,0.349,0.1931645996469437,0.0,0.1467919751474915,0.0
C1|manual|C1_anchor_all|rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,C1,manual,C1_anchor_all,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,main_p1_c1_dense42,23,10,1000,0.06587695858896252,0.06647346232547079,0.0005965037365082693,0.04681094563260655,0.08734749678142954,0.010361305360408217,0.891,1.0,1.0,True,0.444,1.0,0.444,0.1931645996469437,0.0,0.1467919751474915,0.0
C1|manual|C1_anchor_all|rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,C1,manual,C1_anchor_all,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,main_p1_c1_dense42,23,12,1000,0.06587695858896252,0.06553569852513565,-0.00034126006382687035,0.048988895631234076,0.08112175434637885,0.008482677878661797,0.976,1.0,1.0,True,0.501,1.0,0.501,0.1931645996469437,0.0,0.1467919751474915,0.0
C1|manual|C1_anchor_all|rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,C1,manual,C1_anchor_all,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,main_p1_c1_dense42,23,15,1000,0.06587695858896252,0.06572142698946712,-0.0001555315994953982,0.05210071539645891,0.07682116030852602,0.006779950056057644,0.997,1.0,1.0,True,0.635,1.0,0.635,0.1931645996469437,0.0,0.1467919751474915,0.0
C1|manual|C1_anchor_all|rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,C1,manual,C1_anchor_all,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,main_p1_c1_dense42,23,20,1000,0.06587695858896252,0.0660148586538968,0.00013790006493427653,0.05735797007554224,0.07047469199225842,0.0031077471026598616,1.0,1.0,1.0,True,0.887,1.0,0.887,0.1931645996469437,0.0,0.1467919751474915,0.0
C1|manual|C1_anchor_all|uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,C1,manual,C1_anchor_all,uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,main_p1_c1_dense42,23,3,1000,0.06457111216113183,0.06555417770340177,0.0009830655422699425,0.019726824857221992,0.1768201733363893,0.03499450445597742,0.428,0.525,0.842,False,0.0,1.0,,0.1931645996469437,0.017,0.1467919751474915,0.14
C1|manual|C1_anchor_all|uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,C1,manual,C1_anchor_all,uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,main_p1_c1_dense42,23,5,1000,0.06457111216113183,0.0639551929262725,-0.0006159192348593329,0.02537122199032536,0.1338031794131018,0.02811357116454068,0.428,0.618,0.82,False,0.0,1.0,,0.1931645996469437,0.0,0.1467919751474915,0.007
C1|manual|C1_anchor_all|uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,C1,manual,C1_anchor_all,uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,main_p1_c1_dense42,23,8,1000,0.06457111216113183,0.06461868074660965,4.756858547781684e-05,0.03167019718646926,0.10737720018596116,0.02246143909057333,0.433,0.759,0.99,False,0.0,1.0,,0.1931645996469437,0.0,0.1467919751474915,0.0
C1|manual|C1_anchor_all|uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,C1,manual,C1_anchor_all,uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,main_p1_c1_dense42,23,10,1000,0.06457111216113183,0.06343129685316869,-0.0011398153079631435,0.035095215670006744,0.09673789143714812,0.018994636292588546,0.537,0.881,1.0,False,0.0,1.0,,0.1931645996469437,0.0,0.1467919751474915,0.0
C1|manual|C1_anchor_all|uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,C1,manual,C1_anchor_all,uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,main_p1_c1_dense42,23,12,1000,0.06457111216113183,0.06465824053806514,8.712837693330977e-05,0.03911737001646515,0.08975631584750712,0.016341479493077522,0.676,0.973,1.0,False,0.0,1.0,,0.1931645996469437,0.0,0.1467919751474915,0.0
