stage,stage_parent,block_index,condition,task_cell_count,unique_base_image_count,unique_building_count,selected_annotation_count,geometry_valid_annotation_count,k0_task_count,k1_task_count,k2_4_task_count,k5_7_task_count,k8_14_task_count,k15_plus_task_count
C1,C1,0,manual,87,87,13,674,669,0,0,3,72,0,12
C1,C1,0,semi,25,25,9,106,104,0,0,20,5,0,0
C2-A-RP-B1,C2-A-RP,1,manual,28,28,8,40,40,0,16,12,0,0,0
C2-A-RP-B2,C2-A-RP,2,manual,27,27,8,40,38,1,16,10,0,0,0
C2-B,C2-B,0,manual,46,46,8,160,157,0,7,35,0,0,4
P1,P1,0,manual,30,30,12,779,737,0,0,0,0,0,30
P1,P1,0,oos,9,9,6,234,221,0,0,0,0,0,9
P1,P1,0,semi,18,18,10,468,464,0,0,0,0,0,18
