condition,outer_building,k,selected,inner_images,losses
manual,2t7WUuJeko7,2,equal,133,"{'equal': 1.1357744183057001, 'profile_context': 1.1971810265912906, 'profile_continuous': 1.1868558339568664, 'profile_type2': 1.171294929148343, 'profile_type3': 1.1691415201148587, 'profile_type4': 1.1645456275181418}"
manual,2t7WUuJeko7,4,equal,71,"{'equal': 0.92454924994602, 'profile_context': 0.977868847070748, 'profile_continuous': 0.9678436376797203, 'profile_type2': 0.9554464920173991, 'profile_type3': 0.9526742498987929, 'profile_type4': 0.9483543765607126}"
manual,2t7WUuJeko7,6,equal,46,"{'equal': 0.8871603308948578, 'profile_context': 0.9415533606319207, 'profile_continuous': 0.929930708807783, 'profile_type2': 0.9108966375237842, 'profile_type3': 0.9115308422987828, 'profile_type4': 0.9089325355371678}"
manual,2t7WUuJeko7,8,equal,46,"{'equal': 0.8487981962572657, 'profile_context': 0.8835823063723869, 'profile_continuous': 0.8750015145998332, 'profile_type2': 0.8681464886585961, 'profile_type3': 0.866914173136064, 'profile_type4': 0.8652579458669244}"
manual,7y3sRwLe3Va,2,equal,124,"{'equal': 1.1387860657173132, 'profile_context': 1.1982129966506334, 'profile_continuous': 1.187687479217017, 'profile_type2': 1.182157202864737, 'profile_type3': 1.1774470071112606, 'profile_type4': 1.168450572472915}"
manual,7y3sRwLe3Va,4,equal,68,"{'equal': 0.931135003638063, 'profile_context': 0.9913417195820112, 'profile_continuous': 0.9809711821633204, 'profile_type2': 0.9568305737750296, 'profile_type3': 0.9602181030677509, 'profile_type4': 0.9568751778219221}"
manual,7y3sRwLe3Va,6,equal,45,"{'equal': 0.9001385491502731, 'profile_context': 0.954904894370997, 'profile_continuous': 0.944873463980519, 'profile_type2': 0.9236526244340048, 'profile_type3': 0.928531409847213, 'profile_type4': 0.9252916319978561}"
manual,7y3sRwLe3Va,8,equal,45,"{'equal': 0.8612873590690645, 'profile_context': 0.900256427589192, 'profile_continuous': 0.8910160514000303, 'profile_type2': 0.8798880514710816, 'profile_type3': 0.8836592021382815, 'profile_type4': 0.8797766495573554}"
manual,B6ByNegPMKs,2,equal,124,"{'equal': 1.1329366304221211, 'profile_context': 1.190080962813366, 'profile_continuous': 1.1795460696178248, 'profile_type2': 1.1785719520072935, 'profile_type3': 1.1724314537539584, 'profile_type4': 1.1639346441592953}"
manual,B6ByNegPMKs,4,equal,66,"{'equal': 0.9260234742974749, 'profile_context': 0.9817672303198188, 'profile_continuous': 0.9704094996009744, 'profile_type2': 0.9532080137216222, 'profile_type3': 0.9573682411252397, 'profile_type4': 0.9508340958841497}"
manual,B6ByNegPMKs,6,equal,43,"{'equal': 0.8841110587412584, 'profile_context': 0.9395771053392001, 'profile_continuous': 0.9295784754981926, 'profile_type2': 0.9086148547459603, 'profile_type3': 0.912492333740393, 'profile_type4': 0.9086333712077561}"
manual,B6ByNegPMKs,8,equal,43,"{'equal': 0.8478147493821375, 'profile_context': 0.8857311859431313, 'profile_continuous': 0.8758551599326091, 'profile_type2': 0.86645209292424, 'profile_type3': 0.8704181319763776, 'profile_type4': 0.8649030538970329}"
manual,S9hNv5qa7GM,2,equal,131,"{'equal': 1.1404332284306795, 'profile_context': 1.2008126351105273, 'profile_continuous': 1.1908378555891224, 'profile_type2': 1.1785582038467537, 'profile_type3': 1.1818273437107587, 'profile_type4': 1.1714197270499702}"
manual,S9hNv5qa7GM,4,equal,69,"{'equal': 0.9302983906623747, 'profile_context': 0.9906782558277468, 'profile_continuous': 0.9771935137485522, 'profile_type2': 0.9612054070945679, 'profile_type3': 0.9650798742207239, 'profile_type4': 0.9557558394031556}"
manual,S9hNv5qa7GM,6,equal,44,"{'equal': 0.8981616816942364, 'profile_context': 0.9523837015516889, 'profile_continuous': 0.9411004450280214, 'profile_type2': 0.9198016290815044, 'profile_type3': 0.9319560381779844, 'profile_type4': 0.9250661840078208}"
manual,S9hNv5qa7GM,8,equal,44,"{'equal': 0.8585329534624759, 'profile_context': 0.8943216131290448, 'profile_continuous': 0.8845322001334887, 'profile_type2': 0.8752679237819664, 'profile_type3': 0.8837181221654146, 'profile_type4': 0.8772185911329899}"
manual,UwV83HsGsw3,2,equal,125,"{'equal': 1.1190950103369124, 'profile_context': 1.1780137855398425, 'profile_continuous': 1.1675362755601904, 'profile_type2': 1.1611931354630556, 'profile_type3': 1.1532359066648792, 'profile_type4': 1.1465096767945138}"
manual,UwV83HsGsw3,4,equal,67,"{'equal': 0.917504896091014, 'profile_context': 0.9790794980192923, 'profile_continuous': 0.9609166000129633, 'profile_type2': 0.9463497535616725, 'profile_type3': 0.9423283676590917, 'profile_type4': 0.9309626085711963}"
manual,UwV83HsGsw3,6,equal,43,"{'equal': 0.8867804563003627, 'profile_context': 0.9419661464249773, 'profile_continuous': 0.9284634672599323, 'profile_type2': 0.9111094385414599, 'profile_type3': 0.9111286745919233, 'profile_type4': 0.9107871234480912}"
manual,UwV83HsGsw3,8,equal,43,"{'equal': 0.848163723827468, 'profile_context': 0.8847337296225031, 'profile_continuous': 0.8740765625356288, 'profile_type2': 0.8698087090137878, 'profile_type3': 0.8696171481091575, 'profile_type4': 0.8672426559295237}"
manual,VFuaQ6m2Qom,2,equal,130,"{'equal': 1.1312749782574496, 'profile_context': 1.1906935450865888, 'profile_continuous': 1.1781386962232072, 'profile_type2': 1.1745592613799114, 'profile_type3': 1.1634396037892203, 'profile_type4': 1.158056297639514}"
manual,VFuaQ6m2Qom,4,equal,69,"{'equal': 0.9226465777668129, 'profile_context': 0.9854774169492682, 'profile_continuous': 0.9676960833572895, 'profile_type2': 0.9575004974914337, 'profile_type3': 0.949805659727718, 'profile_type4': 0.9421937253952434}"
manual,VFuaQ6m2Qom,6,equal,45,"{'equal': 0.8866439523920172, 'profile_context': 0.9449628480649575, 'profile_continuous': 0.9334808696088798, 'profile_type2': 0.9153752440935427, 'profile_type3': 0.9149859201786098, 'profile_type4': 0.9157433532949616}"
manual,VFuaQ6m2Qom,8,equal,45,"{'equal': 0.8488130786289455, 'profile_context': 0.8872290726637583, 'profile_continuous': 0.8781213137421029, 'profile_type2': 0.871775032633751, 'profile_type3': 0.8709160877141661, 'profile_type4': 0.8700396921155581}"
manual,VLzqgDo317F,2,equal,133,"{'equal': 1.1357744183057001, 'profile_context': 1.1958585575388583, 'profile_continuous': 1.1832406499932602, 'profile_type2': 1.1748666914744466, 'profile_type3': 1.1715279716269316, 'profile_type4': 1.1683139996234788}"
manual,VLzqgDo317F,4,equal,71,"{'equal': 0.92454924994602, 'profile_context': 0.9865306847533976, 'profile_continuous': 0.9657390544092774, 'profile_type2': 0.9575552145780304, 'profile_type3': 0.9583660045943546, 'profile_type4': 0.9503969720051093}"
manual,VLzqgDo317F,6,equal,46,"{'equal': 0.8871603308948578, 'profile_context': 0.9421118844240322, 'profile_continuous': 0.9300182597723492, 'profile_type2': 0.9139973908627347, 'profile_type3': 0.9200287525961662, 'profile_type4': 0.9261914809441455}"
manual,VLzqgDo317F,8,equal,46,"{'equal': 0.8487981962572657, 'profile_context': 0.886423880869992, 'profile_continuous': 0.8745185765520694, 'profile_type2': 0.8710870712649248, 'profile_type3': 0.8747750676980354, 'profile_type4': 0.876982979622005}"
manual,X7HyMhZNoso,2,equal,130,"{'equal': 1.1377985058992246, 'profile_context': 1.199152734923068, 'profile_continuous': 1.1855558997215117, 'profile_type2': 1.1777929084487886, 'profile_type3': 1.1741286611057116, 'profile_type4': 1.1704415288121761}"
manual,X7HyMhZNoso,4,equal,70,"{'equal': 0.9296682685888288, 'profile_context': 0.9933703009351522, 'profile_continuous': 0.9717433719402458, 'profile_type2': 0.9632077612638827, 'profile_type3': 0.9635414892399174, 'profile_type4': 0.9553928505849658}"
manual,X7HyMhZNoso,6,equal,45,"{'equal': 0.8948183557363161, 'profile_context': 0.9515240532364906, 'profile_continuous': 0.93881412990794, 'profile_type2': 0.9220304856732249, 'profile_type3': 0.9282035773593479, 'profile_type4': 0.9344274123631366}"
manual,X7HyMhZNoso,8,equal,45,"{'equal': 0.8562016481031117, 'profile_context': 0.8960039544620028, 'profile_continuous': 0.8834769138079402, 'profile_type2': 0.8787171633415009, 'profile_type3': 0.8823544841872936, 'profile_type4': 0.8842603774413217}"
manual,Z6MFQCViBuw,2,equal,130,"{'equal': 1.1426146939522004, 'profile_context': 1.2053714109403988, 'profile_continuous': 1.1909582747895668, 'profile_type2': 1.182142684719762, 'profile_type3': 1.1784768019510297, 'profile_type4': 1.1703938313216662}"
manual,Z6MFQCViBuw,4,equal,71,"{'equal': 0.92454924994602, 'profile_context': 0.9883575076891761, 'profile_continuous': 0.9668700563324335, 'profile_type2': 0.957312290298797, 'profile_type3': 0.9577948458136062, 'profile_type4': 0.946192558304011}"
manual,Z6MFQCViBuw,6,equal,46,"{'equal': 0.8871603308948578, 'profile_context': 0.9426954995136377, 'profile_continuous': 0.9301419049218878, 'profile_type2': 0.9137108250603067, 'profile_type3': 0.9199785714371527, 'profile_type4': 0.92220694948216}"
manual,Z6MFQCViBuw,8,equal,46,"{'equal': 0.8487981962572657, 'profile_context': 0.8876010929612106, 'profile_continuous': 0.875031578179199, 'profile_type2': 0.8706345286920769, 'profile_type3': 0.8742227586218992, 'profile_type4': 0.8737576131695464}"
manual,b8cTxDM8gDG,2,equal,130,"{'equal': 1.1316489487931396, 'profile_context': 1.1908984729319336, 'profile_continuous': 1.1769400422024703, 'profile_type2': 1.1673501226968075, 'profile_type3': 1.165721396419714, 'profile_type4': 1.1600516141216795}"
manual,b8cTxDM8gDG,4,equal,69,"{'equal': 0.9158489672189102, 'profile_context': 0.9801402475231127, 'profile_continuous': 0.9581511829669142, 'profile_type2': 0.9477723445033259, 'profile_type3': 0.9482693610294461, 'profile_type4': 0.9450111098996684}"
manual,b8cTxDM8gDG,6,equal,45,"{'equal': 0.8820595907023548, 'profile_context': 0.937165195894914, 'profile_continuous': 0.9244937012152442, 'profile_type2': 0.9086953049926988, 'profile_type3': 0.9154267477193195, 'profile_type4': 0.9169686468173512}"
manual,b8cTxDM8gDG,8,equal,45,"{'equal': 0.842476938732914, 'profile_context': 0.8807424939297606, 'profile_continuous': 0.8689818818042492, 'profile_type2': 0.8642094065035185, 'profile_type3': 0.8680741403025898, 'profile_type4': 0.868523146810155}"
manual,e9zR4mvMWw7,2,equal,129,"{'equal': 1.1416619398179486, 'profile_context': 1.2008781745471717, 'profile_continuous': 1.187545914647648, 'profile_type2': 1.1839259797668746, 'profile_type3': 1.1834228170923737, 'profile_type4': 1.1719043763010342}"
manual,e9zR4mvMWw7,4,equal,67,"{'equal': 0.9322576360512258, 'profile_context': 0.9992964031229622, 'profile_continuous': 0.9788451409418727, 'profile_type2': 0.9641400388455971, 'profile_type3': 0.9672822305605284, 'profile_type4': 0.958169800184642}"
manual,e9zR4mvMWw7,6,equal,45,"{'equal': 0.8846826173741507, 'profile_context': 0.940116765289389, 'profile_continuous': 0.9280261757948368, 'profile_type2': 0.9111260840827247, 'profile_type3': 0.9189446331933275, 'profile_type4': 0.9182229511249858}"
manual,e9zR4mvMWw7,8,equal,45,"{'equal': 0.8451559819309793, 'profile_context': 0.8830384781259026, 'profile_continuous': 0.8712767366203334, 'profile_type2': 0.8644416847934884, 'profile_type3': 0.8693702778298282, 'profile_type4': 0.8671911938944943}"
manual,jh4fc5c5qoQ,2,equal,132,"{'equal': 1.134563848535224, 'profile_context': 1.1953408837709836, 'profile_continuous': 1.182289586755092, 'profile_type2': 1.185109530704038, 'profile_type3': 1.1833284304628764, 'profile_type4': 1.172899638848661}"
manual,jh4fc5c5qoQ,4,equal,71,"{'equal': 0.92454924994602, 'profile_context': 0.9940707198079382, 'profile_continuous': 0.9729558585201065, 'profile_type2': 0.9711778703597825, 'profile_type3': 0.9639158064752762, 'profile_type4': 0.9575704838934893}"
manual,jh4fc5c5qoQ,6,equal,46,"{'equal': 0.8871603308948578, 'profile_context': 0.9431288920416917, 'profile_continuous': 0.9308412363076926, 'profile_type2': 0.9177029315119675, 'profile_type3': 0.9225214721203475, 'profile_type4': 0.9251351091506711}"
manual,jh4fc5c5qoQ,8,equal,46,"{'equal': 0.8487981962572657, 'profile_context': 0.8880701580470315, 'profile_continuous': 0.8759997105812332, 'profile_type2': 0.8739162017301784, 'profile_type3': 0.8743624517825603, 'profile_type4': 0.8750855560006379}"
manual,jtcxE69GiFV,2,equal,129,"{'equal': 1.136504988813135, 'profile_context': 1.1960123978088772, 'profile_continuous': 1.1809340989967094, 'profile_type2': 1.1807448371254612, 'profile_type3': 1.176890636182529, 'profile_type4': 1.1708860393229663}"
manual,jtcxE69GiFV,4,equal,70,"{'equal': 0.9258019050468073, 'profile_context': 0.9887380077447667, 'profile_continuous': 0.9688084358520208, 'profile_type2': 0.9622056026290612, 'profile_type3': 0.9534467071899432, 'profile_type4': 0.954988547245335}"
manual,jtcxE69GiFV,6,equal,46,"{'equal': 0.8871603308948578, 'profile_context': 0.9362225164781843, 'profile_continuous': 0.9260353766974229, 'profile_type2': 0.9128106415101326, 'profile_type3': 0.9135070262620103, 'profile_type4': 0.9155580797696103}"
manual,jtcxE69GiFV,8,equal,46,"{'equal': 0.8487981962572657, 'profile_context': 0.8843358525192938, 'profile_continuous': 0.8720747796166551, 'profile_type2': 0.8675477727572347, 'profile_type3': 0.8677450695903488, 'profile_type4': 0.8686146491168879}"
manual,pRbA3pwrgk9,2,equal,130,"{'equal': 1.1447625101797279, 'profile_context': 1.2071734897843915, 'profile_continuous': 1.1950961789710535, 'profile_type2': 1.1842258279885112, 'profile_type3': 1.1797263625301466, 'profile_type4': 1.1768615766266577}"
manual,pRbA3pwrgk9,4,equal,69,"{'equal': 0.9302498853258051, 'profile_context': 0.9944572344975262, 'profile_continuous': 0.9771465039132543, 'profile_type2': 0.9674348328904573, 'profile_type3': 0.962608878108909, 'profile_type4': 0.9615489873335348}"
manual,pRbA3pwrgk9,6,equal,45,"{'equal': 0.8816139334651842, 'profile_context': 0.9326162148317367, 'profile_continuous': 0.9233603141260242, 'profile_type2': 0.9081854265397128, 'profile_type3': 0.907551688370957, 'profile_type4': 0.9112888091732155}"
manual,pRbA3pwrgk9,8,equal,45,"{'equal': 0.8434566600661141, 'profile_context': 0.8755349440080381, 'profile_continuous': 0.86508226543712, 'profile_type2': 0.864497359229078, 'profile_type3': 0.8645693536427894, 'profile_type4': 0.8661246516893216}"
manual,pa4otMbVnkk,2,equal,132,"{'equal': 1.1330171743819122, 'profile_context': 1.1924879394272672, 'profile_continuous': 1.1802073310968184, 'profile_type2': 1.1733473786711832, 'profile_type3': 1.1682279293890308, 'profile_type4': 1.1649288156741602}"
manual,pa4otMbVnkk,4,equal,70,"{'equal': 0.9199018776865832, 'profile_context': 0.9845381036865785, 'profile_continuous': 0.9665985593817015, 'profile_type2': 0.9652231572036795, 'profile_type3': 0.9588082930788158, 'profile_type4': 0.959514497773978}"
manual,pa4otMbVnkk,6,equal,46,"{'equal': 0.8871603308948578, 'profile_context': 0.9386461594886477, 'profile_continuous': 0.9288729694203408, 'profile_type2': 0.9187664858864903, 'profile_type3': 0.9176550757922486, 'profile_type4': 0.9175582983918129}"
manual,pa4otMbVnkk,8,equal,46,"{'equal': 0.8487981962572657, 'profile_context': 0.8830959171037253, 'profile_continuous': 0.8722990981962312, 'profile_type2': 0.8741067955438682, 'profile_type3': 0.8722791607148841, 'profile_type4': 0.8733430728378591}"
manual,q9vSo1VnCiC,2,equal,120,"{'equal': 1.1462795851490946, 'profile_context': 1.2026500351884235, 'profile_continuous': 1.1906257554704551, 'profile_type2': 1.187749307271481, 'profile_type3': 1.181421768311402, 'profile_type4': 1.1772459526054708}"
manual,q9vSo1VnCiC,4,equal,65,"{'equal': 0.9354930336724515, 'profile_context': 1.0030151169004655, 'profile_continuous': 0.9811865968012904, 'profile_type2': 0.9725670497599519, 'profile_type3': 0.9711639686480088, 'profile_type4': 0.9720982745746028}"
manual,q9vSo1VnCiC,6,equal,42,"{'equal': 0.8918464313751894, 'profile_context': 0.9420931218814074, 'profile_continuous': 0.9326430379634881, 'profile_type2': 0.9237373215816327, 'profile_type3': 0.9230257385858991, 'profile_type4': 0.9226171834624265}"
manual,q9vSo1VnCiC,8,equal,42,"{'equal': 0.8509336309138256, 'profile_context': 0.8853638569744413, 'profile_continuous': 0.8736630522620122, 'profile_type2': 0.8752700104161416, 'profile_type3': 0.8741582046017117, 'profile_type4': 0.8757182766717199}"
manual,rPc6DW4iMge,2,equal,124,"{'equal': 1.1356068134129107, 'profile_context': 1.2023607247064898, 'profile_continuous': 1.18714568772338, 'profile_type2': 1.1730315904561204, 'profile_type3': 1.1760400984192487, 'profile_type4': 1.1733397091777276}"
