base_task_id,cluster_id,cluster_support,cluster_medoid_annotation_id,cluster_medoid_worker_id,cluster_medoid_geometry_sha256,cluster_medoid_gt_iou,largest_cluster_gt_iou,second_cluster_gt_iou,gt_alignment_margin,public_gt_status
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,largest,4,9ba553c8c79977374da6,6,0d608476bd0fd144a97e6216bcfc5cea2838d46354afabb88a5400277a71e767,0.8273930469565495,,,,valid
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,second,1,,,,,,,,not_evaluable
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,largest,3,c89be364009b1fc0544e,30,a19921411a9087676166a98f39a6f8f0cabd74e1565af0e296081b6d3b024edc,0.8170038437484628,,,,valid
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,second,2,,,,,,,,not_evaluable
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,largest,3,6051dfca1aade85a07a8,31,98198db9182417588f46a686f8c1747d1789f7ba4918f3cc516195bd30e3db88,0.8213698127306455,,,,valid
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,second,1,,,,,,,,not_evaluable
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,largest,4,4486738211819be8d3d4,6,62ee6455e71112908e3d880721c6d481f9fa88000124de0519511341328ef821,1.0,,,,valid
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,second,0,,,,,,,,not_evaluable
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,largest,3,a25753564e8d0fb8f8d6,2,533369d10ad70c9048ac58f755ba2e0b2627bc3269a7849f608a2fe4327e5689,0.9676446818632537,,,,valid
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,second,1,,,,,,,,not_evaluable
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,largest,2,2aea8c4c7647e5dcbf4f,10,9d9c3b0a9405e1649069b567bc78d6bd3a3766d33e77e0dc1d2c2164ce5d1e9a,0.9802568312419374,,,,valid
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,second,1,,,,,,,,not_evaluable
7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,largest,5,ca89b9306226c9c332c3,2,d4051caaf0d6f56fcb95282cdc04fa0990320c82e2a9be4c8b2b9e3a7f0df22b,0.9722104498395593,,,,valid
7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,second,0,,,,,,,,not_evaluable
7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,largest,4,60f051ba3d820f7cf2c1,15,64b74d3e3bf32bba756b270e1452683aea4fe1c0618652257855a5407fe36985,0.9521166408435916,,,,valid
7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,second,1,,,,,,,,not_evaluable
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,largest,4,260cf962d9bea8512f9e,34,99ea21e65745b9c4ec95cb465bf0b4a5784fa708597f0c9d8fdb6b330f01d1e2,0.7339369477473546,,,,valid
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,second,1,,,,,,,,not_evaluable
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,largest,4,1a60a6ad7849198e802c,2,7d404b8e6f9da4dd596c2bf557eb07625112fc05161ab3470d3e31e2d4b7ad91,1.0,,,,valid
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,second,0,,,,,,,,not_evaluable
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,largest,5,cc1c0c89b7e5fdacc836,36,93398a6ca2031a0c18352e91d5ab6e81e3c7ab3cb543c42bcd48c5f0b6321799,0.9772891002806026,,,,valid
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,second,0,,,,,,,,not_evaluable
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,largest,3,bf6d1e98afbb6306ebff,32,0b6a6a50b7e1e09aee0446cb291ff6b2c7067deaf9e0fc7909dbf9a7246a0ff5,0.9571598695898327,,,,valid
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,second,1,,,,,,,,not_evaluable
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,largest,4,0d42858d359ebfc9e871,28,888bb9f4b220dd30e9d6624ca82d8f592499d74f3a82effaeaf6509bf45fca69,0.8462045667304327,,,,valid
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,second,1,,,,,,,,not_evaluable
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,largest,3,bb9ad0084abc09c47837,37,dd4ac57df933043fea61b10d9adb7ebe0816d394cd9d86ea721f3bb78627fe8a,0.9125201918328744,,,,valid
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,second,1,,,,,,,,not_evaluable
B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,largest,3,495d562be7d142d5bbc5,2,2071aa96f0708cfab9be9d5dfd5981baa7d4f3c5f2d843cead925d9141bb5e9e,0.9596907408557411,,,,valid
B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,second,1,,,,,,,,not_evaluable
B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,largest,5,22dcfad23c6ac14bd521,31,37107df08122c0df9c794d3656a31acb23281d1ac0754f27aee95b7b74461863,0.5644452228741571,,,,valid
B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,second,0,,,,,,,,not_evaluable
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,largest,5,62d758541221214e1490,17,336ad12c19fedd108411a46b77e459a901a625fa0f383c5f6d3541a64646c330,0.7823755160349148,,,,valid
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,second,0,,,,,,,,not_evaluable
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,largest,2,df7008318a29295ca160,30,029ab641e0fb5a8de64ab122fdc7c663b583eb20066fc3b74e68ddf291ed9a68,0.7895818639798489,,,,valid
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,second,2,,,,,,,,not_evaluable
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,largest,2,e33b39ba56ff49c56427,29,26746b5597ade7701662f1b879b81a60a281d301d425fde62bc99493b32c5351,0.8203601256814459,,,,valid
