condition,target,feature,controls,n,buildings,slope,cluster_se,lo,hi,partial_rho,status
manual,singleton_mass,gap_hohonet_ulayout,n_building_scene,166,22,1.7840001618,0.673888374747,0.4631789473,3.10482137631,0.268841358696,descriptive_not_causal
manual,within_mode_median,trait__floor_boundary__partial,n_building_scene,126,19,0.0159547112443,0.00748085112849,0.00129224303244,0.0306171794561,0.174544582449,descriptive_not_causal
manual,within_mode_median,trait__reflection_glass__present,n_building_scene,126,19,-0.00256105682851,0.0054834433899,-0.0133086058727,0.00818649221568,-0.0979682200884,descriptive_not_causal
manual,within_mode_median,count_hohonet,n_building_scene,126,19,0.000873254002144,0.000428115908684,3.41468211223e-05,0.00171236118317,0.245771495167,descriptive_not_causal
manual,within_mode_median,rotation_hohonet,n_building_scene,126,19,1.71126412746,1.04200717907,-0.331069943526,3.75359819845,0.240927245485,descriptive_not_causal
manual,within_mode_median,count_bi_enclosed,n_building_scene,126,19,0.000889127333795,0.000252860070674,0.000393521595275,0.00138473307232,0.281222440303,descriptive_not_causal
manual,within_mode_median,bi_head_geometry_gap,n_building_scene,124,19,0.0315780572144,0.0281260415543,-0.023548984232,0.0867050986607,0.135364280094,descriptive_not_causal
manual,within_mode_median,gap_hohonet_ulayout,n_building_scene,126,19,0.113649704046,0.0737413664507,-0.0308833741977,0.258182782289,0.272080989876,descriptive_not_causal
manual,point_count_disagreement,trait__floor_boundary__partial,n_building_scene,166,22,0.281088675473,0.106817208537,0.0717269467401,0.490450404206,0.153603773894,descriptive_not_causal
manual,point_count_disagreement,trait__reflection_glass__present,n_building_scene,166,22,-0.0182098041605,0.084528315299,-0.183885302146,0.147465693825,-0.060203024865,descriptive_not_causal
manual,point_count_disagreement,count_hohonet,n_building_scene,166,22,0.0312590373952,0.00382060366047,0.0237706542207,0.0387474205697,0.481031645528,descriptive_not_causal
manual,point_count_disagreement,rotation_hohonet,n_building_scene,166,22,41.1146947066,17.4324070092,6.94717696855,75.2822124446,0.273217743089,descriptive_not_causal
manual,point_count_disagreement,count_bi_enclosed,n_building_scene,166,22,0.0232854979398,0.00350589980179,0.0164139343283,0.0301570615513,0.434000119372,descriptive_not_causal
manual,point_count_disagreement,bi_head_geometry_gap,n_building_scene,164,22,1.06716216275,0.335109785037,0.410346984081,1.72397734143,0.242333431059,descriptive_not_causal
manual,point_count_disagreement,gap_hohonet_ulayout,n_building_scene,166,22,2.88749277504,0.646733405916,1.61989529944,4.15509025063,0.265120391224,descriptive_not_causal
semi,cdf_early7,trait__floor_boundary__partial,n_building_scene,16,,,,,,,no_within_control_variation
semi,cdf_early7,trait__reflection_glass__present,n_building_scene,16,,,,,,,no_within_control_variation
semi,cdf_early7,count_hohonet,n_building_scene,16,7,0.121658108672,0.0505768903517,0.0225274035822,0.220788813761,0.57100591716,descriptive_not_causal
