condition,target,feature,controls,unadjusted_rho,n,buildings,slope,cluster_se,lo,hi,partial_rho,status,residual_predictor_variance
manual,cdf_early7,trait__floor_boundary__partial,none,-0.282707546229,42,15,-0.312403272475,0.102805176886,-0.513901419171,-0.110905125779,-0.378069721583,descriptive_cluster_adjusted_not_causal,0.221279188614
manual,cdf_early7,trait__floor_boundary__partial,n,-0.282707546229,42,15,-0.312403272475,0.102805176886,-0.513901419171,-0.110905125779,-0.378069721583,descriptive_cluster_adjusted_not_causal,0.221279188614
manual,cdf_early7,trait__floor_boundary__partial,n_building_scene,-0.282707546229,42,15,-0.0885784980551,0.169299666646,-0.420405844682,0.243248848571,0.0404408785153,descriptive_cluster_adjusted_not_causal,0.0201476378387
manual,cdf_early7,trait__floor_boundary__present,none,0.282707546229,42,15,0.312403272475,0.102805176886,0.110905125779,0.513901419171,0.378069721583,descriptive_cluster_adjusted_not_causal,0.221279188614
manual,cdf_early7,trait__floor_boundary__present,n,0.282707546229,42,15,0.312403272475,0.102805176886,0.110905125779,0.513901419171,0.378069721583,descriptive_cluster_adjusted_not_causal,0.221279188614
manual,cdf_early7,trait__floor_boundary__present,n_building_scene,0.282707546229,42,15,0.0885784980551,0.169299666646,-0.243248848571,0.420405844682,-0.0326606694222,descriptive_cluster_adjusted_not_causal,0.0201476378387
manual,cdf_early7,trait__ceiling_boundary__partial,none,0.00972102598901,42,15,-0.0200393372163,0.110739950327,-0.237089639858,0.197010965425,0.0187108491066,descriptive_cluster_adjusted_not_causal,0.104485413143
manual,cdf_early7,trait__ceiling_boundary__partial,n,0.00972102598901,42,15,-0.0200393372163,0.110739950327,-0.237089639858,0.197010965425,0.0187108491066,descriptive_cluster_adjusted_not_causal,0.104485413143
manual,cdf_early7,trait__ceiling_boundary__partial,n_building_scene,0.00972102598901,42,15,-0.239061833263,0.157801793511,-0.548353348546,0.070229682019,-0.17942380176,descriptive_cluster_adjusted_not_causal,0.0353032003958
manual,cdf_early7,trait__ceiling_boundary__present,none,-0.00972102598901,42,15,0.0200393372163,0.110739950327,-0.197010965425,0.237089639858,-0.0187108491066,descriptive_cluster_adjusted_not_causal,0.104485413143
manual,cdf_early7,trait__ceiling_boundary__present,n,-0.00972102598901,42,15,0.0200393372163,0.110739950327,-0.197010965425,0.237089639858,-0.0187108491066,descriptive_cluster_adjusted_not_causal,0.104485413143
manual,cdf_early7,trait__ceiling_boundary__present,n_building_scene,-0.00972102598901,42,15,0.239061833263,0.157801793511,-0.070229682019,0.548353348546,0.181781343707,descriptive_cluster_adjusted_not_causal,0.0353032003958
manual,cdf_early7,trait__corner_occlusion__absent,none,0.282707546229,42,15,0.312403272475,0.102805176886,0.110905125779,0.513901419171,0.378069721583,descriptive_cluster_adjusted_not_causal,0.221279188614
manual,cdf_early7,trait__corner_occlusion__absent,n,0.282707546229,42,15,0.312403272475,0.102805176886,0.110905125779,0.513901419171,0.378069721583,descriptive_cluster_adjusted_not_causal,0.221279188614
manual,cdf_early7,trait__corner_occlusion__absent,n_building_scene,0.282707546229,42,15,0.0885784980551,0.169299666646,-0.243248848571,0.420405844682,-0.0326606694222,descriptive_cluster_adjusted_not_causal,0.0201476378387
manual,cdf_early7,trait__corner_occlusion__present,none,-0.282707546229,42,15,-0.312403272475,0.102805176886,-0.513901419171,-0.110905125779,-0.378069721583,descriptive_cluster_adjusted_not_causal,0.221279188614
manual,cdf_early7,trait__corner_occlusion__present,n,-0.282707546229,42,15,-0.312403272475,0.102805176886,-0.513901419171,-0.110905125779,-0.378069721583,descriptive_cluster_adjusted_not_causal,0.221279188614
manual,cdf_early7,trait__corner_occlusion__present,n_building_scene,-0.282707546229,42,15,-0.0885784980551,0.169299666646,-0.420405844682,0.243248848571,0.0404408785153,descriptive_cluster_adjusted_not_causal,0.0201476378387
manual,cdf_early7,trait__connected_space__absent,none,,42,,,,,,,insufficient_predictor_variation,
manual,cdf_early7,trait__connected_space__absent,n,,42,,,,,,,insufficient_predictor_variation,
manual,cdf_early7,trait__connected_space__absent,n_building_scene,,42,,,,,,,insufficient_predictor_variation,
manual,cdf_early7,trait__connected_space__present,none,,42,,,,,,,insufficient_predictor_variation,
manual,cdf_early7,trait__connected_space__present,n,,42,,,,,,,insufficient_predictor_variation,
manual,cdf_early7,trait__connected_space__present,n_building_scene,,42,,,,,,,insufficient_predictor_variation,
manual,cdf_early7,trait__reflection_glass__absent,none,,42,,,,,,,insufficient_predictor_variation,
manual,cdf_early7,trait__reflection_glass__absent,n,,42,,,,,,,insufficient_predictor_variation,
manual,cdf_early7,trait__reflection_glass__absent,n_building_scene,,42,,,,,,,insufficient_predictor_variation,
manual,cdf_early7,trait__reflection_glass__present,none,-0.0627175706151,42,15,-0.08767315376,0.105827179823,-0.295094426214,0.119748118694,-0.0617539806892,descriptive_cluster_adjusted_not_causal,0.203766149554
manual,cdf_early7,trait__reflection_glass__present,n,-0.0627175706151,42,15,-0.08767315376,0.105827179823,-0.295094426214,0.119748118694,-0.0617539806892,descriptive_cluster_adjusted_not_causal,0.203766149554
manual,cdf_early7,trait__reflection_glass__present,n_building_scene,-0.0627175706151,42,15,-0.185464448366,0.148476345587,-0.476478085716,0.105549188984,-0.226922765216,descriptive_cluster_adjusted_not_causal,0.0543627736528
manual,cdf_early7,trait__low_contrast__absent,none,,42,,,,,,,insufficient_predictor_variation,
manual,cdf_early7,trait__low_contrast__absent,n,,42,,,,,,,insufficient_predictor_variation,
manual,cdf_early7,trait__low_contrast__absent,n_building_scene,,42,,,,,,,insufficient_predictor_variation,
manual,cdf_early7,trait__low_contrast__present,none,,42,,,,,,,insufficient_predictor_variation,
manual,cdf_early7,trait__low_contrast__present,n,,42,,,,,,,insufficient_predictor_variation,
manual,cdf_early7,trait__low_contrast__present,n_building_scene,,42,,,,,,,insufficient_predictor_variation,
