worker_id,effect,fit_status,component,layer_value,label,training_rows,training_images,training_buildings,cohort,metric,k,method
21,-0.6654814535887642,usable,0,-0.7950291263844182,2,45,45,13,all26,ospa30,5,quantile
26,5.182339149797497,usable,0,3.363435375704699,5,22,22,12,all26,ospa30,5,quantile
27,-2.3057479141917008,usable,0,-1.9937060451071587,1,75,75,13,all26,ospa30,5,quantile
28,-1.4690816379968494,usable,0,-1.9937060451071587,1,80,80,17,all26,ospa30,5,quantile
29,0.3747911765965625,usable,0,0.09757332947180775,4,81,81,17,all26,ospa30,5,quantile
30,0.1475812027326109,usable,0,0.09757332947180775,4,84,84,17,all26,ospa30,5,quantile
31,-0.0890807674849642,usable,0,0.09757332947180775,4,89,89,19,all26,ospa30,5,quantile
32,-0.16181019712796554,usable,0,-0.2735323246634981,3,87,87,18,all26,ospa30,5,quantile
33,-1.2392833006582016,usable,0,-0.7950291263844182,2,86,86,18,all26,ospa30,5,quantile
34,1.5609153145610046,usable,0,3.363435375704699,5,101,101,19,all26,ospa30,5,quantile
35,0.3934042375466836,usable,0,3.363435375704699,5,79,79,18,all26,ospa30,5,quantile
36,-0.5893325337738439,usable,0,-0.7950291263844182,2,85,85,19,all26,ospa30,5,quantile
37,2.0798191358035534,usable,0,3.363435375704699,5,83,83,18,all26,ospa30,5,quantile
6,-0.410714860580129,usable,0,-0.2735323246634981,3,83,83,18,all26,ospa30,5,quantile
8,-0.879934109766557,usable,0,-0.7950291263844182,2,80,80,18,all26,ospa30,5,quantile
1,-0.15517914664737245,usable,0,-0.5326265912755106,1,85,85,18,all26,ospa30,2,ward
10,-0.37662577037852757,usable,0,-0.5326265912755106,1,83,83,17,all26,ospa30,2,ward
11,-0.17056331195757274,usable,0,-0.5326265912755106,1,83,83,17,all26,ospa30,2,ward
12,0.20975418216220196,usable,0,-0.5326265912755106,1,78,78,17,all26,ospa30,2,ward
13,-0.24794748327329558,usable,0,-0.5326265912755106,1,81,81,18,all26,ospa30,2,ward
14,-0.6011142341347249,usable,0,-0.5326265912755106,1,74,74,13,all26,ospa30,2,ward
15,-1.2949523660237292,usable,0,-0.5326265912755106,1,82,82,19,all26,ospa30,2,ward
17,-1.4848434883229225,usable,0,-0.5326265912755106,1,82,82,19,all26,ospa30,2,ward
18,-2.040716348546062,usable,0,-0.5326265912755106,1,74,74,13,all26,ospa30,2,ward
19,7.600699040814756,usable,0,6.391519095306126,2,45,45,13,all26,ospa30,2,ward
2,-3.3668945155616883,usable,0,-0.5326265912755106,1,78,78,16,all26,ospa30,2,ward
21,-0.6654814535887642,usable,0,-0.5326265912755106,1,45,45,13,all26,ospa30,2,ward
26,5.182339149797497,usable,0,6.391519095306126,2,22,22,12,all26,ospa30,2,ward
27,-2.3057479141917008,usable,0,-0.5326265912755106,1,75,75,13,all26,ospa30,2,ward
28,-1.4690816379968494,usable,0,-0.5326265912755106,1,80,80,17,all26,ospa30,2,ward
29,0.3747911765965625,usable,0,-0.5326265912755106,1,81,81,17,all26,ospa30,2,ward
30,0.1475812027326109,usable,0,-0.5326265912755106,1,84,84,17,all26,ospa30,2,ward
31,-0.0890807674849642,usable,0,-0.5326265912755106,1,89,89,19,all26,ospa30,2,ward
32,-0.16181019712796554,usable,0,-0.5326265912755106,1,87,87,18,all26,ospa30,2,ward
