worker_id,effect,fit_status,component,layer_value,label,training_rows,training_images,training_buildings,cohort,metric,k,method,heldout_building
1,-0.15469556702041543,usable,0,1.2875208915064649,2,85,85,18,all26,ospa30,2,quantile,2t7WUuJeko7
10,-0.37649127173346736,usable,0,-1.287520891506465,1,83,83,17,all26,ospa30,2,quantile,2t7WUuJeko7
11,-0.170433963507636,usable,0,1.2875208915064649,2,83,83,17,all26,ospa30,2,quantile,2t7WUuJeko7
12,0.20986466200242979,usable,0,1.2875208915064649,2,78,78,17,all26,ospa30,2,quantile,2t7WUuJeko7
13,-0.24745590213876603,usable,0,1.2875208915064649,2,81,81,18,all26,ospa30,2,quantile,2t7WUuJeko7
14,-0.6005264221760702,usable,0,-1.287520891506465,1,74,74,13,all26,ospa30,2,quantile,2t7WUuJeko7
15,-1.2946930980808407,usable,0,-1.287520891506465,1,82,82,19,all26,ospa30,2,quantile,2t7WUuJeko7
17,-1.4849957237764055,usable,0,-1.287520891506465,1,82,82,19,all26,ospa30,2,quantile,2t7WUuJeko7
18,-2.0401754524719866,usable,0,-1.287520891506465,1,74,74,13,all26,ospa30,2,quantile,2t7WUuJeko7
19,7.6006981631336785,usable,0,1.2875208915064649,2,45,45,13,all26,ospa30,2,quantile,2t7WUuJeko7
2,-3.366527011744188,usable,0,-1.287520891506465,1,78,78,16,all26,ospa30,2,quantile,2t7WUuJeko7
21,-0.6654823312698119,usable,0,-1.287520891506465,1,45,45,13,all26,ospa30,2,quantile,2t7WUuJeko7
26,5.1823391497975,usable,0,1.2875208915064649,2,22,22,12,all26,ospa30,2,quantile,2t7WUuJeko7
27,-2.3057662352084125,usable,0,-1.287520891506465,1,75,75,13,all26,ospa30,2,quantile,2t7WUuJeko7
28,-1.46904875571649,usable,0,-1.287520891506465,1,80,80,17,all26,ospa30,2,quantile,2t7WUuJeko7
29,0.3749595546618658,usable,0,1.2875208915064649,2,81,81,17,all26,ospa30,2,quantile,2t7WUuJeko7
30,0.147485000378051,usable,0,1.2875208915064649,2,84,84,17,all26,ospa30,2,quantile,2t7WUuJeko7
31,-0.09893498549253095,usable,0,1.2875208915064649,2,87,87,18,all26,ospa30,2,quantile,2t7WUuJeko7
32,-0.1618757935468731,usable,0,1.2875208915064649,2,87,87,18,all26,ospa30,2,quantile,2t7WUuJeko7
33,-1.2391117640637832,usable,0,-1.287520891506465,1,86,86,18,all26,ospa30,2,quantile,2t7WUuJeko7
34,1.5814528607179128,usable,0,1.2875208915064649,2,99,99,18,all26,ospa30,2,quantile,2t7WUuJeko7
35,0.39398352972924294,usable,0,1.2875208915064649,2,79,79,18,all26,ospa30,2,quantile,2t7WUuJeko7
36,-0.5892611654280603,usable,0,-1.287520891506465,1,85,85,19,all26,ospa30,2,quantile,2t7WUuJeko7
37,2.080384880869584,usable,0,1.2875208915064649,2,83,83,18,all26,ospa30,2,quantile,2t7WUuJeko7
6,-0.41094378331727394,usable,0,-1.287520891506465,1,83,83,18,all26,ospa30,2,quantile,2t7WUuJeko7
8,-0.8947485745972551,usable,0,-1.287520891506465,1,78,78,17,all26,ospa30,2,quantile,2t7WUuJeko7
1,-0.15469556702041543,usable,0,-0.3389604836085703,2,85,85,18,all26,ospa30,3,quantile,2t7WUuJeko7
10,-0.37649127173346736,usable,0,-0.3389604836085703,2,83,83,17,all26,ospa30,3,quantile,2t7WUuJeko7
11,-0.170433963507636,usable,0,-0.3389604836085703,2,83,83,17,all26,ospa30,3,quantile,2t7WUuJeko7
12,0.20986466200242979,usable,0,1.9413592017553039,3,78,78,17,all26,ospa30,3,quantile,2t7WUuJeko7
