cohort,metric,k,method,images,all_groups_at_least_one,all_groups_at_least_two,all_groups_at_least_three
all26,ospa30,2,quantile,184,151,113,86
all26,ospa30,2,ward,184,45,22,0
all26,ospa30,3,quantile,184,130,81,66
all26,ospa30,3,ward,184,45,22,0
all26,ospa30,4,quantile,184,98,63,58
all26,ospa30,4,ward,184,45,22,0
all26,ospa30,5,quantile,184,80,58,58
all26,ospa30,5,ward,184,22,0,0
all26,ospa60,2,quantile,184,153,120,84
all26,ospa60,2,ward,184,45,22,0
all26,ospa60,3,quantile,184,128,80,62
all26,ospa60,3,ward,184,45,22,0
all26,ospa60,4,quantile,184,101,67,58
all26,ospa60,4,ward,184,45,22,0
all26,ospa60,5,quantile,184,79,58,58
all26,ospa60,5,ward,184,44,0,0
current20,ospa30,2,quantile,184,148,106,79
current20,ospa30,2,ward,184,141,99,68
current20,ospa30,3,quantile,184,114,75,61
current20,ospa30,3,ward,184,94,64,0
current20,ospa30,4,quantile,184,89,62,58
current20,ospa30,4,ward,184,67,0,0
current20,ospa30,5,quantile,184,73,58,58
current20,ospa30,5,ward,184,62,0,0
current20,ospa60,2,quantile,184,149,109,80
current20,ospa60,2,ward,184,137,88,65
current20,ospa60,3,quantile,184,119,77,60
current20,ospa60,3,ward,184,92,63,0
current20,ospa60,4,quantile,184,88,63,58
current20,ospa60,4,ward,184,67,0,0
current20,ospa60,5,quantile,184,75,58,58
current20,ospa60,5,ward,184,64,0,0
