cohort,metric,k,method,worker_id,same_as_full_fraction,folds,distinct_labels,min_label,max_label
all26,ospa30,2,quantile,1,1.0,22,1,2,2
all26,ospa30,2,quantile,10,0.8181818181818182,22,2,1,2
all26,ospa30,2,quantile,11,0.9545454545454546,22,2,1,2
all26,ospa30,2,quantile,12,1.0,22,1,2,2
all26,ospa30,2,quantile,13,0.8181818181818182,22,2,1,2
all26,ospa30,2,quantile,14,1.0,22,1,1,1
all26,ospa30,2,quantile,15,1.0,22,1,1,1
all26,ospa30,2,quantile,17,1.0,22,1,1,1
all26,ospa30,2,quantile,18,1.0,22,1,1,1
all26,ospa30,2,quantile,19,1.0,22,1,2,2
all26,ospa30,2,quantile,2,1.0,22,1,1,1
all26,ospa30,2,quantile,21,0.9545454545454546,22,2,1,2
all26,ospa30,2,quantile,26,1.0,22,1,2,2
all26,ospa30,2,quantile,27,1.0,22,1,1,1
all26,ospa30,2,quantile,28,1.0,22,1,1,1
all26,ospa30,2,quantile,29,1.0,22,1,2,2
all26,ospa30,2,quantile,30,1.0,22,1,2,2
all26,ospa30,2,quantile,31,1.0,22,1,2,2
all26,ospa30,2,quantile,32,0.9545454545454546,22,2,1,2
all26,ospa30,2,quantile,33,1.0,22,1,1,1
all26,ospa30,2,quantile,34,1.0,22,1,2,2
all26,ospa30,2,quantile,35,1.0,22,1,2,2
all26,ospa30,2,quantile,36,0.9545454545454546,22,2,1,2
all26,ospa30,2,quantile,37,1.0,22,1,2,2
all26,ospa30,2,quantile,6,1.0,22,1,1,1
all26,ospa30,2,quantile,8,1.0,22,1,1,1
all26,ospa30,2,ward,1,1.0,22,1,1,1
all26,ospa30,2,ward,10,1.0,22,1,1,1
all26,ospa30,2,ward,11,1.0,22,1,1,1
all26,ospa30,2,ward,12,1.0,22,1,1,1
all26,ospa30,2,ward,13,1.0,22,1,1,1
all26,ospa30,2,ward,14,1.0,22,1,1,1
all26,ospa30,2,ward,15,1.0,22,1,1,1
all26,ospa30,2,ward,17,1.0,22,1,1,1
all26,ospa30,2,ward,18,1.0,22,1,1,1
all26,ospa30,2,ward,19,1.0,22,1,2,2
all26,ospa30,2,ward,2,1.0,22,1,1,1
all26,ospa30,2,ward,21,1.0,22,1,1,1
all26,ospa30,2,ward,26,1.0,22,1,2,2
all26,ospa30,2,ward,27,1.0,22,1,1,1
all26,ospa30,2,ward,28,1.0,22,1,1,1
all26,ospa30,2,ward,29,1.0,22,1,1,1
all26,ospa30,2,ward,30,1.0,22,1,1,1
all26,ospa30,2,ward,31,1.0,22,1,1,1
all26,ospa30,2,ward,32,1.0,22,1,1,1
all26,ospa30,2,ward,33,1.0,22,1,1,1
