config,k,lookahead,early_stable_later_stable_n,early_stable_later_changing_n,early_stable_later_unknown_n,early_changing_later_stable_n,early_changing_later_changing_n,early_changing_later_unknown_n,early_unknown_later_stable_n,early_unknown_later_changing_n,early_unknown_later_unknown_n,paired_n,early_stable_n,early_stable_later_evaluable_n,early_stable_to_later_stable_rate,early_stable_to_later_changing_rate,early_stable_to_later_unknown_rate,early_stable_to_later_stable_rate_among_evaluable,later_lookahead,min_support,epsilon,summary_level,images
ospa30_t6,2.0,1.0,2275,1454,259,0,913,129,0,0,5970,11000,3988,3729,0.5704613841524574,0.3645937813440321,0.06494483450351053,0.610083132207026,5,2,0.1,k_h_config,55
ospa30_t6,2.0,2.0,2275,869,145,0,1498,146,0,0,6067,11000,3289,3144,0.691699604743083,0.26421404682274247,0.04408634843417452,0.7236005089058524,5,2,0.1,k_h_config,55
ospa30_t6,2.0,3.0,2275,491,80,0,1876,123,0,0,6155,11000,2846,2766,0.7993675333801827,0.17252283907238228,0.028109627547434995,0.8224873463485177,5,2,0.1,k_h_config,55
ospa30_t6,3.0,1.0,2064,2556,378,0,1943,234,0,0,3825,11000,4998,4620,0.4129651860744298,0.5114045618247299,0.07563025210084033,0.44675324675324674,5,2,0.1,k_h_config,55
ospa30_t6,3.0,2.0,2064,663,119,0,3836,341,0,0,3977,11000,2846,2727,0.725228390723823,0.23295853829936752,0.04181307097680956,0.7568756875687569,5,2,0.1,k_h_config,55
ospa30_t6,3.0,3.0,2064,384,55,0,4115,229,0,0,4153,11000,2503,2448,0.8246104674390731,0.1534159009188973,0.021973631642029565,0.8431372549019608,5,2,0.1,k_h_config,55
ospa30_t6,4.0,1.0,1887,3247,456,0,2281,310,0,0,2819,11000,5590,5134,0.337567084078712,0.5808586762075134,0.0815742397137746,0.3675496688741722,5,2,0.1,k_h_config,55
ospa30_t6,4.0,2.0,1887,1767,171,0,3761,370,0,0,3044,11000,3825,3654,0.49333333333333335,0.4619607843137255,0.04470588235294118,0.5164203612479474,5,2,0.1,k_h_config,55
ospa30_t6,4.0,3.0,1887,389,52,0,5139,305,0,0,3228,11000,2328,2276,0.8105670103092784,0.16709621993127147,0.022336769759450172,0.8290861159929701,5,2,0.1,k_h_config,55
q_0.925,2.0,1.0,3089,1474,233,0,991,82,0,0,5131,11000,4796,4563,0.6440783986655546,0.3073394495412844,0.048582151793160964,0.6769669077361385,5,2,0.1,k_h_config,55
q_0.925,2.0,2.0,3089,869,140,0,1596,86,0,0,5220,11000,4098,3958,0.7537823328452904,0.21205466081015129,0.03416300634455832,0.78044466902476,5,2,0.1,k_h_config,55
q_0.925,2.0,3.0,3089,515,71,0,1950,73,0,0,5302,11000,3675,3604,0.8405442176870749,0.1401360544217687,0.019319727891156463,0.857103218645949,5,2,0.1,k_h_config,55
q_0.925,3.0,1.0,2871,2601,297,0,2110,190,0,0,2931,11000,5769,5472,0.49765990639625585,0.45085803432137284,0.0514820592823713,0.524671052631579,5,2,0.1,k_h_config,55
q_0.925,3.0,2.0,2871,696,108,0,4015,242,0,0,3068,11000,3675,3567,0.7812244897959184,0.1893877551020408,0.029387755102040815,0.8048780487804879,5,2,0.1,k_h_config,55
q_0.925,3.0,3.0,2871,411,60,0,4300,175,0,0,3183,11000,3342,3282,0.8590664272890485,0.1229802513464991,0.017953321364452424,0.8747714808043876,5,2,0.1,k_h_config,55
q_0.925,4.0,1.0,2648,3415,334,0,2427,231,0,0,1945,11000,6397,6063,0.41394403626700016,0.5338439893700172,0.052211974362982645,0.4367474847435263,5,2,0.1,k_h_config,55
q_0.925,4.0,2.0,2648,1863,152,0,3979,277,0,0,2081,11000,4663,4511,0.5678747587390092,0.3995282007291443,0.03259704053184645,0.587009532254489,5,2,0.1,k_h_config,55
