view_a,view_b,N_pairs,numeric_difference_gt1e_8,threshold_decision_changes_3,threshold_decision_changes_6,threshold_decision_changes_9,threshold_decision_changes_12
split_fixed,bound_fixed,13237,35,1,6,10,9
split_fixed,split_cyclic,13237,170,0,1,1,1
bound_fixed,bound_cyclic,13237,167,0,1,1,1
split_cyclic,split_free,13237,230,3,16,32,39
bound_cyclic,bound_free,13237,217,3,16,36,33
