code,image_id,condition,N,cut,view_a,view_b,count_a,count_b,different_membership_pairs,different_threshold_pairs
2t7WUuJeko7-13,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,1,6.0,bound_cyclic,bound_free,1,1,0,0
2t7WUuJeko7-13,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,1,6.0,split_fixed,top_bottom_partition_intersection,1,1,0,0
2t7WUuJeko7-13,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,1,9.0,split_fixed,bound_fixed,1,1,0,0
2t7WUuJeko7-13,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,1,9.0,split_fixed,split_cyclic,1,1,0,0
2t7WUuJeko7-13,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,1,9.0,bound_fixed,bound_cyclic,1,1,0,0
2t7WUuJeko7-13,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,1,9.0,split_cyclic,split_free,1,1,0,0
2t7WUuJeko7-13,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,1,9.0,bound_cyclic,bound_free,1,1,0,0
2t7WUuJeko7-13,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,1,9.0,split_fixed,top_bottom_partition_intersection,1,1,0,0
2t7WUuJeko7-13,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,1,12.0,split_fixed,bound_fixed,1,1,0,0
2t7WUuJeko7-13,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,1,12.0,split_fixed,split_cyclic,1,1,0,0
2t7WUuJeko7-13,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,1,12.0,bound_fixed,bound_cyclic,1,1,0,0
2t7WUuJeko7-13,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,1,12.0,split_cyclic,split_free,1,1,0,0
2t7WUuJeko7-13,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,1,12.0,bound_cyclic,bound_free,1,1,0,0
2t7WUuJeko7-13,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,1,12.0,split_fixed,top_bottom_partition_intersection,1,1,0,0
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,5,3.0,split_fixed,bound_fixed,4,4,0,0
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,5,3.0,split_fixed,split_cyclic,4,4,0,0
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,5,3.0,bound_fixed,bound_cyclic,4,4,0,0
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,5,3.0,split_cyclic,split_free,4,4,0,0
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,5,3.0,bound_cyclic,bound_free,4,4,0,0
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,5,3.0,split_fixed,top_bottom_partition_intersection,4,4,0,0
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,5,6.0,split_fixed,bound_fixed,3,3,0,0
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,5,6.0,split_fixed,split_cyclic,3,3,0,0
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,5,6.0,bound_fixed,bound_cyclic,3,3,0,0
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,5,6.0,split_cyclic,split_free,3,3,0,0
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,5,6.0,bound_cyclic,bound_free,3,3,0,0
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,5,6.0,split_fixed,top_bottom_partition_intersection,3,3,0,0
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,5,9.0,split_fixed,bound_fixed,2,2,0,0
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,5,9.0,split_fixed,split_cyclic,2,2,0,0
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,5,9.0,bound_fixed,bound_cyclic,2,2,0,0
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,5,9.0,split_cyclic,split_free,2,2,0,0
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,5,9.0,bound_cyclic,bound_free,2,2,0,0
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,5,9.0,split_fixed,top_bottom_partition_intersection,2,2,0,0
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,5,12.0,split_fixed,bound_fixed,2,2,0,0
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,5,12.0,split_fixed,split_cyclic,2,2,0,0
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,5,12.0,bound_fixed,bound_cyclic,2,2,0,0
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,5,12.0,split_cyclic,split_free,2,2,0,0
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,5,12.0,bound_cyclic,bound_free,2,2,0,0
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,5,12.0,split_fixed,top_bottom_partition_intersection,2,2,0,0
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,24,3.0,split_fixed,bound_fixed,7,7,0,0
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,24,3.0,split_fixed,split_cyclic,7,7,0,0
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,24,3.0,bound_fixed,bound_cyclic,7,7,0,0
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,24,3.0,split_cyclic,split_free,7,7,0,0
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,24,3.0,bound_cyclic,bound_free,7,7,0,0
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,24,3.0,split_fixed,top_bottom_partition_intersection,7,10,41,0
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,24,6.0,split_fixed,bound_fixed,2,2,0,0
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,24,6.0,split_fixed,split_cyclic,2,2,0,0
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,24,6.0,bound_fixed,bound_cyclic,2,2,0,0
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,24,6.0,split_cyclic,split_free,2,2,0,0
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,24,6.0,bound_cyclic,bound_free,2,2,0,0
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,24,6.0,split_fixed,top_bottom_partition_intersection,2,2,80,0
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,24,9.0,split_fixed,bound_fixed,1,1,0,0
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,24,9.0,split_fixed,split_cyclic,1,1,0,0
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,24,9.0,bound_fixed,bound_cyclic,1,1,0,0
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,24,9.0,split_cyclic,split_free,1,1,0,0
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,24,9.0,bound_cyclic,bound_free,1,1,0,0
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,24,9.0,split_fixed,top_bottom_partition_intersection,1,1,0,0
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,24,12.0,split_fixed,bound_fixed,1,1,0,0
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,24,12.0,split_fixed,split_cyclic,1,1,0,0
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,24,12.0,bound_fixed,bound_cyclic,1,1,0,0
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,24,12.0,split_cyclic,split_free,1,1,0,0
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,24,12.0,bound_cyclic,bound_free,1,1,0,0
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,24,12.0,split_fixed,top_bottom_partition_intersection,1,1,0,0
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,22,3.0,split_fixed,bound_fixed,20,20,0,0
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,22,3.0,split_fixed,split_cyclic,20,20,0,0
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,22,3.0,bound_fixed,bound_cyclic,20,20,0,0
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,22,3.0,split_cyclic,split_free,20,20,0,0
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,22,3.0,bound_cyclic,bound_free,20,20,0,0
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,22,3.0,split_fixed,top_bottom_partition_intersection,20,21,1,0
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,22,6.0,split_fixed,bound_fixed,15,15,0,0
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,22,6.0,split_fixed,split_cyclic,15,15,0,0
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,22,6.0,bound_fixed,bound_cyclic,15,15,0,0
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,22,6.0,split_cyclic,split_free,15,15,0,0
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,22,6.0,bound_cyclic,bound_free,15,15,0,0
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,22,6.0,split_fixed,top_bottom_partition_intersection,15,15,0,0
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,22,9.0,split_fixed,bound_fixed,14,14,0,0
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,22,9.0,split_fixed,split_cyclic,14,14,0,0
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,22,9.0,bound_fixed,bound_cyclic,14,14,0,0
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,22,9.0,split_cyclic,split_free,14,14,0,0
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,22,9.0,bound_cyclic,bound_free,14,14,0,0
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,22,9.0,split_fixed,top_bottom_partition_intersection,14,14,0,0
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,22,12.0,split_fixed,bound_fixed,13,13,0,0
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,22,12.0,split_fixed,split_cyclic,13,13,0,0
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,22,12.0,bound_fixed,bound_cyclic,13,13,0,0
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,22,12.0,split_cyclic,split_free,13,13,0,0
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,22,12.0,bound_cyclic,bound_free,13,13,0,0
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,22,12.0,split_fixed,top_bottom_partition_intersection,13,13,0,0
7y3sRwLe3Va-12,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos,23,3.0,split_fixed,bound_fixed,18,18,0,0
7y3sRwLe3Va-12,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos,23,3.0,split_fixed,split_cyclic,18,18,0,0
7y3sRwLe3Va-12,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos,23,3.0,bound_fixed,bound_cyclic,18,18,0,0
7y3sRwLe3Va-12,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos,23,3.0,split_cyclic,split_free,18,18,0,0
7y3sRwLe3Va-12,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos,23,3.0,bound_cyclic,bound_free,18,18,0,0
7y3sRwLe3Va-12,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos,23,3.0,split_fixed,top_bottom_partition_intersection,18,18,0,0
7y3sRwLe3Va-12,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos,23,6.0,split_fixed,bound_fixed,13,13,0,0
