code,image_id,condition,view,cut,N,compatible_pairs,compatible_pairs_split
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,count_only,0.0,3,3,0
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,split_fixed,3.0,3,2,1
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,split_fixed,6.0,3,3,0
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,split_fixed,9.0,3,3,0
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,split_fixed,12.0,3,3,0
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,bound_fixed,3.0,3,2,1
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,bound_fixed,6.0,3,3,0
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,bound_fixed,9.0,3,3,0
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,bound_fixed,12.0,3,3,0
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,split_cyclic,3.0,3,2,1
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,split_cyclic,6.0,3,3,0
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,split_cyclic,9.0,3,3,0
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,split_cyclic,12.0,3,3,0
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,bound_cyclic,3.0,3,2,1
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,bound_cyclic,6.0,3,3,0
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,bound_cyclic,9.0,3,3,0
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,bound_cyclic,12.0,3,3,0
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,split_free,3.0,3,2,1
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,split_free,6.0,3,3,0
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,split_free,9.0,3,3,0
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,split_free,12.0,3,3,0
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,bound_free,3.0,3,2,1
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,bound_free,6.0,3,3,0
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,bound_free,9.0,3,3,0
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,bound_free,12.0,3,3,0
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,top_fixed,3.0,3,3,0
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,top_fixed,6.0,3,3,0
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,top_fixed,9.0,3,3,0
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,top_fixed,12.0,3,3,0
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,bottom_fixed,3.0,3,2,1
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,bottom_fixed,6.0,3,3,0
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,bottom_fixed,9.0,3,3,0
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,bottom_fixed,12.0,3,3,0
2t7WUuJeko7-09,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,count_only,0.0,3,3,0
2t7WUuJeko7-09,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,split_fixed,3.0,3,0,0
2t7WUuJeko7-09,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,split_fixed,6.0,3,1,0
2t7WUuJeko7-09,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,split_fixed,9.0,3,2,1
2t7WUuJeko7-09,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,split_fixed,12.0,3,3,0
2t7WUuJeko7-09,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,bound_fixed,3.0,3,0,0
2t7WUuJeko7-09,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,bound_fixed,6.0,3,1,0
2t7WUuJeko7-09,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,bound_fixed,9.0,3,2,1
2t7WUuJeko7-09,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,bound_fixed,12.0,3,3,0
2t7WUuJeko7-09,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,split_cyclic,3.0,3,0,0
2t7WUuJeko7-09,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,split_cyclic,6.0,3,1,0
2t7WUuJeko7-09,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,split_cyclic,9.0,3,2,1
2t7WUuJeko7-09,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,split_cyclic,12.0,3,3,0
2t7WUuJeko7-09,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,bound_cyclic,3.0,3,0,0
2t7WUuJeko7-09,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,bound_cyclic,6.0,3,1,0
2t7WUuJeko7-09,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,bound_cyclic,9.0,3,2,1
2t7WUuJeko7-09,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,bound_cyclic,12.0,3,3,0
2t7WUuJeko7-09,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,split_free,3.0,3,0,0
2t7WUuJeko7-09,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,split_free,6.0,3,1,0
2t7WUuJeko7-09,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,split_free,9.0,3,2,1
2t7WUuJeko7-09,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,split_free,12.0,3,3,0
2t7WUuJeko7-09,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,bound_free,3.0,3,0,0
2t7WUuJeko7-09,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,bound_free,6.0,3,1,0
2t7WUuJeko7-09,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,bound_free,9.0,3,2,1
2t7WUuJeko7-09,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,bound_free,12.0,3,3,0
2t7WUuJeko7-09,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,top_fixed,3.0,3,3,0
2t7WUuJeko7-09,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,top_fixed,6.0,3,3,0
2t7WUuJeko7-09,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,top_fixed,9.0,3,3,0
2t7WUuJeko7-09,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,top_fixed,12.0,3,3,0
2t7WUuJeko7-09,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,bottom_fixed,3.0,3,0,0
2t7WUuJeko7-09,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,bottom_fixed,6.0,3,1,0
2t7WUuJeko7-09,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,bottom_fixed,9.0,3,2,1
2t7WUuJeko7-09,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,bottom_fixed,12.0,3,3,0
2t7WUuJeko7-13,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,count_only,0.0,1,0,0
2t7WUuJeko7-13,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,split_fixed,3.0,1,0,0
2t7WUuJeko7-13,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,split_fixed,6.0,1,0,0
2t7WUuJeko7-13,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,split_fixed,9.0,1,0,0
2t7WUuJeko7-13,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,split_fixed,12.0,1,0,0
2t7WUuJeko7-13,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,bound_fixed,3.0,1,0,0
2t7WUuJeko7-13,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,bound_fixed,6.0,1,0,0
2t7WUuJeko7-13,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,bound_fixed,9.0,1,0,0
2t7WUuJeko7-13,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,bound_fixed,12.0,1,0,0
2t7WUuJeko7-13,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,split_cyclic,3.0,1,0,0
2t7WUuJeko7-13,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,split_cyclic,6.0,1,0,0
2t7WUuJeko7-13,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,split_cyclic,9.0,1,0,0
2t7WUuJeko7-13,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,split_cyclic,12.0,1,0,0
2t7WUuJeko7-13,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,bound_cyclic,3.0,1,0,0
2t7WUuJeko7-13,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,bound_cyclic,6.0,1,0,0
2t7WUuJeko7-13,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,bound_cyclic,9.0,1,0,0
2t7WUuJeko7-13,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,bound_cyclic,12.0,1,0,0
2t7WUuJeko7-13,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,split_free,3.0,1,0,0
2t7WUuJeko7-13,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,split_free,6.0,1,0,0
2t7WUuJeko7-13,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,split_free,9.0,1,0,0
2t7WUuJeko7-13,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,split_free,12.0,1,0,0
2t7WUuJeko7-13,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,bound_free,3.0,1,0,0
2t7WUuJeko7-13,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,bound_free,6.0,1,0,0
2t7WUuJeko7-13,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,bound_free,9.0,1,0,0
2t7WUuJeko7-13,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,bound_free,12.0,1,0,0
2t7WUuJeko7-13,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,top_fixed,3.0,1,0,0
2t7WUuJeko7-13,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,top_fixed,6.0,1,0,0
2t7WUuJeko7-13,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,top_fixed,9.0,1,0,0
2t7WUuJeko7-13,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,top_fixed,12.0,1,0,0
2t7WUuJeko7-13,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,bottom_fixed,3.0,1,0,0
2t7WUuJeko7-13,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,bottom_fixed,6.0,1,0,0
2t7WUuJeko7-13,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,bottom_fixed,9.0,1,0,0
2t7WUuJeko7-13,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,bottom_fixed,12.0,1,0,0
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,count_only,0.0,5,6,0
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,split_fixed,3.0,5,1,0
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,split_fixed,6.0,5,3,0
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,split_fixed,9.0,5,6,0
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,split_fixed,12.0,5,6,0
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,bound_fixed,3.0,5,1,0
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,bound_fixed,6.0,5,3,0
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,bound_fixed,9.0,5,6,0
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,bound_fixed,12.0,5,6,0
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,split_cyclic,3.0,5,1,0
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,split_cyclic,6.0,5,3,0
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,split_cyclic,9.0,5,6,0
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,split_cyclic,12.0,5,6,0
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,bound_cyclic,3.0,5,1,0
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,bound_cyclic,6.0,5,3,0
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,bound_cyclic,9.0,5,6,0
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,bound_cyclic,12.0,5,6,0
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,split_free,3.0,5,1,0
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,split_free,6.0,5,3,0
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,split_free,9.0,5,6,0
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,split_free,12.0,5,6,0
