condition,view,cut,worker_a,worker_b,common_images,common_buildings,rate_a,rate_b,mean_paired_difference
manual,bound_fixed,9.0,W001,W002,48,15,0.5,0.08333333333333333,0.4166666666666667
manual,bound_fixed,9.0,W001,W006,42,14,0.5238095238095238,0.16666666666666666,0.35714285714285715
manual,bound_fixed,9.0,W001,W008,41,14,0.5121951219512195,0.12195121951219512,0.3902439024390244
manual,bound_fixed,9.0,W001,W010,41,13,0.5121951219512195,0.2682926829268293,0.24390243902439024
manual,bound_fixed,9.0,W001,W011,44,14,0.5227272727272727,0.13636363636363635,0.38636363636363635
manual,bound_fixed,9.0,W001,W012,49,15,0.4897959183673469,0.42857142857142855,0.061224489795918366
manual,bound_fixed,9.0,W001,W013,43,14,0.5348837209302325,0.023255813953488372,0.5116279069767442
manual,bound_fixed,9.0,W001,W014,40,12,0.55,0.0,0.55
manual,bound_fixed,9.0,W001,W015,44,14,0.5227272727272727,0.045454545454545456,0.4772727272727273
manual,bound_fixed,9.0,W001,W017,42,14,0.5238095238095238,0.14285714285714285,0.38095238095238093
manual,bound_fixed,9.0,W001,W018,38,12,0.5526315789473685,0.10526315789473684,0.4473684210526316
manual,bound_fixed,9.0,W001,W021,28,12,0.42857142857142855,0.0,0.42857142857142855
manual,bound_fixed,9.0,W001,W027,41,12,0.5365853658536586,0.3170731707317073,0.21951219512195122
manual,bound_fixed,9.0,W001,W028,44,14,0.5,0.25,0.25
manual,bound_fixed,9.0,W001,W029,45,15,0.4888888888888889,0.2,0.28888888888888886
manual,bound_fixed,9.0,W001,W030,47,15,0.5106382978723404,0.23404255319148937,0.2765957446808511
manual,bound_fixed,9.0,W001,W031,43,15,0.4883720930232558,0.23255813953488372,0.2558139534883721
manual,bound_fixed,9.0,W001,W032,42,15,0.5238095238095238,0.42857142857142855,0.09523809523809523
manual,bound_fixed,9.0,W001,W033,42,13,0.5238095238095238,0.2857142857142857,0.23809523809523808
manual,bound_fixed,9.0,W001,W034,49,15,0.5306122448979592,0.46938775510204084,0.061224489795918366
manual,bound_fixed,9.0,W001,W035,44,15,0.5,0.20454545454545456,0.29545454545454547
manual,bound_fixed,9.0,W001,W036,44,14,0.5,0.3181818181818182,0.18181818181818182
manual,bound_fixed,9.0,W001,W037,47,14,0.5319148936170213,0.5319148936170213,0.0
manual,bound_fixed,9.0,W002,W006,44,16,0.045454545454545456,0.13636363636363635,-0.09090909090909091
manual,bound_fixed,9.0,W002,W008,44,16,0.06818181818181818,0.1590909090909091,-0.09090909090909091
manual,bound_fixed,9.0,W002,W010,42,14,0.047619047619047616,0.2619047619047619,-0.21428571428571427
manual,bound_fixed,9.0,W002,W011,45,15,0.044444444444444446,0.13333333333333333,-0.08888888888888889
manual,bound_fixed,9.0,W002,W012,48,16,0.08333333333333333,0.3958333333333333,-0.3125
manual,bound_fixed,9.0,W002,W013,44,16,0.045454545454545456,0.022727272727272728,0.022727272727272728
manual,bound_fixed,9.0,W002,W014,40,12,0.05,0.0,0.05
manual,bound_fixed,9.0,W002,W015,48,16,0.041666666666666664,0.020833333333333332,0.020833333333333332
manual,bound_fixed,9.0,W002,W017,44,15,0.06818181818181818,0.11363636363636363,-0.045454545454545456
manual,bound_fixed,9.0,W002,W018,39,12,0.05128205128205128,0.1282051282051282,-0.07692307692307693
manual,bound_fixed,9.0,W002,W021,28,12,0.07142857142857142,0.0,0.07142857142857142
manual,bound_fixed,9.0,W002,W027,41,12,0.07317073170731707,0.2926829268292683,-0.21951219512195122
manual,bound_fixed,9.0,W002,W028,44,15,0.06818181818181818,0.25,-0.18181818181818182
manual,bound_fixed,9.0,W002,W029,45,16,0.06666666666666667,0.2222222222222222,-0.15555555555555556
manual,bound_fixed,9.0,W002,W030,46,16,0.08695652173913043,0.1956521739130435,-0.10869565217391304
