condition,cut,pairs,both_close,only_top_close,only_bottom_close,neither_close
manual,3.0,8383,1739,1106,1069,4469
oos,3.0,1043,60,128,72,783
semi,3.0,3971,1626,504,410,1431
manual,6.0,8383,4537,839,791,2216
oos,6.0,1043,281,191,138,433
semi,6.0,3971,3006,298,261,406
manual,9.0,8383,5919,484,451,1529
oos,9.0,1043,547,154,91,251
semi,9.0,3971,3480,141,144,206
manual,12.0,8383,6606,249,264,1264
oos,12.0,1043,711,98,50,184
semi,12.0,3971,3639,83,84,165
