image_id,building,condition,n_available_people,horizon,prefix,future_people,repetitions,cut,future_topology_coverage,future_geometry_coverage_allow_singleton,future_supported_geometry_coverage,mean_supported_clusters,probability_both_future_supported,unsupported_both_fraction
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,24,10,2,2,200,0.05,1,0.9675,0.9375,0.97,0.91,0.035
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,24,10,3,2,200,0.05,1,0.9875,0.985,1,0.97,0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,24,10,5,2,200,0.05,1,0.9925,0.9925,1.085,0.985,0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,24,10,8,2,200,0.05,1,0.9925,0.9925,1.245,0.985,0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,24,10,2,2,200,0.1,1,1,1,1,1,0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,24,10,3,2,200,0.1,1,1,1,1,1,0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,24,10,5,2,200,0.1,1,1,1,1,1,0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,24,10,8,2,200,0.1,1,1,1,1,1,0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,24,10,2,2,200,0.2,1,1,1,1,1,0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,24,10,3,2,200,0.2,1,1,1,1,1,0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,24,10,5,2,200,0.2,1,1,1,1,1,0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,24,10,8,2,200,0.2,1,1,1,1,1,0
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,semi,24,10,2,2,200,0.05,0.855,0.5675,0.2475,0.41,0.145,0.65
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,semi,24,10,3,2,200,0.05,0.87,0.6075,0.435,0.73,0.255,0.385
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,semi,24,10,5,2,200,0.05,0.875,0.6225,0.5825,1.05,0.35,0.185
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,semi,24,10,8,2,200,0.05,0.8875,0.64,0.61,1.29,0.375,0.155
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,semi,24,10,2,2,200,0.1,0.855,0.6625,0.33,0.49,0.23,0.57
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,semi,24,10,3,2,200,0.1,0.87,0.705,0.5625,0.81,0.405,0.28
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,semi,24,10,5,2,200,0.1,0.875,0.7225,0.7,1.04,0.515,0.115
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,semi,24,10,8,2,200,0.1,0.8875,0.735,0.705,1.1,0.52,0.11
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,semi,24,10,2,2,200,0.2,0.855,0.78,0.5675,0.7,0.46,0.325
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,semi,24,10,3,2,200,0.2,0.87,0.8325,0.7575,0.935,0.625,0.11
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,semi,24,10,5,2,200,0.2,0.875,0.8425,0.8225,1.085,0.68,0.035
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,semi,24,10,8,2,200,0.2,0.8875,0.8625,0.8225,1.22,0.68,0.035
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,24,10,2,2,200,0.05,0.7775,0.3675,0.0675,0.19,0.015,0.88
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,24,10,3,2,200,0.05,0.8,0.45,0.1975,0.545,0.05,0.655
