method,baseline,algorithm,condition,target,design,n_images,n_buildings,method_MAE,baseline_MAE,delta_MAE,CI_low,CI_high,building_macro_delta,macro_CI_low,macro_CI_high
BX_counts_only,constant_median,knn,manual,owner_valid_active_seconds,leave_building,187,22,77.2474153298,68.5147058824,8.73270944742,-1.84346672677,20.8021247666,8.97883174696,-2.42143981539,22.033812781
BX_counts_only,full_B_feedback,knn,manual,owner_valid_active_seconds,leave_building,187,22,77.2474153298,78.0614973262,-0.814081996435,-11.2351549289,12.3916754314,0.348009948805,-11.1804006275,13.8001162567
BX_counts_only,constant_median,knn,manual,owner_valid_active_seconds,leave_supported_room_conservative,69,18,79.7874396135,72.1884057971,7.59903381643,-6.7674122807,24.9140931373,3.92793209877,-18.0151388889,28.039209105
BX_counts_only,full_B_feedback,knn,manual,owner_valid_active_seconds,leave_supported_room_conservative,69,18,79.7874396135,77.3971014493,2.39033816426,-13.8288303571,19.0971016625,-1.73516313933,-22.8798142637,20.9087488977
BX_counts_only,constant_median,knn,manual,owner_valid_active_seconds,same_room_leave_view,40,12,134.6,119.6375,14.9625,-2.19181184669,50.5033783784,16.5972222222,-1.27777777778,50.0694444444
BX_counts_only,full_B_feedback,knn,manual,owner_valid_active_seconds,same_room_leave_view,40,12,134.6,111.0875,23.5125,0,58.3390625,22.0972222222,0,56.7638888889
BX_counts_only,constant_median,knn,manual,point_count_disagreement,leave_building,166,22,0.238793568481,0.329226623474,-0.0904330549933,-0.122840379558,-0.0566052623092,-0.101711047912,-0.14454973213,-0.0573874896002
BX_counts_only,full_B_feedback,knn,manual,point_count_disagreement,leave_building,166,22,0.238793568481,0.255685760666,-0.016892192185,-0.0563166817089,0.0232734565103,-0.0245457059515,-0.0726628996654,0.0210919337351
BX_counts_only,constant_median,knn,manual,point_count_disagreement,leave_supported_room_conservative,59,18,0.241245224672,0.330607528065,-0.0893623033936,-0.15637774265,-0.0125107548266,-0.0797310500425,-0.154281884741,-0.000302269383939
BX_counts_only,full_B_feedback,knn,manual,point_count_disagreement,leave_supported_room_conservative,59,18,0.241245224672,0.24808715028,-0.00684192560852,-0.0608141066599,0.0545185505926,-0.00614640955091,-0.0637312884255,0.0536632899711
BX_counts_only,constant_median,knn,manual,point_count_disagreement,same_room_leave_view,33,11,0.238039913534,0.207165956573,0.0308739569609,-0.0222222222222,0.103717077759,0.0260430390865,-0.0224418093983,0.0957400087835
BX_counts_only,full_B_feedback,knn,manual,point_count_disagreement,same_room_leave_view,33,11,0.238039913534,0.207297708879,0.0307422046552,0,0.103948025987,0.0305226174791,0,0.0911286780852
BX_counts_only,constant_median,knn,manual,reference_geometry_error,leave_building,161,22,0.0604791750908,0.067002942538,-0.00652376744716,-0.0141985809686,0.00206182298006,-0.00301206689938,-0.0123822751707,0.00589348569003
BX_counts_only,full_B_feedback,knn,manual,reference_geometry_error,leave_building,161,22,0.0604791750908,0.0524584872768,0.00802068781401,-0.000145297020209,0.0181279988886,0.0105523937715,0.00310003164025,0.0185400691767
BX_counts_only,constant_median,knn,manual,reference_geometry_error,leave_supported_room_conservative,60,18,0.0506411135778,0.0640518992196,-0.0134107856418,-0.0253261293647,-0.00255935152783,-0.0106967323743,-0.0258990860916,0.00584103742951
BX_counts_only,full_B_feedback,knn,manual,reference_geometry_error,leave_supported_room_conservative,60,18,0.0506411135778,0.0502321568286,0.000408956749127,-0.0125644633947,0.0145715525794,0.00389570832602,-0.00901179004571,0.0165591124629
BX_counts_only,constant_median,knn,manual,reference_geometry_error,same_room_leave_view,31,9,0.0509467623235,0.0527613083247,-0.00181454600122,-0.00570185009229,0.000497975475249,-0.00127398141188,-0.00418135673435,0.000359412498719
BX_counts_only,full_B_feedback,knn,manual,reference_geometry_error,same_room_leave_view,31,9,0.0509467623235,0.0520565585902,-0.00110979626668,-0.00231799064573,0,-0.000866415877776,-0.00208979982969,0
BX_counts_only,constant_median,knn,manual,scope_entropy,leave_building,187,22,0.476238056944,0.530151037876,-0.0539129809319,-0.135031302193,0.03584697188,-0.0291521045688,-0.114366667329,0.0553238026116
BX_counts_only,full_B_feedback,knn,manual,scope_entropy,leave_building,187,22,0.476238056944,0.432088934341,0.0441491226031,-0.00951636509616,0.101626047005,0.0297941153907,-0.0469084552992,0.112268502561
BX_counts_only,constant_median,knn,manual,scope_entropy,leave_supported_room_conservative,69,18,0.488645549944,0.540816414114,-0.0521708641698,-0.228374836432,0.115302452651,0.00630479480754,-0.161424862968,0.171083033499
BX_counts_only,full_B_feedback,knn,manual,scope_entropy,leave_supported_room_conservative,69,18,0.488645549944,0.435217091182,0.0534284587626,-0.0506444820152,0.15415195629,0.0809026670328,-0.0259587466657,0.181291975092
BX_counts_only,constant_median,knn,manual,scope_entropy,same_room_leave_view,40,12,0.251605582266,0.249763477634,0.00184210463227,-0.0433832343994,0.048987020256,-0.00553715419979,-0.039363273973,0.0287817520133
BX_counts_only,full_B_feedback,knn,manual,scope_entropy,same_room_leave_view,40,12,0.251605582266,0.246733298042,0.0048722842245,0,0.013288047885,0.00270682456917,0,0.0081204737075
BX_counts_only,constant_median,knn,manual,scope_non_normal_rate,leave_building,187,22,0.206750847902,0.197915767097,0.0088350808043,-0.0126378598873,0.0339227891736,0.0247773671531,-0.00187322348191,0.0527899707378
BX_counts_only,full_B_feedback,knn,manual,scope_non_normal_rate,leave_building,187,22,0.206750847902,0.196031764484,0.0107190834173,-0.0114470330415,0.0368119258923,0.00125486749744,-0.0572802712567,0.0475806590138
BX_counts_only,constant_median,knn,manual,scope_non_normal_rate,leave_supported_room_conservative,69,18,0.223003020574,0.228743961353,-0.00574094077887,-0.0539059992884,0.0382344060144,0.0151541133092,-0.0342763867324,0.0677242810335
BX_counts_only,full_B_feedback,knn,manual,scope_non_normal_rate,leave_supported_room_conservative,69,18,0.223003020574,0.21253863234,0.0104643882338,-0.0214753183008,0.0460718886589,0.0234545855379,-0.0172888614114,0.0621609786763
BX_counts_only,constant_median,knn,manual,scope_non_normal_rate,same_room_leave_view,40,12,0.161422101449,0.173505434783,-0.0120833333333,-0.0356481481481,0.00284552845532,-0.012662037037,-0.0372453703703,0.00162037037039
BX_counts_only,full_B_feedback,knn,manual,scope_non_normal_rate,same_room_leave_view,40,12,0.161422101449,0.155172101449,0.00625,0,0.0170454545455,0.00347222222222,0,0.0104166666667
BX_counts_only,constant_median,knn,manual,scope_p_normal,leave_building,187,22,0.206750847902,0.197915767097,0.0088350808044,-0.0126378598872,0.0339227891737,0.0247773671533,-0.00187322348179,0.052789970738
BX_counts_only,full_B_feedback,knn,manual,scope_p_normal,leave_building,187,22,0.206750847902,0.196031764484,0.0107190834173,-0.0114470330415,0.0368119258923,0.00125486749744,-0.0572802712567,0.0475806590138
BX_counts_only,constant_median,knn,manual,scope_p_normal,leave_supported_room_conservative,69,18,0.223003020574,0.228743961353,-0.00574094077876,-0.0539059992883,0.0382344060145,0.0151541133093,-0.0342763867323,0.0677242810336
BX_counts_only,full_B_feedback,knn,manual,scope_p_normal,leave_supported_room_conservative,69,18,0.223003020574,0.21253863234,0.0104643882338,-0.0214753183008,0.0460718886589,0.0234545855379,-0.0172888614114,0.0621609786763
BX_counts_only,constant_median,knn,manual,scope_p_normal,same_room_leave_view,40,12,0.161422101449,0.173505434783,-0.0120833333333,-0.0356481481481,0.00284552845532,-0.012662037037,-0.0372453703703,0.00162037037039
BX_counts_only,full_B_feedback,knn,manual,scope_p_normal,same_room_leave_view,40,12,0.161422101449,0.155172101449,0.00625,0,0.0170454545455,0.00347222222222,0,0.0104166666667
BX_counts_only,constant_median,knn,manual,scope_p_oos_geometry,leave_building,187,22,0.058219129549,0.0405957639973,0.0176233655517,0.0094513527135,0.0273025647142,0.0184787772751,0.00920284740716,0.0296331590838
BX_counts_only,full_B_feedback,knn,manual,scope_p_oos_geometry,leave_building,187,22,0.058219129549,0.0626065182331,-0.0043873886841,-0.0150789953383,0.00656329039203,-0.011460490182,-0.0297021704531,0.00575520046803
BX_counts_only,constant_median,knn,manual,scope_p_oos_geometry,leave_supported_room_conservative,69,18,0.0593548274172,0.0364996849401,0.022855142477,0.00922907863709,0.0362958248082,0.0229766910342,0.00404703861321,0.044590251951
BX_counts_only,full_B_feedback,knn,manual,scope_p_oos_geometry,leave_supported_room_conservative,69,18,0.0593548274172,0.0662615897021,-0.00690676228489,-0.0215955657433,0.0111660041407,-0.00130242547016,-0.0216965780733,0.0216123776827
BX_counts_only,constant_median,knn,manual,scope_p_oos_geometry,same_room_leave_view,40,12,0.0686594202898,0.0626177536232,0.00604166666667,-0.0117736185383,0.0215447154472,0.00113425925926,-0.0133101851852,0.0134033564815
BX_counts_only,full_B_feedback,knn,manual,scope_p_oos_geometry,same_room_leave_view,40,12,0.0686594202898,0.0686594202898,7.50025042073e-15,0,2.04552284202e-14,4.1668057893e-15,0,1.25004173679e-14
BX_counts_only,constant_median,knn,manual,scope_p_oos_insufficient,leave_building,187,22,0.0217856312486,0.01822056886,0.00356506238859,0.000578603927204,0.00767105882018,0.00222549692658,0.000420875420876,0.00477749907098
BX_counts_only,full_B_feedback,knn,manual,scope_p_oos_insufficient,leave_building,187,22,0.0217856312486,0.0362209046992,-0.0144352734506,-0.0375085954386,-0.000771700259167,-0.0161484817197,-0.0375710723289,-0.00156494412528
BX_counts_only,constant_median,knn,manual,scope_p_oos_insufficient,leave_supported_room_conservative,69,18,0.034015963033,0.0257246376812,0.00829132535182,0,0.0186068256195,0.00406266774021,0,0.00988216250671
BX_counts_only,full_B_feedback,knn,manual,scope_p_oos_insufficient,leave_supported_room_conservative,69,18,0.034015963033,0.0345323111391,-0.000516348106139,-0.0145462028754,0.013223274779,-0.00434409852687,-0.0156934193654,0.0050463708475
BX_counts_only,constant_median,knn,manual,scope_p_oos_insufficient,same_room_leave_view,40,12,0.0110416666667,0.0141666666667,-0.003125,-0.00852272727273,0,-0.00173611111111,-0.00520833333334,0
BX_counts_only,full_B_feedback,knn,manual,scope_p_oos_insufficient,same_room_leave_view,40,12,0.0110416666667,0.013125,-0.00208333333333,-0.00568181818182,0,-0.00115740740741,-0.00347222222222,0
BX_counts_only,constant_median,knn,manual,scope_p_oos_open_boundary,leave_building,187,22,0.14618228319,0.123108966907,0.023073316283,0.00505892130686,0.0426556382968,0.0333057376704,0.0151501553072,0.0514985463181
BX_counts_only,full_B_feedback,knn,manual,scope_p_oos_open_boundary,leave_building,187,22,0.14618228319,0.144504378827,0.00167790436329,-0.0113959900155,0.0178250729698,0.000325849388774,-0.0430086673557,0.0332346569878
BX_counts_only,constant_median,knn,manual,scope_p_oos_open_boundary,leave_supported_room_conservative,69,18,0.16493173703,0.141461877757,0.0234698592732,-0.0108437353904,0.0632801442133,0.0437313036236,-0.00132870769762,0.0953067422509
BX_counts_only,full_B_feedback,knn,manual,scope_p_oos_open_boundary,leave_supported_room_conservative,69,18,0.16493173703,0.173554925436,-0.00862318840584,-0.0293574851779,0.0134563164251,0.00156857326034,-0.0324972041969,0.0379216878232
BX_counts_only,constant_median,knn,manual,scope_p_oos_open_boundary,same_room_leave_view,40,12,0.189501811594,0.188460144927,0.00104166666666,-0.00907407407409,0.0136770833333,0.00300925925926,-0.00625000000002,0.0157407407408
