method,baseline,algorithm,condition,target,design,n_images,n_buildings,method_MAE,baseline_MAE,paired_MAE_delta,relative_MAE_reduction,CI_low,CI_high,building_macro_delta,macro_CI_low,macro_CI_high
A_all_traits,baseline,knn,manual,scope_p_oos_open_boundary,leave_building,187,22,0.167592549536,0.123108966907,0.0444835826293,-0.361335033077,0.025369049773,0.0629395025375,0.0416648974074,0.0215465683698,0.0600187976624
A_all_traits,baseline,knn,manual,scope_p_oos_open_boundary,leave_supported_room_conservative,69,18,0.200408877687,0.141461877757,0.05894699993,-0.416698836921,0.025638468809,0.0896764865243,0.0593576348951,0.0243225660098,0.0924638583761
A_all_traits,baseline,knn,manual,scope_p_oos_open_boundary,same_room_leave_view,40,12,0.192626811594,0.188460144927,0.00416666666668,-0.0221090070173,-0.00199999999998,0.0157894736842,0.0050925925926,-0.00138888888888,0.0166666666667
A_all_traits,baseline,knn,manual,scope_p_oos_split_level,leave_building,187,22,0.03535276034,0.0176315585523,0.0177212017877,-1.00508424908,0.0114391425121,0.0226539876814,0.0139553418572,0.00908718076591,0.0188500958636
A_all_traits,baseline,knn,manual,scope_p_oos_split_level,leave_supported_room_conservative,69,18,0.0383333333333,0.0219806763285,0.0163526570048,-0.743956043956,0.00655087746306,0.027574918876,0.0129710464433,0.00523421884186,0.0219910714286
A_all_traits,baseline,knn,manual,scope_p_oos_split_level,same_room_leave_view,40,12,0.0289583333333,0.0302083333334,-0.00125000000002,0.0413793103456,-0.00340909090916,0,-0.000694444444458,-0.00208333333337,0
A_all_traits,baseline,knn,manual,within_topology_geometry_dispersion,leave_building,150,22,0.0526626962282,0.0474451757617,0.00521752046645,-0.109969462283,-0.00263891578854,0.0126404425197,0.00281931107456,-0.00698048343864,0.010310519279
A_all_traits,baseline,knn,manual,within_topology_geometry_dispersion,leave_supported_room_conservative,54,17,0.0462902145266,0.0361773402079,0.0101128743186,-0.279536147779,0.000244517567729,0.0179053395984,0.00529739990202,-0.00534848948248,0.0141324834996
A_all_traits,baseline,knn,manual,within_topology_geometry_dispersion,same_room_leave_view,29,10,0.0535803523379,0.0475582733114,0.00602207902647,-0.126625266376,0,0.0154094375089,0.00291067152946,0,0.00873201458837
A_all_traits,baseline,knn,semi,owner_valid_active_seconds,leave_building,43,12,75.088372093,53.9825581395,21.1058139535,-0.390974690361,3.10563020833,37.7527351916,14.8338789683,-9.53036309524,36.3129873512
A_all_traits,baseline,knn,semi,owner_valid_active_seconds,leave_supported_room_conservative,16,9,63.13125,69.203125,-6.071875,0.0877398961391,-24.1325446429,14.7222569444,-5.05444444444,-31.5778055556,23.4861111111
A_all_traits,baseline,knn,semi,owner_valid_active_seconds,same_room_leave_view,0,0,,,,,,,,,
A_all_traits,baseline,knn,semi,point_count_disagreement,leave_building,43,12,0.250785348793,0.248961739305,0.00182360948794,-0.00732485840204,-0.0294641621809,0.0401819040485,-0.00624937522213,-0.0471260163749,0.0369250115674
A_all_traits,baseline,knn,semi,point_count_disagreement,leave_supported_room_conservative,16,9,0.232486001318,0.230803277338,0.00168272397911,-0.00729072827089,-0.0709482323231,0.0576366436101,-0.0120011223344,-0.0687374823109,0.0453869858001
A_all_traits,baseline,knn,semi,point_count_disagreement,same_room_leave_view,0,0,,,,,,,,,
A_all_traits,baseline,knn,semi,reference_geometry_error,leave_building,43,12,0.0430685559177,0.036828357681,0.00624019823664,-0.169440035602,0.000832385287637,0.0108516332477,0.00465722710994,-0.00140470605773,0.0106223869389
A_all_traits,baseline,knn,semi,reference_geometry_error,leave_supported_room_conservative,16,9,0.0496944832099,0.0383774725812,0.0113170106286,-0.294886814255,0.00354539650275,0.0206259944122,0.0107212612721,0.000839861188322,0.0230464814526
A_all_traits,baseline,knn,semi,reference_geometry_error,same_room_leave_view,0,0,,,,,,,,,
A_all_traits,baseline,knn,semi,scope_entropy,leave_building,43,12,0.397521561676,0.40418211339,-0.00666055171425,0.0164790857725,-0.0988517888611,0.0677609121848,-0.0169653076323,-0.0993734157121,0.0669627220049
A_all_traits,baseline,knn,semi,scope_entropy,leave_supported_room_conservative,16,9,0.469921949177,0.489878774887,-0.0199568257109,0.0407382943167,-0.269611681704,0.246958275592,-0.0550486721156,-0.284225210905,0.193570443199
A_all_traits,baseline,knn,semi,scope_entropy,same_room_leave_view,0,0,,,,,,,,,
A_all_traits,baseline,knn,semi,scope_non_normal_rate,leave_building,43,12,0.149160206718,0.129651162791,0.0195090439277,-0.150473343299,-0.021021021021,0.0534891257537,0.0170056216932,-0.0203489996693,0.0523602017195
A_all_traits,baseline,knn,semi,scope_non_normal_rate,leave_supported_room_conservative,16,9,0.180034722222,0.1796875,0.000347222222314,-0.00193236715027,-0.0824667245369,0.0795949074074,0.00641975308653,-0.0717631172838,0.0790277777778
A_all_traits,baseline,knn,semi,scope_non_normal_rate,same_room_leave_view,0,0,,,,,,,,,
A_all_traits,baseline,knn,semi,scope_p_normal,leave_building,43,12,0.149160206718,0.129651162791,0.0195090439277,-0.150473343299,-0.021021021021,0.0534891257536,0.0170056216931,-0.0203489996692,0.0523602017196
A_all_traits,baseline,knn,semi,scope_p_normal,leave_supported_room_conservative,16,9,0.180034722222,0.1796875,0.000347222222331,-0.00193236715036,-0.0824667245369,0.0795949074074,0.00641975308652,-0.0717631172838,0.0790277777778
