condition,full_p_by_8,full_p_by_8,full_p_by_8,core10_p_by_19,core10_p_by_19,core10_p_by_19,core_tail_10,core_tail_10,core_tail_10,late_quarter_new,late_quarter_new,late_quarter_new,half_tv_all,half_tv_all,half_tv_all,within_cluster_median,within_cluster_median,within_cluster_median,singleton_share,singleton_share,singleton_share,point_count_disagreement,point_count_disagreement,point_count_disagreement,n_valid,n_valid,n_valid,total_clusters,total_clusters,total_clusters,supported_clusters,supported_clusters,supported_clusters
,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count
manual,0.0671739130435,0,46,0.47097826087,0.44,46,0.582391304348,0.5475,46,0.158065217391,0.0925000000001,46,0.183125972,0.187039278656,46,0.0420631192627,0.0403230490545,46,0.178006824287,0.127717391304,46,0.350447960711,0.164525691699,46,23.2173913043,24,46,7.23913043478,6.5,46,3.15217391304,3,46
oos_geometry,0,0,9,0.197777777778,0.23,9,0.383333333333,0.34,9,0.274444444444,0.3225,9,0.274600625823,0.274604743083,9,0.0467582608555,0.0469604746152,9,0.296497584541,0.304347826087,9,0.562106572976,0.565217391304,9,23.5555555556,24,9,11.2222222222,11,9,4.22222222222,4,9
semi,0.0416666666667,0,18,0.564166666667,0.4975,18,0.702777777778,0.695,18,0.0833796296296,0.0537500000001,18,0.118273816059,0.114375,18,0.0212719493371,0.0226955593655,18,0.0826837212707,0.0425724637681,18,0.215796683188,0.195652173913,18,23.7777777778,24,18,4.55555555556,4.5,18,2.61111111111,2.5,18
