condition,field,level,images,buildings,median_people,simple,medium,difficult,full_p_by_8,full_p_by_8_n,core10_p_by_19,core10_p_by_19_n,core_tail_10,core_tail_10_n,late_quarter_new,late_quarter_new_n,half_tv_all,half_tv_all_n,within_cluster_median,within_cluster_median_n,singleton_share,singleton_share_n,point_count_disagreement,point_count_disagreement_n
manual,scene_category,储藏与家务辅助,8,5,4,0,2,0,0.145,5,0.707,5,0.495,5,0.260333333333,5,0.251592160738,5,0.0607599074234,6,0.429393115942,8,0.311714975845,6
manual,scene_category,卧室,44,16,5,8,3,1,0.512037037037,27,0.760925925926,27,0.437962962963,27,0.169012345679,27,0.195017457181,27,0.0459360596477,33,0.369400527009,44,0.29212962963,36
manual,scene_category,卫浴,49,14,5,2,9,5,0.193235294118,34,0.588970588235,34,0.465588235294,34,0.252465686275,34,0.246324870474,34,0.0450441110638,37,0.40389973785,49,0.503969118965,46
manual,scene_category,厨房与用餐,13,10,5,1,3,0,0.463125,8,0.6625,8,0.400625,8,0.15875,8,0.226432291667,8,0.049396685395,10,0.359615384615,13,0.26,10
manual,scene_category,复合／待定,7,6,5,2,0,1,0.521666666667,6,0.746666666667,6,0.469166666667,6,0.285916666667,6,0.229792397661,6,0.0435096796408,6,0.322807017544,7,0.371261487051,7
manual,scene_category,"复合／待定  , 厨房 客厅",1,1,6,0,0,0,0,1,0,1,0,1,1,1,0.5,1,,0,1,1,0.8,1
manual,scene_category,工作与学习,3,2,5,0,1,0,0.178333333333,3,0.375,3,0.108333333333,3,0.201666666667,3,0.312146245059,3,0.057439286904,3,0.24347826087,3,0.337549407115,3
manual,scene_category,开放复合空间,3,1,6,1,0,0,0.495,3,0.898333333333,3,0.525,3,0.413333333333,3,0.290111111111,3,0.0558458350822,3,0.4,3,0.533333333333,3
manual,scene_category,无法判断,1,1,7,0,1,0,0.565,1,0.565,1,0,1,0.0375,1,0.176666666666,1,0.048613116923,1,0,1,0.47619047619,1
manual,scene_category,特殊用途,2,1,5,0,1,0,0.58,2,0.6925,2,0.235,2,0.0325,2,0.2405,2,0.0544824316731,2,0.1,2,0.3,2
manual,scene_category,起居与休闲,20,12,5,3,2,1,0.327307692308,13,0.575769230769,13,0.279615384615,13,0.309935897436,13,0.294120325327,13,0.0379453585319,15,0.433405797101,20,0.563921826965,18
manual,scene_category,通行与连接,36,17,5,5,5,4,0.288333333333,30,0.525666666667,30,0.368166666667,30,0.3055,30,0.265253376153,30,0.0362380720369,29,0.367632850242,36,0.38451511159,33
manual,fine_human,办公、会谈,1,1,23,0,0,0,0,1,0.115,1,0.22,1,0.1025,1,0.248438735178,1,0.0404000248463,1,0.130434782609,1,0.612648221344,1
manual,fine_human,卫浴,3,1,23,0,0,2,0,3,0.131666666667,3,0.313333333333,3,0.299722222222,3,0.30496267018,3,0.047053047031,3,0.327898550725,3,0.705094422486,3
manual,fine_human,厨房,1,1,6,1,0,0,0.845,1,1,1,0.795,1,0.14,1,0.166666666667,1,0.0689807813785,1,0.166666666667,1,0,1
manual,fine_human,厨房、起居,1,1,5,1,0,0,0.82,1,1,1,0.505,1,0.1775,1,0.237,1,0.0626401137484,1,0.2,1,0.4,1
manual,fine_human,如厕,2,1,23.5,0,2,0,0,2,0.775,2,0.8475,2,0.0316666666667,2,0.0634753787879,2,0.0244351353402,2,0.0208333333333,2,0.23336627141,2
manual,fine_human,洗浴与如厕,1,1,1,0,0,0,,0,,0,,0,,0,,0,,0,1,1,,0
manual,fine_human,洗漱、沐浴,1,1,6,0,0,0,0,1,0.68,1,0.185,1,0.71,1,0.396666666666,1,0,1,0.666666666667,1,0.866666666667,1
manual,fine_human,烹饪、用餐,1,1,5,0,0,0,0.75,1,1,1,0.645,1,0.0225,1,0.2355,1,0.0575182402261,1,0.2,1,0,1
manual,fine_human,用途未定,1,1,7,0,1,0,0.565,1,0.565,1,0,1,0.0375,1,0.176666666666,1,0.048613116923,1,0,1,0.47619047619,1
manual,fine_human,起居、厨房,1,1,6,0,0,0,0.665,1,1,1,0.86,1,0.345,1,0.230833333333,1,0.0177253478985,1,0.333333333333,1,0.6,1
manual,fine_human,通行,2,1,5,0,1,0,0,2,0.0725,2,0,2,0.6475,2,0.476,2,0.0434831964444,1,0.6,2,0.7,2
manual,fine_human,餐饮、厨房,1,1,6,0,0,0,0,1,0.695,1,0.21,1,0.7175,1,0.4025,1,0.0871720435997,1,0.666666666667,1,0.6,1
manual,fine_human,,171,22,5,20,23,10,0.347118644068,118,0.633601694915,118,0.399533898305,118,0.246322033898,118,0.243611727757,118,0.0442981831336,131,0.385138639134,171,0.401054804599,151
manual,fine_ai,储藏家务,4,3,14,0,2,0,0,4,0.63375,4,0.4825,4,0.256666666667,4,0.251990200922,4,0.0507979168844,4,0.296286231884,4,0.342572463768,4
manual,fine_ai,储藏家务|卧室,2,1,1.5,0,0,0,,0,,0,,0,,0,,0,0.0737170388594,1,0.5,2,0,1
manual,fine_ai,储藏家务|卧室|卫浴|通行,1,1,5,0,0,0,0.4,1,0.765,1,0.215,1,0.3675,1,0.3615,1,0.0420061446832,1,0.4,1,0.7,1
manual,fine_ai,储藏家务|卧室|厨房,3,1,2,0,0,0,0,1,0.49,1,0.185,1,0.25,1,0.3275,1,0.057024089161,1,0.833333333333,3,0.833333333333,3
manual,fine_ai,储藏家务|卫浴,2,2,13,0,0,0,0,1,0.19,1,0.485,1,0.169166666667,1,0.223125,1,0.0165757236051,1,0.583333333334,2,0.83152173913,2
manual,fine_ai,储藏家务|卫浴|通行,4,2,23,0,0,2,0,3,0.131666666667,3,0.313333333333,3,0.299722222222,3,0.30496267018,3,0.047053047031,3,0.495923913044,4,0.705094422486,3
manual,fine_ai,储藏家务|通行,4,3,4.5,1,0,0,0.768333333333,3,0.933333333333,3,0.596666666667,3,0.159166666667,3,0.162666666667,3,0.053371976614,3,0.3625,4,0.3,3
manual,fine_ai,卧室,37,14,5,8,3,1,0.54625,24,0.768958333333,24,0.457708333333,24,0.141805555556,24,0.175707139328,24,0.0457806307847,30,0.294692518606,37,0.193888888889,30
manual,fine_ai,卧室|卫浴,8,4,3,1,0,1,0.571666666667,3,0.893333333333,3,0.601666666667,3,0.266,3,0.217251461988,3,0.0435649899044,4,0.597039473684,8,0.504020467836,8
manual,fine_ai,卧室|卫浴|通行,1,1,1,0,0,0,,0,,0,,0,,0,,0,,0,1,1,,0
manual,fine_ai,卧室|厨房|通行,1,1,6,1,0,0,0.845,1,1,1,0.795,1,0.14,1,0.166666666667,1,0.0689807813785,1,0.166666666667,1,0,1
manual,fine_ai,卧室|用餐|通行,1,1,3,0,0,0,,0,,0,,0,,0,,0,0.0179958424951,1,0,1,0,1
manual,fine_ai,卧室|起居休闲|通行,3,1,6,0,0,1,0.108333333333,3,0.516666666667,3,0.196666666667,3,0.4925,3,0.367098375055,3,0.0406785587801,3,0.471497584541,3,0.819806763285,3
manual,fine_ai,卧室|通行,4,4,5,0,0,1,0.121666666667,3,0.471666666667,3,0.17,3,0.4675,3,0.393819444444,3,0.0646826144675,3,0.625,4,0.75652173913,3
manual,fine_ai,卫浴,32,12,5.5,1,9,2,0.214230769231,26,0.633076923077,26,0.475769230769,26,0.232647435897,26,0.232833870855,26,0.0435007458275,26,0.348419390249,32,0.453894502396,30
manual,fine_ai,卫浴|特殊用途|通行,1,1,5,0,0,0,0.585,1,0.81,1,0.47,1,0,1,0.2385,1,0.0405859139042,1,0.2,1,0,1
manual,fine_ai,卫浴|用途不明,2,2,3.5,0,0,0,0,1,0.585,1,0.095,1,0.645,1,0.479,1,0.0735552303593,2,0.3,2,0.45,2
manual,fine_ai,卫浴|通行,6,4,5.5,0,0,1,0,4,0.39625,4,0.35625,4,0.497708333333,4,0.381869235836,4,0.041750003103,4,0.509661835749,6,0.725076855512,6
manual,fine_ai,厨房,1,1,3,0,0,0,,0,,0,,0,,0,,0,0.0676850255907,1,0.333333333333,1,0.666666666667,1
manual,fine_ai,厨房|工作学习|起居休闲,1,1,6,0,0,0,0,1,0,1,0,1,1,1,0.5,1,,0,1,1,0.8,1
manual,fine_ai,厨房|用餐,4,3,5.5,1,1,0,0.3625,4,0.73,4,0.3825,4,0.389375,4,0.306625,4,0.05046931709,4,0.35,4,0.533333333333,4
manual,fine_ai,厨房|用餐|起居休闲,6,4,5,0,2,0,0.246666666667,6,0.440833333333,6,0.178333333333,6,0.351666666667,6,0.301215277778,6,0.053247657722,5,0.340277777778,6,0.45,6
manual,fine_ai,厨房|起居休闲,3,1,2,0,0,0,,0,,0,,0,,0,,0,,0,1,3,1,2
manual,fine_ai,厨房|起居休闲|通行,1,1,6,0,0,0,0.7,1,1,1,0.67,1,0.1775,1,0.233333333333,1,0.0595328500214,1,0.333333333333,1,0,1
manual,fine_ai,工作学习|起居休闲,3,2,6,2,0,0,0.601666666667,3,0.64,3,0.306666666667,3,0.0341666666667,3,0.149479578393,3,0.0324811618383,3,0.0434782608697,3,0.404216073781,3
manual,fine_ai,工作学习|起居休闲|通行,1,1,5,0,0,0,0,1,0.635,1,0.105,1,0.45,1,0.468,1,0.0664213357058,1,0.6,1,0.4,1
manual,fine_ai,工作学习|通行,4,1,5.5,0,2,0,0.41875,4,0.65625,4,0.30625,4,0.251875,4,0.272770833333,4,0.0473198965698,4,0.25625,4,0.195833333333,4
manual,fine_ai,特殊用途,2,2,3,0,0,0,0.56,1,1,1,0.335,1,0,1,0.239,1,0.0572270208612,1,0.6,2,0,1
manual,fine_ai,特殊用途|用餐,1,1,5,0,0,0,0.75,1,1,1,0.645,1,0.0225,1,0.2355,1,0.0575182402261,1,0.2,1,0,1
manual,fine_ai,特殊用途|起居休闲,1,1,5,0,0,0,0.61,1,0.79,1,0.35,1,0,1,0.246,1,0.0389265898881,1,0.2,1,0,1
manual,fine_ai,特殊用途|通行,3,1,5,0,1,0,0.191666666667,3,0.283333333333,3,0.176666666667,3,0.406111111111,3,0.331597222222,3,0.056563568893,2,0.388888888889,3,0.613043478261,3
manual,fine_ai,用途不明,3,2,7,1,1,0,0.7775,2,0.7825,2,0.5,2,0.01875,2,0.088333333333,2,0.0362535231767,3,0.111111111111,3,0.380952380952,3
manual,fine_ai,用途不明|起居休闲|通行,1,1,6,0,0,0,0.665,1,1,1,0.86,1,0.345,1,0.230833333333,1,0.0177253478985,1,0.333333333333,1,0.6,1
manual,fine_ai,用途不明|通行,3,1,23,0,0,2,0,3,0.15,3,0.136666666667,3,0.339166666667,3,0.298396464647,3,0.0431825741366,3,0.336956521739,3,0.193236714976,3
manual,fine_ai,用餐,1,1,3,0,0,0,,0,,0,,0,,0,,0,0.0622727873146,1,0,1,0,1
manual,fine_ai,用餐|起居休闲,3,2,1,0,0,0,0,1,0,1,0,1,1,1,0.6,1,,0,1,3,1,1
manual,fine_ai,用餐|起居休闲|通行,1,1,3,0,0,0,,0,,0,,0,,0,,0,0.0429611475528,1,0.333333333333,1,0.666666666667,1
manual,fine_ai,起居休闲,5,3,4,1,2,0,0.20375,4,0.4425,4,0.30125,4,0.177291666667,4,0.239483942688,4,0.0333931298732,5,0.157391304348,5,0.504901185771,5
manual,fine_ai,起居休闲|通行,2,2,1.5,0,0,0,,0,,0,,0,,0,,0,0.000921623958422,1,0.5,2,0,1
manual,fine_ai,通行,20,10,5,4,4,1,0.3590625,16,0.6265625,16,0.4221875,16,0.2328125,16,0.221497097332,16,0.0332685963692,16,0.328278985507,20,0.353012004099,18
manual,fine_ai,通行|通行（电梯）|通行（门厅）,1,1,5,1,0,0,1,1,1,1,1,1,0,1,0,1,0.0126505084587,1,0,1,0,1
manual,main_function_primary,bathroom,48,13,5.5,1,8,6,0.146515151515,33,0.553484848485,33,0.431515151515,33,0.272757575758,33,0.264151767134,33,0.0455491425428,36,0.421543116891,48,0.541728593186,45
manual,main_function_primary,circulation,25,11,5,4,4,3,0.339318181818,22,0.567954545455,22,0.331818181818,22,0.309886363636,22,0.269247028087,22,0.0373204496896,20,0.383724637681,25,0.392779400813,23
manual,main_function_primary,dining,5,4,5,0,0,0,0.25,3,0.636666666667,3,0.426666666667,3,0.246666666667,3,0.244819444444,3,0.0667157086267,3,0.581666666667,5,0.2,3
manual,main_function_primary,empty,5,3,7,1,3,0,0.5225,4,0.66,4,0.44875,4,0.0339583333334,4,0.125886034256,4,0.0430904576412,5,0.0753623188405,5,0.245962732919,5
manual,main_function_primary,kitchen,9,9,5,2,3,0,0.524166666667,6,0.680833333333,6,0.304166666667,6,0.177916666667,6,0.24775,6,0.0529636726563,8,0.255555555556,9,0.333333333333,8
manual,main_function_primary,living,20,13,5,2,2,1,0.270714285714,14,0.538214285714,14,0.315714285714,14,0.38494047619,14,0.318956968756,14,0.0373385569697,15,0.460072463768,20,0.571083836072,19
manual,main_function_primary,sleep,45,17,5,6,3,2,0.42962962963,27,0.700555555556,27,0.384814814815,27,0.207530864198,27,0.221349247304,27,0.0477575327263,33,0.407858293076,45,0.332950885668,36
manual,main_function_primary,special,3,2,5,0,1,0,0.573333333333,3,0.795,3,0.268333333333,3,0.0216666666667,3,0.24,3,0.0553972947358,3,0.133333333333,3,0.2,3
manual,main_function_primary,storage,5,4,4,0,1,0,0.241666666667,3,0.76,3,0.53,3,0.206944444444,3,0.222361111111,3,0.0647718126561,4,0.358333333333,5,0.270833333333,4
manual,main_function_primary,unknown,19,11,5,5,1,0,0.512,15,0.748666666667,15,0.591,15,0.265722222222,15,0.202161111111,15,0.0365526170069,15,0.317543859649,19,0.257203751066,17
manual,main_function_primary,work,3,2,23,1,1,0,0.268333333333,3,0.39,3,0.23,3,0.05,3,0.202674022837,3,0.0281640074094,3,0.0851449275363,3,0.431993851559,3
manual,floor_boundary,partial,148,22,5,14,20,9,0.315606060606,99,0.623333333333,99,0.383383838384,99,0.250590909091,99,0.252956499267,99,0.0466947227987,113,0.394964336383,148,0.430878586199,130
manual,floor_boundary,present,39,15,6,8,7,3,0.392941176471,34,0.623529411765,34,0.448382352941,34,0.257867647059,34,0.229164743664,34,0.0357225184716,32,0.333156819026,39,0.335627235084,36
manual,ceiling_boundary,partial,18,3,5.5,4,4,2,0.427777777778,18,0.681111111111,18,0.404444444444,18,0.217314814815,18,0.235770842483,18,0.0441474156955,18,0.236453301127,18,0.240049041136,18
manual,ceiling_boundary,present,169,22,5,18,23,10,0.320913043478,115,0.614347826087,115,0.399304347826,115,0.257950724638,115,0.24861234389,115,0.0442911085419,127,0.397583895304,169,0.430918337354,148
manual,corner_occlusion,absent,39,15,6,8,7,3,0.392941176471,34,0.623529411765,34,0.448382352941,34,0.257867647059,34,0.229164743664,34,0.0357225184716,32,0.333156819026,39,0.335627235084,36
manual,corner_occlusion,present,148,22,5,14,20,9,0.315606060606,99,0.623333333333,99,0.383383838384,99,0.250590909091,99,0.252956499267,99,0.0466947227987,113,0.394964336383,148,0.430878586199,130
manual,connected_space,present,187,22,5,22,27,12,0.33537593985,133,0.623383458647,133,0.4,133,0.25245112782,133,0.246874396331,133,0.0442732708093,145,0.382073998539,187,0.41022166668,166
manual,reflection_glass,present,135,22,5,16,21,9,0.337475728155,103,0.635825242718,103,0.403495145631,103,0.236627831715,103,0.242808628963,103,0.0442795707977,113,0.338320000338,135,0.409565425915,127
manual,reflection_glass,unknown,52,18,5,6,6,3,0.328166666667,30,0.580666666667,30,0.388,30,0.306777777778,30,0.260833530962,30,0.0442510239752,32,0.495666109253,52,0.412358655837,39
manual,low_contrast,absent,186,22,5,22,27,12,0.33537593985,133,0.623383458647,133,0.4,133,0.25245112782,133,0.246874396331,133,0.0442732708093,145,0.378751815735,186,0.41022166668,166
manual,low_contrast,present,1,1,1,0,0,0,,0,,0,,0,,0,,0,,0,1,1,,0
manual,doorway,否,168,22,5,22,26,7,0.359875,120,0.650791666667,120,0.40775,120,0.237698611111,120,0.23860178807,120,0.0432835262635,133,0.359919342104,168,0.373849894874,148
manual,doorway,无法判断,1,1,5,0,0,0,0.625,1,1,1,0.31,1,0.4125,1,0.364,1,0.0812562313061,1,0.4,1,0.7,1
