condition,scene,state,images_with_state,expected_images
manual,储藏与家务辅助,cannot_judge_low_n,3,3
manual,储藏与家务辅助,cannot_judge_singletons,3,3
manual,储藏与家务辅助,current_changes,2,0.62
manual,储藏与家务辅助,stable_multicluster,2,1.38
manual,卧室,cannot_judge_invalid,1,1
manual,卧室,cannot_judge_low_n,17,17
manual,卧室,cannot_judge_singletons,15,15
manual,卧室,current_changes,11,5.75
manual,卧室,observed_unified,6,4.25
manual,卧室,stable_multicluster,2,1
manual,卫浴,cannot_judge_invalid,4,4
manual,卫浴,cannot_judge_low_n,15,15
manual,卫浴,cannot_judge_singletons,21,21
manual,卫浴,current_changes,8,2.17
manual,卫浴,observed_unified,3,2.67
manual,卫浴,stable_multicluster,6,4.16
manual,厨房与用餐,cannot_judge_low_n,5,5
manual,厨房与用餐,cannot_judge_singletons,6,6
manual,厨房与用餐,current_changes,2,1.84
manual,厨房与用餐,stable_multicluster,1,0.16
manual,复合／待定,cannot_judge_invalid,2,2
manual,复合／待定,cannot_judge_low_n,1,1
manual,复合／待定,cannot_judge_singletons,2,2
manual,复合／待定,observed_unified,2,2
manual,"复合／待定  , 厨房 客厅",cannot_judge_singletons,1,1
manual,工作与学习,cannot_judge_singletons,2,2
manual,工作与学习,current_changes,1,1
manual,开放复合空间,cannot_judge_singletons,3,3
manual,无法判断,current_changes,1,1
manual,特殊用途,cannot_judge_singletons,1,1
manual,特殊用途,current_changes,1,1
manual,起居与休闲,cannot_judge_invalid,1,1
manual,起居与休闲,cannot_judge_low_n,7,7
manual,起居与休闲,cannot_judge_singletons,8,8
manual,起居与休闲,current_changes,4,2.9
manual,起居与休闲,observed_unified,1,0.56
manual,起居与休闲,stable_multicluster,1,0.54
manual,通行与连接,cannot_judge_invalid,1,1
manual,通行与连接,cannot_judge_low_n,6,6
manual,通行与连接,cannot_judge_singletons,20,20
manual,通行与连接,current_changes,6,3.77
manual,通行与连接,observed_unified,5,3.98
manual,通行与连接,stable_multicluster,2,1.25
semi,储藏与家务辅助,cannot_judge_singletons,1,1
semi,卧室,cannot_judge_invalid,1,1
semi,卧室,cannot_judge_low_n,1,1
semi,卧室,cannot_judge_singletons,8,8
semi,卧室,current_changes,5,1.65
semi,卧室,observed_unified,2,1.77
semi,卧室,stable_multicluster,4,2.58
semi,卫浴,cannot_judge_invalid,1,1
semi,卫浴,cannot_judge_singletons,1,1
semi,厨房与用餐,cannot_judge_invalid,1,1
semi,厨房与用餐,observed_unified,1,1
semi,复合／待定,cannot_judge_singletons,2,2
semi,复合／待定,current_changes,3,0.9
semi,复合／待定,observed_unified,2,1.33
semi,复合／待定,stable_multicluster,1,0.77
semi,工作与学习,cannot_judge_singletons,1,1
semi,工作与学习,current_changes,1,0.74
semi,工作与学习,stable_multicluster,1,0.26
semi,开放复合空间,observed_unified,1,1
semi,无法判断,cannot_judge_singletons,1,1
semi,起居与休闲,cannot_judge_singletons,2,2
semi,起居与休闲,current_changes,1,0.34
semi,起居与休闲,stable_multicluster,1,0.66
semi,通行与连接,cannot_judge_singletons,7,7
semi,通行与连接,current_changes,3,2.33
semi,通行与连接,stable_multicluster,1,0.67
