scope,stratum,x,y,contexts,buildings,rho,analysis_status,not_evaluable_reason,bootstrap_requested_n,bootstrap_evaluable_n,bootstrap_invalid_n,bootstrap_missing_fraction,invalid_fewer_than_4_n,invalid_constant_x_n,invalid_constant_y_n,invalid_nonfinite_rho_n,ci_low_replayed,ci_high_replayed,ci_low_original,ci_high_original,old_ci_reproduced_within_1e_12,interval_interpretation
extended73,all,bi_floor,d_floor,72,16,0.49453456854801386,evaluable,,500,500,0,0.0,0,0,0,0,0.318734226041897,0.6535463745978951,0.318734226041897,0.6535463745978951,True,finite_draw_conditional_building_bootstrap_current_tasks_and_workers
extended73,all,bi_band,d_band,49,15,0.4397845064298039,evaluable,,500,500,0,0.0,0,0,0,0,0.15356547844765758,0.6013212171344974,0.1535654784476575,0.6013212171344974,True,finite_draw_conditional_building_bootstrap_current_tasks_and_workers
extended73,all,bi_linear,d_linear,49,15,0.35678852508786324,evaluable,,500,500,0,0.0,0,0,0,0,0.10097002839873011,0.5146447770595193,0.1009700283987301,0.5146447770595193,True,finite_draw_conditional_building_bootstrap_current_tasks_and_workers
extended73,all,bi_solid,d_solid,49,15,0.41974197121292917,evaluable,,500,500,0,0.0,0,0,0,0,0.11811289967526756,0.5987172879081328,0.1181128996752675,0.5987172879081328,True,finite_draw_conditional_building_bootstrap_current_tasks_and_workers
extended73,all,bi_floor,cluster_count,72,16,0.4780888237982638,evaluable,,500,500,0,0.0,0,0,0,0,0.29433210418491107,0.6356287237677467,0.294332104184911,0.6356287237677467,True,finite_draw_conditional_building_bootstrap_current_tasks_and_workers
extended73,C1|manual,bi_floor,d_floor,12,5,0.469352733786692,evaluable,,500,500,0,0.0,0,0,0,0,-0.43209876543209874,0.9385182297751195,-0.4320987654320987,0.9385182297751196,True,finite_draw_conditional_building_bootstrap_current_tasks_and_workers
extended73,C1|manual,bi_band,d_band,7,4,0.48650622985560193,evaluable,,500,497,3,0.006,0,3,0,0,-1.0,1.0,-1.0,1.0,True,finite_draw_conditional_building_bootstrap_current_tasks_and_workers
extended73,C1|manual,bi_linear,d_linear,7,4,0.01801874925391118,evaluable,,500,496,4,0.008,0,4,0,0,-1.0,0.8,-1.0,0.8,True,finite_draw_conditional_building_bootstrap_current_tasks_and_workers
extended73,C1|manual,bi_solid,d_solid,7,4,0.5585812268712466,evaluable,,500,498,2,0.004,0,2,0,0,-1.0,1.0,-1.0,1.0,True,finite_draw_conditional_building_bootstrap_current_tasks_and_workers
extended73,C1|manual,bi_floor,cluster_count,12,5,0.40646942234853023,evaluable,,500,500,0,0.0,0,0,0,0,0.10023489410787398,0.8738275920531945,0.1002348941078739,0.8738275920531945,True,finite_draw_conditional_building_bootstrap_current_tasks_and_workers
extended73,C2-B|manual,bi_floor,d_floor,4,3,0.632455532033676,evaluable,,500,324,176,0.352,152,24,0,0,0.0,0.9428090415820635,0.0,0.9428090415820636,True,finite_draw_conditional_building_bootstrap_current_tasks_and_workers
extended73,C2-B|manual,bi_band,d_band,3,2,,not_evaluable,original_invalid_fewer_than_4,0,0,0,,0,0,0,0,,,,,True,finite_draw_conditional_building_bootstrap_current_tasks_and_workers
extended73,C2-B|manual,bi_linear,d_linear,3,2,,not_evaluable,original_invalid_fewer_than_4,0,0,0,,0,0,0,0,,,,,True,finite_draw_conditional_building_bootstrap_current_tasks_and_workers
extended73,C2-B|manual,bi_solid,d_solid,3,2,,not_evaluable,original_invalid_fewer_than_4,0,0,0,,0,0,0,0,,,,,True,finite_draw_conditional_building_bootstrap_current_tasks_and_workers
extended73,C2-B|manual,bi_floor,cluster_count,4,3,0.9486832980505139,evaluable,,500,339,161,0.322,145,16,0,0,0.7453559924999299,0.9486832980505139,0.7453559924999299,0.948683298050514,True,finite_draw_conditional_building_bootstrap_current_tasks_and_workers
extended73,P1|manual,bi_floor,d_floor,29,12,0.5582684295858952,evaluable,,500,500,0,0.0,0,0,0,0,0.27425390423568496,0.7613391398251766,0.2742539042356849,0.7613391398251766,True,finite_draw_conditional_building_bootstrap_current_tasks_and_workers
extended73,P1|manual,bi_band,d_band,18,10,0.5370469250492601,evaluable,,500,500,0,0.0,0,0,0,0,0.05268151826519057,0.821936700421426,0.0526815182651905,0.821936700421426,True,finite_draw_conditional_building_bootstrap_current_tasks_and_workers
extended73,P1|manual,bi_linear,d_linear,18,10,0.7038964551616516,evaluable,,500,500,0,0.0,0,0,0,0,0.24319594206902306,0.9384668262865202,0.243195942069023,0.9384668262865202,True,finite_draw_conditional_building_bootstrap_current_tasks_and_workers
extended73,P1|manual,bi_solid,d_solid,18,10,0.5662455928189286,evaluable,,500,500,0,0.0,0,0,0,0,-0.02732255943095336,0.8358313178181492,-0.0273225594309533,0.8358313178181492,True,finite_draw_conditional_building_bootstrap_current_tasks_and_workers
extended73,P1|manual,bi_floor,cluster_count,29,12,0.4549608127190196,evaluable,,500,500,0,0.0,0,0,0,0,0.11732342469718991,0.74886233583116,0.1173234246971899,0.74886233583116,True,finite_draw_conditional_building_bootstrap_current_tasks_and_workers
extended73,P1|oos,bi_floor,d_floor,9,6,-0.04184137043778616,evaluable,,500,500,0,0.0,0,0,0,0,-0.9587595907928388,0.8000000000000002,-0.9587595907928388,0.8000000000000002,True,finite_draw_conditional_building_bootstrap_current_tasks_and_workers
extended73,P1|oos,bi_band,d_band,5,4,0.7,evaluable,,500,495,5,0.01,0,5,0,0,-0.5000000000000001,1.0,-0.5000000000000001,1.0,True,finite_draw_conditional_building_bootstrap_current_tasks_and_workers
extended73,P1|oos,bi_linear,d_linear,5,4,-0.8999999999999998,evaluable,,500,494,6,0.012,0,6,0,0,-1.0,-0.33124999999999716,-1.0,-0.3312499999999971,True,finite_draw_conditional_building_bootstrap_current_tasks_and_workers
extended73,P1|oos,bi_solid,d_solid,5,4,0.19999999999999998,evaluable,,500,497,3,0.006,0,3,0,0,-1.0,1.0,-1.0,1.0,True,finite_draw_conditional_building_bootstrap_current_tasks_and_workers
extended73,P1|oos,bi_floor,cluster_count,9,6,0.6638838859069907,evaluable,,500,500,0,0.0,0,0,0,0,-0.5117980214902519,0.9513481440246997,-0.5117980214902519,0.9513481440246996,True,finite_draw_conditional_building_bootstrap_current_tasks_and_workers
extended73,P1|semi,bi_floor,d_floor,18,10,0.3047630891984219,evaluable,,500,500,0,0.0,0,0,0,0,-0.23416090048732136,0.6947020332242559,-0.2341609004873213,0.6947020332242559,True,finite_draw_conditional_building_bootstrap_current_tasks_and_workers
extended73,P1|semi,bi_band,d_band,16,9,-0.0879651081098014,evaluable,,500,500,0,0.0,0,0,0,0,-0.3936116356417936,0.2885687225971799,-0.3936116356417936,0.2885687225971799,True,finite_draw_conditional_building_bootstrap_current_tasks_and_workers
extended73,P1|semi,bi_linear,d_linear,16,9,-0.2120587427646998,evaluable,,500,500,0,0.0,0,0,0,0,-0.6461451832509245,0.2022877465061405,-0.6461451832509245,0.2022877465061405,True,finite_draw_conditional_building_bootstrap_current_tasks_and_workers
extended73,P1|semi,bi_solid,d_solid,16,9,-0.042411748552939964,evaluable,,500,500,0,0.0,0,0,0,0,-0.46927277857034283,0.29075983742785905,-0.4692727785703428,0.290759837427859,True,finite_draw_conditional_building_bootstrap_current_tasks_and_workers
extended73,P1|semi,bi_floor,cluster_count,18,10,0.43932489596337676,evaluable,,500,500,0,0.0,0,0,0,0,-0.12888869510868267,0.84966803495631,-0.1288886951086826,0.84966803495631,True,finite_draw_conditional_building_bootstrap_current_tasks_and_workers
without_synthetic,all,bi_floor,d_floor,66,15,0.5257294848006996,evaluable,,500,500,0,0.0,0,0,0,0,0.31694794255093395,0.6902738985802352,0.3169479425509339,0.6902738985802352,True,finite_draw_conditional_building_bootstrap_current_tasks_and_workers
without_synthetic,all,bi_band,d_band,43,14,0.5165003598236033,evaluable,,500,500,0,0.0,0,0,0,0,0.17124192780883293,0.7139739690334638,0.1712419278088329,0.7139739690334638,True,finite_draw_conditional_building_bootstrap_current_tasks_and_workers
without_synthetic,all,bi_linear,d_linear,43,14,0.4594102426934431,evaluable,,500,500,0,0.0,0,0,0,0,0.08314126250742997,0.7146826473042266,0.0831412625074299,0.7146826473042266,True,finite_draw_conditional_building_bootstrap_current_tasks_and_workers
without_synthetic,all,bi_solid,d_solid,43,14,0.5065883475627815,evaluable,,500,500,0,0.0,0,0,0,0,0.15819872195487236,0.7288886339541076,0.1581987219548723,0.7288886339541076,True,finite_draw_conditional_building_bootstrap_current_tasks_and_workers
without_synthetic,all,bi_floor,cluster_count,66,15,0.4590467999404232,evaluable,,500,500,0,0.0,0,0,0,0,0.25346308822162267,0.6343180783975382,0.2534630882216226,0.6343180783975382,True,finite_draw_conditional_building_bootstrap_current_tasks_and_workers
without_synthetic,C1|manual,bi_floor,d_floor,12,5,0.469352733786692,evaluable,,500,500,0,0.0,0,0,0,0,-0.43209876543209874,0.926472701648074,-0.4320987654320987,0.926472701648074,True,finite_draw_conditional_building_bootstrap_current_tasks_and_workers
without_synthetic,C1|manual,bi_band,d_band,7,4,0.48650622985560193,evaluable,,500,493,7,0.014,0,7,0,0,-1.0,1.0,-1.0,1.0,True,finite_draw_conditional_building_bootstrap_current_tasks_and_workers
without_synthetic,C1|manual,bi_linear,d_linear,7,4,0.01801874925391118,evaluable,,500,493,7,0.014,0,7,0,0,-1.0,0.9354838709677421,-1.0,0.935483870967742,True,finite_draw_conditional_building_bootstrap_current_tasks_and_workers
without_synthetic,C1|manual,bi_solid,d_solid,7,4,0.5585812268712466,evaluable,,500,497,3,0.006,0,3,0,0,-1.0,1.0,-1.0,1.0,True,finite_draw_conditional_building_bootstrap_current_tasks_and_workers
without_synthetic,C1|manual,bi_floor,cluster_count,12,5,0.40646942234853023,evaluable,,500,499,1,0.002,0,1,0,0,0.10057261345314991,0.8571021875695914,0.1005726134531499,0.8571021875695914,True,finite_draw_conditional_building_bootstrap_current_tasks_and_workers
without_synthetic,C2-B|manual,bi_floor,d_floor,4,3,0.632455532033676,evaluable,,500,332,168,0.336,148,20,0,0,0.0,0.9428090415820635,0.0,0.9428090415820636,True,finite_draw_conditional_building_bootstrap_current_tasks_and_workers
without_synthetic,C2-B|manual,bi_band,d_band,3,2,,not_evaluable,original_invalid_fewer_than_4,0,0,0,,0,0,0,0,,,,,True,finite_draw_conditional_building_bootstrap_current_tasks_and_workers
without_synthetic,C2-B|manual,bi_linear,d_linear,3,2,,not_evaluable,original_invalid_fewer_than_4,0,0,0,,0,0,0,0,,,,,True,finite_draw_conditional_building_bootstrap_current_tasks_and_workers
without_synthetic,C2-B|manual,bi_solid,d_solid,3,2,,not_evaluable,original_invalid_fewer_than_4,0,0,0,,0,0,0,0,,,,,True,finite_draw_conditional_building_bootstrap_current_tasks_and_workers
without_synthetic,C2-B|manual,bi_floor,cluster_count,4,3,0.9486832980505139,evaluable,,500,341,159,0.318,138,21,0,0,0.7453559924999299,0.9486832980505139,0.7453559924999299,0.948683298050514,True,finite_draw_conditional_building_bootstrap_current_tasks_and_workers
without_synthetic,P1|manual,bi_floor,d_floor,29,12,0.5582684295858952,evaluable,,500,500,0,0.0,0,0,0,0,0.25403140483092623,0.7500036117724908,0.2540314048309262,0.7500036117724908,True,finite_draw_conditional_building_bootstrap_current_tasks_and_workers
without_synthetic,P1|manual,bi_band,d_band,18,10,0.5370469250492601,evaluable,,500,500,0,0.0,0,0,0,0,-0.02206470215284296,0.8328090642863228,-0.0220647021528429,0.8328090642863228,True,finite_draw_conditional_building_bootstrap_current_tasks_and_workers
without_synthetic,P1|manual,bi_linear,d_linear,18,10,0.7038964551616516,evaluable,,500,500,0,0.0,0,0,0,0,0.1775689443294322,0.9401723476024638,0.1775689443294322,0.9401723476024638,True,finite_draw_conditional_building_bootstrap_current_tasks_and_workers
without_synthetic,P1|manual,bi_solid,d_solid,18,10,0.5662455928189286,evaluable,,500,500,0,0.0,0,0,0,0,-0.0014722603571852375,0.8380061788268796,-0.0014722603571852,0.8380061788268796,True,finite_draw_conditional_building_bootstrap_current_tasks_and_workers
without_synthetic,P1|manual,bi_floor,cluster_count,29,12,0.4549608127190196,evaluable,,500,500,0,0.0,0,0,0,0,0.0862324913288255,0.7620298253937297,0.0862324913288255,0.7620298253937297,True,finite_draw_conditional_building_bootstrap_current_tasks_and_workers
without_synthetic,P1|oos,bi_floor,d_floor,9,6,-0.04184137043778616,evaluable,,500,500,0,0.0,0,0,0,0,-1.0,0.8,-1.0,0.8,True,finite_draw_conditional_building_bootstrap_current_tasks_and_workers
without_synthetic,P1|oos,bi_band,d_band,5,4,0.7,evaluable,,500,491,9,0.018,0,9,0,0,-0.5000000000000001,1.0,-0.5000000000000001,1.0,True,finite_draw_conditional_building_bootstrap_current_tasks_and_workers
without_synthetic,P1|oos,bi_linear,d_linear,5,4,-0.8999999999999998,evaluable,,500,491,9,0.018,0,9,0,0,-1.0,-0.6842105263157895,-1.0,-0.6842105263157895,True,finite_draw_conditional_building_bootstrap_current_tasks_and_workers
without_synthetic,P1|oos,bi_solid,d_solid,5,4,0.19999999999999998,evaluable,,500,494,6,0.012,0,6,0,0,-1.0,1.0,-1.0,1.0,True,finite_draw_conditional_building_bootstrap_current_tasks_and_workers
without_synthetic,P1|oos,bi_floor,cluster_count,9,6,0.6638838859069907,evaluable,,500,500,0,0.0,0,0,0,0,-0.5086082191089899,0.9533582089552239,-0.5086082191089899,0.953358208955224,True,finite_draw_conditional_building_bootstrap_current_tasks_and_workers
without_synthetic,P1|semi,bi_floor,d_floor,12,7,0.6942135191850292,evaluable,,500,500,0,0.0,0,0,0,0,0.2751418165088584,1.0,0.2751418165088584,1.0,True,finite_draw_conditional_building_bootstrap_current_tasks_and_workers
without_synthetic,P1|semi,bi_band,d_band,10,6,0.15007329587537338,evaluable,,500,500,0,0.0,0,0,0,0,-0.34812145002212413,1.0,-0.3481214500221241,1.0,True,finite_draw_conditional_building_bootstrap_current_tasks_and_workers
without_synthetic,P1|semi,bi_linear,d_linear,10,6,-0.012506107989614448,evaluable,,500,500,0,0.0,0,0,0,0,-0.625,0.8000000000000002,-0.625,0.8000000000000002,True,finite_draw_conditional_building_bootstrap_current_tasks_and_workers
without_synthetic,P1|semi,bi_solid,d_solid,10,6,0.10630191791172282,evaluable,,500,500,0,0.0,0,0,0,0,-0.45176470665739227,1.0,-0.4517647066573922,1.0,True,finite_draw_conditional_building_bootstrap_current_tasks_and_workers
