stage_guess,source_file,sha256_source_not_recomputed,task_count,annotation_count,geometry_even_pair_candidate_count,distinct_workers,distinct_base_candidates,project_ids_json,task_annotation_min,task_annotation_median,task_annotation_max,data_keys_json,result_types_json
P1,export_label/stage1_English/project-39-at-2026-06-28-05-14-65ca3316.json,git_blob_managed,30,362,333,12,30,"[""39""]",11,12,13,"[""base_task_id"", ""condition"", ""dataset_group"", ""final_role"", ""has_expert_ref"", ""image"", ""is_anchor"", ""scope_gold"", ""task_id"", ""title"", ""vis_3d""]","{""brushlabels"": 2, ""choices"": 724, ""keypointlabels"": 3420}"
P1,export_label/stage1_English/project-40-at-2026-06-28-05-14-bb74a057.json,git_blob_managed,18,216,214,12,18,"[""40""]",12,12,12,"[""base_task_id"", ""condition"", ""dataset_group"", ""image"", ""init_type"", ""proposal_coord_contract"", ""proposal_source_kind"", ""proposal_source_path"", ""semi_role"", ""source_type"", ""synthetic_candidate_id"", ""synthetic_rebind_status"", ""task_id"", ""title"", ""trap_family"", ""vis_3d""]","{""choices"": 648, ""keypointlabels"": 1966}"
P1,export_label/stage1_English/project-41-at-2026-06-28-05-13-8641854f.json,git_blob_managed,9,108,96,12,9,"[""41""]",12,12,12,"[""base_task_id"", ""condition"", ""dataset_group"", ""family_dir"", ""final_role"", ""image"", ""scope_target"", ""scope_target_source"", ""task_id"", ""title"", ""vis_3d""]","{""choices"": 216, ""keypointlabels"": 1295}"
P1,export_label/stage1_chinese/project-28-at-2026-07-01-07-14-56a198ba.json,git_blob_managed,30,420,411,14,30,"[""28""]",14,14,14,"[""base_task_id"", ""condition"", ""dataset_group"", ""final_role"", ""has_expert_ref"", ""image"", ""is_anchor"", ""scope_gold"", ""task_id"", ""title"", ""vis_3d""]","{""brushlabels"": 1, ""choices"": 840, ""keypointlabels"": 4335}"
P1,export_label/stage1_chinese/project-29-at-2026-06-30-09-00-e7ea6931.json,git_blob_managed,18,253,251,14,18,"[""29""]",14,14,15,"[""base_task_id"", ""condition"", ""dataset_group"", ""image"", ""init_type"", ""proposal_coord_contract"", ""proposal_source_kind"", ""proposal_source_path"", ""semi_role"", ""source_type"", ""synthetic_candidate_id"", ""synthetic_rebind_status"", ""task_id"", ""title"", ""trap_family"", ""vis_3d""]","{""choices"": 759, ""keypointlabels"": 2392}"
P1,export_label/stage1_chinese/project-30-at-2026-06-30-09-00-69d8051b.json,git_blob_managed,9,126,125,14,9,"[""30""]",14,14,14,"[""base_task_id"", ""condition"", ""dataset_group"", ""family_dir"", ""final_role"", ""image"", ""scope_target"", ""scope_target_source"", ""task_id"", ""title"", ""vis_3d""]","{""choices"": 252, ""keypointlabels"": 1337}"
C1,export_label/stage2_Chinese/project-69-at-2026-07-30-13-02-cb472115.json,git_blob_managed,12,144,144,12,12,"[""69""]",12,12,12,"[""artifact_status"", ""base_task_id"", ""calibration_version"", ""condition"", ""dataset_group"", ""image"", ""image_id"", ""launch_allowed"", ""source_draft"", ""task_id"", ""title"", ""vis_3d""]","{""choices"": 288, ""keypointlabels"": 1550}"
C1,export_label/stage2_Chinese/project-71-at-2026-07-30-14-18-54a73158.json,git_blob_managed,69,198,193,12,69,"[""71""]",1,3,5,"[""artifact_status"", ""base_task_id"", ""calibration_version"", ""condition"", ""dataset_group"", ""image"", ""image_id"", ""launch_allowed"", ""source_draft"", ""task_id"", ""title"", ""vis_3d""]","{""choices"": 394, ""keypointlabels"": 2172}"
C1,export_label/stage2_Chinese/project-72-at-2026-07-30-13-02-f69c5ac4.json,git_blob_managed,24,54,53,12,24,"[""72""]",1,2,4,"[""artifact_status"", ""base_task_id"", ""calibration_version"", ""condition"", ""dataset_group"", ""image"", ""image_id"", ""launch_allowed"", ""source_draft"", ""task_id"", ""title"", ""vis_3d""]","{""choices"": 162, ""keypointlabels"": 643}"
C1,export_label/stage2_English/project-66-at-2026-07-30-13-01-cdb9fe80.json,git_blob_managed,12,135,135,11,12,"[""66""]",11,11,13,"[""artifact_status"", ""base_task_id"", ""calibration_version"", ""condition"", ""dataset_group"", ""image"", ""image_id"", ""launch_allowed"", ""source_draft"", ""task_id"", ""title"", ""vis_3d""]","{""choices"": 270, ""keypointlabels"": 1360}"
C1,export_label/stage2_English/project-67-at-2026-07-30-13-01-f5126135.json,git_blob_managed,74,203,201,11,74,"[""67""]",1,3,6,"[""artifact_status"", ""base_task_id"", ""calibration_version"", ""condition"", ""dataset_group"", ""image"", ""image_id"", ""launch_allowed"", ""source_draft"", ""task_id"", ""title"", ""vis_3d""]","{""choices"": 404, ""keypointlabels"": 2029}"
C1,export_label/stage2_English/project-68-at-2026-07-30-13-02-cf7d8306.json,git_blob_managed,25,54,54,11,25,"[""68""]",1,2,5,"[""artifact_status"", ""base_task_id"", ""calibration_version"", ""condition"", ""dataset_group"", ""image"", ""image_id"", ""launch_allowed"", ""source_draft"", ""task_id"", ""title"", ""vis_3d""]","{""choices"": 162, ""keypointlabels"": 584}"
C2-B,export_label/c2B_Chinese/project-77-at-2026-08-06-14-39-a247e8c0.json,git_blob_managed,27,80,80,10,27,"[""77""]",1,2,10,"[""artifact_status"", ""base_task_id"", ""c2b_batch_id"", ""calibration_version"", ""condition"", ""dataset_group"", ""image"", ""image_id"", ""launch_allowed"", ""planned_task_id"", ""selected_design_sha"", ""source_draft"", ""task_id"", ""title"", ""vis_3d""]","{""choices"": 160, ""keypointlabels"": 916}"
C2-B,export_label/c2B_English/project-76-at-2026-08-06-14-41-45400e98.json,git_blob_managed,23,80,80,10,23,"[""76""]",2,2,10,"[""artifact_status"", ""base_task_id"", ""c2b_batch_id"", ""calibration_version"", ""condition"", ""dataset_group"", ""image"", ""image_id"", ""launch_allowed"", ""planned_task_id"", ""selected_design_sha"", ""source_draft"", ""task_id"", ""title"", ""vis_3d""]","{""choices"": 160, ""keypointlabels"": 846}"
C2-A-RP-B1,export_label/c2arp_block1/project-78-at-2026-08-10-07-22-d878a022.json,git_blob_managed,17,20,20,10,17,"[""78""]",1,1,2,"[""base_task_id"", ""block_index"", ""c2a_assignment_manifest_sha256"", ""c2a_block_assignment_sha256"", ""c2a_precision_plan_sha256"", ""c2a_task_pool_sha256"", ""c2b_summary_sha256"", ""condition"", ""dataset_group"", ""deployment_id"", ""design_manifest_sha256"", ""gap_reason"", ""image"", ""image_id"", ""language_group"", ""method_contract_sha256"", ""method_contract_version"", ""model_layout_sha256"", ""planned_task_id"", ""post_c2b_worker_profile_sha256"", ""project_id"", ""round_id"", ""server_instance_id"", ""server_url"", ""target_component"", ""task_id"", ""task_stratum"", ""threshold_manifest_sha256"", ""title"", ""vis_3d""]","{""choices"": 40, ""keypointlabels"": 190}"
C2-A-RP-B1,export_label/c2arp_block1/project-79-at-2026-08-10-07-21-c5055ba6.json,git_blob_managed,18,20,20,10,18,"[""79""]",1,1,2,"[""base_task_id"", ""block_index"", ""c2a_assignment_manifest_sha256"", ""c2a_block_assignment_sha256"", ""c2a_precision_plan_sha256"", ""c2a_task_pool_sha256"", ""c2b_summary_sha256"", ""condition"", ""dataset_group"", ""deployment_id"", ""design_manifest_sha256"", ""gap_reason"", ""image"", ""image_id"", ""language_group"", ""method_contract_sha256"", ""method_contract_version"", ""model_layout_sha256"", ""planned_task_id"", ""post_c2b_worker_profile_sha256"", ""project_id"", ""round_id"", ""server_instance_id"", ""server_url"", ""target_component"", ""task_id"", ""task_stratum"", ""threshold_manifest_sha256"", ""title"", ""vis_3d""]","{""choices"": 40, ""keypointlabels"": 220}"
C2-A-RP-B2,export_label/c2arp_block2/project-84-at-2026-08-14-08-36-31615637.json,git_blob_managed,17,20,20,10,17,"[""84""]",1,1,2,"[""base_task_id"", ""block_index"", ""c2a_assignment_manifest_sha256"", ""c2a_block_assignment_sha256"", ""c2a_precision_plan_sha256"", ""c2a_task_pool_sha256"", ""c2b_summary_sha256"", ""condition"", ""dataset_group"", ""deployment_id"", ""design_manifest_sha256"", ""gap_reason"", ""image"", ""image_id"", ""language_group"", ""method_contract_sha256"", ""method_contract_version"", ""model_layout_sha256"", ""planned_project_name"", ""planned_task_id"", ""post_c2b_worker_profile_sha256"", ""project_binding_status"", ""project_id"", ""round_id"", ""server_instance_id"", ""server_url"", ""target_component"", ""task_id"", ""task_stratum"", ""threshold_manifest_sha256"", ""title"", ""vis_3d""]","{""choices"": 40, ""keypointlabels"": 220}"
C2-A-RP-B2,export_label/c2arp_block2/project-85-at-2026-08-14-08-36-71fffb37.json,git_blob_managed,15,20,19,10,15,"[""85""]",1,1,3,"[""base_task_id"", ""block_index"", ""c2a_assignment_manifest_sha256"", ""c2a_block_assignment_sha256"", ""c2a_precision_plan_sha256"", ""c2a_task_pool_sha256"", ""c2b_summary_sha256"", ""condition"", ""dataset_group"", ""deployment_id"", ""design_manifest_sha256"", ""gap_reason"", ""image"", ""image_id"", ""language_group"", ""method_contract_sha256"", ""method_contract_version"", ""model_layout_sha256"", ""planned_project_name"", ""planned_task_id"", ""post_c2b_worker_profile_sha256"", ""project_binding_status"", ""project_id"", ""round_id"", ""server_instance_id"", ""server_url"", ""target_component"", ""task_id"", ""task_stratum"", ""threshold_manifest_sha256"", ""title"", ""vis_3d""]","{""choices"": 40, ""keypointlabels"": 217}"
