metric,model,images,buildings,image_equal_MAE,building_equal_MAE,building_equal_MSE
image,history_mean,45,14,0.2801482681300555,0.26259661416915209,0.093195780752286586
image,model_corners,45,14,0.15291148334885679,0.17388783163251023,0.045959185315979145
image,model_corners_gaps_rotations,45,14,0.1680716865658386,0.19073576866173547,0.058043324214999137
sphere,history_mean,45,14,0.27591083792150406,0.25394121897984517,0.084591757668395315
sphere,model_corners,45,14,0.14700060512568042,0.16282153731587343,0.03823779759889593
sphere,model_corners_gaps_rotations,45,14,0.16408698959148746,0.17795641478345381,0.050185318269630637
