annotator_id,completion_status,eligible_for_primary_prescreen_candidate,n_expected_total,n_observed_total,n_missing_tasks,active_time_source_coverage,n_duplicate_same_geometry,n_revision,n_revision_resolved_by_manual_override,duplicate_revision_resolution,fallback_watch,n_exact_copy_low_time_events,copy_audit_recommended_action,n_scope_correct_in_scope,n_scope_false_positive,n_scope_false_negative,n_manual_anchor_eligible_responses,n_alignment_available,n_undercoverage_high,n_undercoverage_medium,n_minority_full_room_candidate,n_consensus_guarded_tasks,screening_recommendation,screening_reason,evidence_tier,dry_run,notes
1,complete,True,57,57,0,1,0,0,0,,False,0,no_action,46,1,2,29,47,0,1,0,2,continue_candidate,no_major_dry_run_risk,review_only,True,"dry-run screening rollup only; no admission, rejection, or reliability profile"
2,complete,True,57,57,0,1,0,0,0,,False,0,no_action,47,0,0,29,47,0,0,0,2,continue_candidate,no_major_dry_run_risk,review_only,True,"dry-run screening rollup only; no admission, rejection, or reliability profile"
6,complete,True,57,57,0,1,0,0,0,,False,4,warning,43,4,6,25,47,0,2,0,2,continue_candidate,no_major_dry_run_risk,review_only,True,"dry-run screening rollup only; no admission, rejection, or reliability profile"
7,dropout_no_future,False,57,0,57,,0,0,0,,False,0,,0,0,0,0,0,0,0,0,0,exclude_process_risk,completion_or_process_risk,process_risk,True,"dry-run screening rollup only; no admission, rejection, or reliability profile"
8,complete,True,57,57,0,0.982456,1,0,0,,False,0,no_action,47,0,7,29,47,1,1,0,2,continue_candidate,task_or_worker_undercoverage_watch,geometry_risk,True,"dry-run screening rollup only; no admission, rejection, or reliability profile"
9,dropout_no_future,False,57,0,57,,0,0,0,,False,0,,0,0,0,0,0,0,0,0,0,exclude_process_risk,completion_or_process_risk,process_risk,True,"dry-run screening rollup only; no admission, rejection, or reliability profile"
10,complete,True,57,57,0,1,0,0,0,,False,0,no_action,45,2,5,27,47,0,2,0,2,continue_candidate,no_major_dry_run_risk,review_only,True,"dry-run screening rollup only; no admission, rejection, or reliability profile"
11,complete,True,57,57,0,1,0,0,0,,False,0,no_action,40,7,2,23,47,0,3,0,2,continue_candidate,no_major_dry_run_risk,review_only,True,"dry-run screening rollup only; no admission, rejection, or reliability profile"
12,complete,True,57,57,0,0,0,0,0,,True,0,no_action,44,3,6,26,47,1,4,0,2,continue_candidate,task_or_worker_undercoverage_watch,geometry_risk,True,"dry-run screening rollup only; no admission, rejection, or reliability profile"
13,complete,True,57,57,0,1,0,0,0,,False,9,manual_review,42,5,6,24,47,1,2,0,2,continue_candidate,task_or_worker_undercoverage_watch,geometry_risk,True,"dry-run screening rollup only; no admission, rejection, or reliability profile"
14,complete,True,57,57,0,0,0,0,0,,True,0,no_action,42,5,3,24,47,1,2,0,2,continue_candidate,task_or_worker_undercoverage_watch,geometry_risk,True,"dry-run screening rollup only; no admission, rejection, or reliability profile"
15,complete,True,57,57,0,1,0,0,0,,False,0,no_action,44,3,4,26,47,0,0,0,2,continue_candidate,no_major_dry_run_risk,review_only,True,"dry-run screening rollup only; no admission, rejection, or reliability profile"
16,dropout_no_future,False,57,0,57,,0,0,0,,False,0,,0,0,0,0,0,0,0,0,0,exclude_process_risk,completion_or_process_risk,process_risk,True,"dry-run screening rollup only; no admission, rejection, or reliability profile"
17,complete,True,57,57,0,1,0,0,0,,False,0,no_action,44,3,6,26,47,0,2,0,2,continue_candidate,no_major_dry_run_risk,review_only,True,"dry-run screening rollup only; no admission, rejection, or reliability profile"
18,complete,True,57,57,0,1,0,0,0,,False,0,no_action,47,0,5,29,47,0,1,0,2,continue_candidate,no_major_dry_run_risk,review_only,True,"dry-run screening rollup only; no admission, rejection, or reliability profile"
19,known_bad_complete,False,57,57,0,1,0,0,0,,False,6,manual_review,44,3,2,0,47,6,6,0,2,exclude_process_risk,completion_or_process_risk,process_risk,True,"dry-run screening rollup only; no admission, rejection, or reliability profile"
21,known_bad_complete,False,57,57,0,1,0,0,0,,False,5,manual_review,42,5,4,0,47,0,0,0,2,exclude_process_risk,completion_or_process_risk,process_risk,True,"dry-run screening rollup only; no admission, rejection, or reliability profile"
26,incomplete_excluded,False,57,56,1,0,0,0,0,,False,0,no_action,24,22,7,0,21,1,1,0,1,exclude_process_risk,completion_or_process_risk,process_risk,True,"dry-run screening rollup only; no admission, rejection, or reliability profile"
27,complete,True,57,57,0,1,0,0,0,,False,0,no_action,47,0,1,29,47,0,0,0,2,continue_candidate,no_major_dry_run_risk,review_only,True,"dry-run screening rollup only; no admission, rejection, or reliability profile"
28,complete,True,57,57,0,1,0,0,0,,False,0,no_action,34,13,5,22,47,2,2,0,2,continue_candidate,task_or_worker_undercoverage_watch,geometry_risk,True,"dry-run screening rollup only; no admission, rejection, or reliability profile"
29,complete,True,57,57,0,1,0,0,0,,False,0,no_action,27,20,6,13,47,2,3,0,2,continue_candidate,task_or_worker_undercoverage_watch,geometry_risk,True,"dry-run screening rollup only; no admission, rejection, or reliability profile"
30,complete,True,57,57,0,0.824561,0,0,0,,False,0,no_action,16,31,3,6,47,0,2,0,2,continue_candidate,no_major_dry_run_risk,review_only,True,"dry-run screening rollup only; no admission, rejection, or reliability profile"
31,complete,True,57,57,0,0,0,0,0,,True,0,no_action,47,0,9,29,47,0,1,0,2,continue_candidate,no_major_dry_run_risk,review_only,True,"dry-run screening rollup only; no admission, rejection, or reliability profile"
32,complete,True,57,57,0,1,0,0,0,,False,0,no_action,37,10,3,22,47,2,1,0,2,continue_candidate,task_or_worker_undercoverage_watch,geometry_risk,True,"dry-run screening rollup only; no admission, rejection, or reliability profile"
33,complete,True,57,57,0,1,0,0,0,,False,1,warning,35,12,1,22,47,0,2,0,2,continue_candidate,no_major_dry_run_risk,review_only,True,"dry-run screening rollup only; no admission, rejection, or reliability profile"
34,complete,True,57,57,0,0,2,0,0,,True,0,no_action,44,3,10,27,47,1,1,0,2,continue_candidate,task_or_worker_undercoverage_watch,geometry_risk,True,"dry-run screening rollup only; no admission, rejection, or reliability profile"
35,complete,True,57,57,0,0,0,0,0,,True,0,no_action,38,9,1,21,47,4,3,0,2,continue_candidate,task_or_worker_undercoverage_watch,geometry_risk,True,"dry-run screening rollup only; no admission, rejection, or reliability profile"
36,complete,True,57,57,0,0.982456,0,1,1,manual_override_resolved_final_annotation_4595,False,0,no_action,41,6,0,24,47,2,0,0,2,continue_candidate,manual_override_resolved_final_annotation_4595,process_risk,True,"dry-run screening rollup only; no admission, rejection, or reliability profile"
37,complete,True,57,57,0,1,0,0,0,,False,0,no_action,30,17,5,19,47,1,5,0,2,continue_candidate,task_or_worker_undercoverage_watch,geometry_risk,True,"dry-run screening rollup only; no admission, rejection, or reliability profile"
