stage,raw_condition,reference_basis,measurement_status,responses,images,workers
C1,manual,gt_assumed_correct,computable,485,68,23
C1,manual,gt_assumed_correct,reference_unavailable,36,7,21
C1,manual,gt_assumed_correct,response_unavailable,2,2,2
C1,manual,reviewed_reference,computable,120,10,23
C1,manual,reviewed_reference,reference_unavailable,29,2,23
C1,manual,reviewed_reference,response_unavailable,2,1,2
C1,semi,gt_assumed_correct,computable,94,22,23
C1,semi,gt_assumed_correct,reference_unavailable,8,2,6
C1,semi,reviewed_reference,computable,4,1,4
C2-A-RP,manual,gt_assumed_correct,computable,74,40,20
C2-A-RP,manual,gt_assumed_correct,reference_unavailable,6,2,6
C2-B,manual,gt_assumed_correct,computable,105,37,20
C2-B,manual,gt_assumed_correct,reference_unavailable,55,9,20
P1,manual,reviewed_reference,computable,703,28,26
P1,manual,reviewed_reference,reference_unavailable,52,2,26
P1,manual,reviewed_reference,response_unavailable,24,22,3
P1,oos,gt_assumed_correct,reference_unavailable,208,8,26
P1,oos,reviewed_reference,reference_unavailable,26,1,26
P1,semi,gt_assumed_correct,computable,130,5,26
P1,semi,reviewed_reference,computable,312,12,26
P1,semi,reviewed_reference,reference_unavailable,26,1,26
