worker_id,effect,fit_status,component,layer_value,label,training_rows,training_images,training_buildings,stage,raw_condition,metric,cohort,evaluation
1,-0.07517522195545315,usable,0,0.0,not_classified,25,25,10,C1,manual,absolute_count_rate,all_usable,within_stage_LOBO
10,0.012210379517595044,usable,0,0.0,not_classified,26,26,11,C1,manual,absolute_count_rate,all_usable,within_stage_LOBO
11,0.021806017970086713,usable,0,0.0,not_classified,28,28,12,C1,manual,absolute_count_rate,all_usable,within_stage_LOBO
12,-0.07937979651285743,usable,0,0.0,not_classified,24,24,10,C1,manual,absolute_count_rate,all_usable,within_stage_LOBO
13,0.01968197111465423,usable,0,0.0,not_classified,25,25,10,C1,manual,absolute_count_rate,all_usable,within_stage_LOBO
14,0.017051030870160144,usable,0,0.0,not_classified,25,25,10,C1,manual,absolute_count_rate,all_usable,within_stage_LOBO
15,0.002001828874515948,usable,0,0.0,not_classified,27,27,11,C1,manual,absolute_count_rate,all_usable,within_stage_LOBO
17,-0.04246134073472056,usable,0,0.0,not_classified,25,25,9,C1,manual,absolute_count_rate,all_usable,within_stage_LOBO
18,-0.03815044132323247,usable,0,0.0,not_classified,26,26,10,C1,manual,absolute_count_rate,all_usable,within_stage_LOBO
2,-0.0544668472941342,usable,0,0.0,not_classified,23,23,9,C1,manual,absolute_count_rate,all_usable,within_stage_LOBO
27,0.005843861865999605,usable,0,0.0,not_classified,25,25,11,C1,manual,absolute_count_rate,all_usable,within_stage_LOBO
28,-0.0013339333218499747,usable,0,0.0,not_classified,24,24,11,C1,manual,absolute_count_rate,all_usable,within_stage_LOBO
29,0.04480477401672595,usable,0,0.0,not_classified,24,24,11,C1,manual,absolute_count_rate,all_usable,within_stage_LOBO
30,0.0024679290371804664,usable,0,0.0,not_classified,26,26,10,C1,manual,absolute_count_rate,all_usable,within_stage_LOBO
31,0.017340340788782643,usable,0,0.0,not_classified,30,30,11,C1,manual,absolute_count_rate,all_usable,within_stage_LOBO
32,0.06396782372134828,usable,0,0.0,not_classified,27,27,10,C1,manual,absolute_count_rate,all_usable,within_stage_LOBO
