panel,field,value,images,buildings
all648,scene_category,储藏与家务辅助,44,14
all648,scene_category,卧室,151,18
all648,scene_category,卫浴,117,18
all648,scene_category,厨房与用餐,52,15
all648,scene_category,复合／待定,30,13
all648,scene_category,复合／待定   像是连通的走廊空间这种,1,1
all648,scene_category,"复合／待定  , 厨房 客厅",1,1
all648,scene_category,工作与学习,29,4
all648,scene_category,开放复合空间,9,2
all648,scene_category,无法判断,2,1
all648,scene_category,特殊用途,11,3
all648,scene_category,起居与休闲,77,16
all648,scene_category,通行与连接,124,21
all648,fine_human,,607,25
all648,fine_human,储藏,1,1
all648,fine_human,办公、会谈,1,1
all648,fine_human,卫浴,4,1
all648,fine_human,厨房,1,1
all648,fine_human,厨房、起居,2,1
all648,fine_human,厨房、餐饮、起居,1,1
all648,fine_human,如厕,2,1
all648,fine_human,洗浴、如厕,1,1
all648,fine_human,洗浴与如厕,1,1
all648,fine_human,洗漱、沐浴,2,2
all648,fine_human,烹饪、用餐,4,1
all648,fine_human,用途未定,2,1
all648,fine_human,睡眠,2,1
all648,fine_human,睡眠、休息,2,1
all648,fine_human,空房间+连廊,1,1
all648,fine_human,空置房间,1,1
all648,fine_human,衣帽间,2,1
all648,fine_human,衣物储藏,1,1
all648,fine_human,起居、厨房,4,1
all648,fine_human,通行,4,2
all648,fine_human,通行、更衣,1,1
all648,fine_human,餐饮、厨房,1,1
all648,fine_ai,储藏家务,23,7
all648,fine_ai,储藏家务|卧室,3,1
all648,fine_ai,储藏家务|卧室|卫浴|通行,1,1
all648,fine_ai,储藏家务|卧室|厨房,6,1
all648,fine_ai,储藏家务|卫浴,5,3
all648,fine_ai,储藏家务|卫浴|厨房,1,1
all648,fine_ai,储藏家务|卫浴|用途不明|通行,1,1
all648,fine_ai,储藏家务|卫浴|通行,12,4
all648,fine_ai,储藏家务|用途不明|通行,1,1
all648,fine_ai,储藏家务|通行,13,5
all648,fine_ai,卧室,130,15
all648,fine_ai,卧室|卫浴,20,7
all648,fine_ai,卧室|卫浴|卫浴（洗漱）|卫浴（淋浴）|通行,1,1
all648,fine_ai,卧室|卫浴|起居休闲|通行,2,1
all648,fine_ai,卧室|卫浴|通行,2,2
all648,fine_ai,卧室|厨房|通行,1,1
all648,fine_ai,卧室|特殊用途,1,1
