condition,field,value,images,buildings,median_people,invalid_images,unassigned,simple,medium,difficult_candidate,cdf_early7_n,cdf_early7_mean,cdf_early7_median,cdf_observed_by19_n,cdf_observed_by19_mean,cdf_observed_by19_median,late_new_geometry_n,late_new_geometry_mean,late_new_geometry_median,half_tv_n,half_tv_mean,half_tv_median,singleton_mass_n,singleton_mass_mean,singleton_mass_median,within_mode_median_n,within_mode_median_mean,within_mode_median_median,point_count_disagreement_n,point_count_disagreement_mean,point_count_disagreement_median
manual,scene_category,储藏与家务辅助,8,5,4,1,8,0,0,0,2,0,0,2,0.575,0.575,5,0.283333333333,0.285,5,0.253055335968,0.25,6,0.239190821256,0.146739130435,5,0.0581684811362,0.0597262849979,6,0.311714975845,0.29347826087
manual,scene_category,卧室,44,16,5,1,37,5,1,1,11,0.562727272727,0.56,11,0.719090909091,0.95,27,0.178734567901,0.154166666667,27,0.193066498317,0.232,36,0.229267310789,0.183333333333,27,0.0420951907727,0.0402460732627,36,0.29212962963,0.0434782608695
manual,scene_category,卫浴,49,14,5,5,42,2,0,5,9,0.222222222222,0,9,0.661111111111,0.7,34,0.272112745098,0.193333333334,34,0.247449905255,0.249375,46,0.365023633797,0.229166666666,33,0.0433137544662,0.0466278754968,46,0.503969118965,0.683333333333
manual,scene_category,厨房与用餐,13,10,5,0,13,0,0,0,2,0.325,0.325,2,0.335,0.335,8,0.182916666667,0.168333333333,8,0.232229166667,0.239,10,0.1675,0.2,8,0.0455011301305,0.0452462204702,10,0.26,0.166666666667
manual,scene_category,复合／待定,7,6,5,3,5,2,0,0,2,1,1,2,1,1,6,0.291944444445,0.0883333333335,6,0.230998050682,0.242,7,0.322807017544,0.2,5,0.0473408535337,0.0499534341062,7,0.371261487051,0.4
manual,scene_category,"复合／待定  , 厨房 客厅",1,1,6,0,1,0,0,0,0,,,0,,,1,1,1,1,0.5,0.5,1,1,1,0,,,1,0.8,0.8
manual,scene_category,工作与学习,3,2,5,0,3,0,0,0,1,0.53,0.53,1,0.53,0.53,3,0.258888888889,0.146666666667,3,0.32831884058,0.256956521739,3,0.24347826087,0.130434782609,3,0.057439286904,0.06549650016,3,0.337549407115,0.4
manual,scene_category,开放复合空间,3,1,6,0,3,0,0,0,0,,,0,,,3,0.42,0.353333333333,3,0.289333333333,0.243,3,0.4,0.333333333333,3,0.0558458350822,0.0626401137484,3,0.533333333333,0.6
manual,scene_category,无法判断,1,1,7,0,1,0,0,0,1,0.61,0.61,1,0.61,0.61,1,0.06,0.06,1,0.154761904762,0.154761904762,1,0,0,1,0.048613116923,0.048613116923,1,0.47619047619,0.47619047619
manual,scene_category,特殊用途,2,1,5,0,2,0,0,0,1,0.61,0.61,1,0.61,0.61,2,0.0666666666665,0.0666666666665,2,0.248,0.248,2,0.1,0.1,2,0.0544824316731,0.0544824316731,2,0.3,0.3
manual,scene_category,起居与休闲,20,12,5,1,19,1,0,0,4,0.445,0.39,4,0.54,0.58,13,0.349230769231,0.22,13,0.293128914564,0.248,18,0.370450885668,0.333333333333,12,0.0437748005389,0.0393292825213,18,0.563921826965,0.666666666667
