condition,field,value,target,controls,n,buildings,slope,cluster_se,lo,hi,partial_rho,status
manual,scene_category,通行与连接,late_new_geometry,none,133,20,0.0790302049623,0.047286938166,-0.0136521938431,0.171712603768,0.11745710871,descriptive_not_causal
manual,scene_category,通行与连接,late_new_geometry,n,133,20,0.100677373305,0.0519384462889,-0.00112198142092,0.202476728032,0.0966634406777,descriptive_not_causal
manual,scene_category,通行与连接,late_new_geometry,n_building,133,20,0.0993554701187,0.0590775463367,-0.0164365207013,0.215147460939,0.189285534832,descriptive_not_causal
manual,scene_category,通行与连接,half_tv,none,133,20,0.0252376983614,0.0275943125061,-0.0288471541507,0.0793225508734,0.0707986452851,descriptive_not_causal
manual,scene_category,通行与连接,half_tv,n,133,20,0.0389496541235,0.0312178366407,-0.0222373056923,0.100136613939,0.152291502219,descriptive_not_causal
manual,scene_category,通行与连接,half_tv,n_building,133,20,0.0357108980265,0.0340034034699,-0.0309357727744,0.102357568827,0.118820275498,descriptive_not_causal
manual,scene_category,通行与连接,singleton_mass,none,166,22,0.00779112965628,0.0602313764961,-0.110262368276,0.125844627589,0.0234298985582,descriptive_not_causal
manual,scene_category,通行与连接,singleton_mass,n,166,22,0.0501468059149,0.0573229073535,-0.062206092498,0.162499704328,0.0342310259432,descriptive_not_causal
manual,scene_category,通行与连接,singleton_mass,n_building,166,22,0.0818969976106,0.0603288317349,-0.0363475125898,0.200141507811,0.109144813122,descriptive_not_causal
manual,scene_category,通行与连接,within_mode_median,none,126,19,-0.00747832200947,0.00212733260004,-0.0116478939055,-0.0033087501134,-0.169905620105,descriptive_not_causal
manual,scene_category,通行与连接,within_mode_median,n,126,19,-0.00696691169007,0.00224621195252,-0.011369487117,-0.00256433626312,-0.0182333640677,descriptive_not_causal
manual,scene_category,通行与连接,within_mode_median,n_building,126,19,-0.0079965424036,0.00254231341623,-0.0129794766994,-0.00301360810779,-0.14295017661,descriptive_not_causal
manual,scene_category,卧室,late_new_geometry,none,133,20,-0.120669520149,0.031875664321,-0.183145822218,-0.0581932180799,-0.169399918594,descriptive_not_causal
manual,scene_category,卧室,late_new_geometry,n,133,20,-0.157873661656,0.0391591467666,-0.234625589318,-0.0811217339931,-0.200482199338,descriptive_not_causal
manual,scene_category,卧室,late_new_geometry,n_building,133,20,-0.173132894573,0.0436814917898,-0.258748618481,-0.0875171706648,-0.262962123483,descriptive_not_causal
manual,scene_category,卧室,half_tv,none,133,20,-0.0688277445245,0.0157939365634,-0.0997838601889,-0.0378716288602,-0.206322142999,descriptive_not_causal
manual,scene_category,卧室,half_tv,n,133,20,-0.0926673904312,0.0208269077009,-0.133488129525,-0.0518466513374,-0.300604137761,descriptive_not_causal
manual,scene_category,卧室,half_tv,n_building,133,20,-0.0976646221428,0.0215273764861,-0.139858280056,-0.05547096423,-0.266099418755,descriptive_not_causal
manual,scene_category,卧室,singleton_mass,none,166,22,-0.095303570275,0.0546898301479,-0.202495637365,0.0118884968149,-0.138917016308,descriptive_not_causal
manual,scene_category,卧室,singleton_mass,n,166,22,-0.139170094706,0.0501961873751,-0.237554621961,-0.0407855674509,-0.115926586021,descriptive_not_causal
manual,scene_category,卧室,singleton_mass,n_building,166,22,-0.175775498709,0.0515388721321,-0.276791688088,-0.0747593093303,-0.220743976301,descriptive_not_causal
manual,scene_category,卧室,within_mode_median,none,126,19,-0.00198159225615,0.00244417126883,-0.00677216794306,0.00280898343075,-0.0459994871333,descriptive_not_causal
manual,scene_category,卧室,within_mode_median,n,126,19,-0.0030094680515,0.0030199761433,-0.00892862129238,0.00290968518937,-0.149842694424,descriptive_not_causal
manual,scene_category,卧室,within_mode_median,n_building,126,19,-0.00381689893798,0.0039338611698,-0.0115272668308,0.00389346895483,-0.0882411221638,descriptive_not_causal
manual,scene_category,开放复合空间,late_new_geometry,none,133,20,0.148441025641,0.0171938670395,0.114741046244,0.182141005038,0.103813991758,descriptive_not_causal
manual,scene_category,开放复合空间,late_new_geometry,n,133,20,0.101196912888,0.0292189306373,0.0439278088387,0.158466016937,0.0572844092584,descriptive_not_causal
manual,scene_category,开放复合空间,late_new_geometry,n_building,133,20,0.0754007655763,0.00457333116644,0.0664370364901,0.0843644946625,0.0542112673689,descriptive_not_causal
manual,scene_category,开放复合空间,half_tv,none,133,20,0.0423672933664,0.0113036849714,0.0202120708225,0.0645225159103,0.0389329177734,descriptive_not_causal
manual,scene_category,开放复合空间,half_tv,n,133,20,0.0112709485221,0.0142038026051,-0.016568504584,0.0391104016282,-0.0890398072706,descriptive_not_causal
manual,scene_category,开放复合空间,half_tv,n_building,133,20,-0.00285296065702,0.00212174392972,-0.00701157875928,0.00130565744524,-0.0674291940304,descriptive_not_causal
manual,scene_category,开放复合空间,singleton_mass,none,166,22,0.0978660262164,0.0293806543934,0.0402799436053,0.155452108827,0.0783114530813,descriptive_not_causal
manual,scene_category,开放复合空间,singleton_mass,n,166,22,0.072806840428,0.0323164437197,0.00946661073748,0.136147070119,0.0885374910202,descriptive_not_causal
manual,scene_category,开放复合空间,singleton_mass,n_building,166,22,0.0829119613298,0.00450345809618,0.0740851834613,0.0917387391984,0.055753896173,descriptive_not_causal
manual,scene_category,开放复合空间,within_mode_median,none,126,19,0.0124910857694,0.00149317337634,0.00956446595181,0.0154177055871,0.0765732288748,descriptive_not_causal
manual,scene_category,开放复合空间,within_mode_median,n,126,19,0.0113471756575,0.00202052492947,0.00738694679573,0.0153074045192,-0.0722925665307,descriptive_not_causal
manual,scene_category,开放复合空间,within_mode_median,n_building,126,19,0.0172778428916,0.000287836130738,0.0167136840753,0.0178420017078,0.0157710975931,descriptive_not_causal
manual,scene_category,复合／待定,late_new_geometry,none,133,20,0.0178420822398,0.170057050549,-0.315469736837,0.351153901317,-0.0577126327546,descriptive_not_causal
manual,scene_category,复合／待定,late_new_geometry,n,133,20,0.0356800877437,0.159456543233,-0.276854736994,0.348214912481,-0.0774534680877,descriptive_not_causal
manual,scene_category,复合／待定,late_new_geometry,n_building,133,20,0.0947861484385,0.192982181,-0.283458926322,0.473031223199,-0.024201107159,descriptive_not_causal
manual,scene_category,复合／待定,half_tv,none,133,20,-0.0177231846846,0.0814247012896,-0.177315599212,0.141869229843,-0.015106704602,descriptive_not_causal
manual,scene_category,复合／待定,half_tv,n,133,20,-0.00622543941136,0.0721925699,-0.147722876415,0.135271997593,0.0461994584234,descriptive_not_causal
manual,scene_category,复合／待定,half_tv,n_building,133,20,0.0187927659325,0.102473272717,-0.182054848593,0.219640380458,0.025955768382,descriptive_not_causal
manual,scene_category,复合／待定,singleton_mass,none,166,22,0.0197366489657,0.138221317805,-0.251177133931,0.290650431863,0.0139264671244,descriptive_not_causal
manual,scene_category,复合／待定,singleton_mass,n,166,22,0.0501923864373,0.122393491468,-0.18969885684,0.290083629715,-0.0938546819713,descriptive_not_causal
manual,scene_category,复合／待定,singleton_mass,n_building,166,22,0.0781694125581,0.135967293565,-0.18832648283,0.344665307946,-0.01170951332,descriptive_not_causal
manual,scene_category,复合／待定,within_mode_median,none,126,19,0.00384112293,0.00791354232645,-0.0116694200298,0.0193516658898,0.0363280456936,descriptive_not_causal
manual,scene_category,复合／待定,within_mode_median,n,126,19,0.00471994103433,0.00767092476601,-0.010315071507,0.0197549535757,0.0960757999776,descriptive_not_causal
manual,scene_category,复合／待定,within_mode_median,n_building,126,19,0.00621625500192,0.0113937535445,-0.0161155019453,0.0285480119491,0.018009611708,descriptive_not_causal
manual,scene_category,卫浴,late_new_geometry,none,133,20,-0.00375425826898,0.0378259574475,-0.077893134866,0.070384618328,0.0231829506346,descriptive_not_causal
manual,scene_category,卫浴,late_new_geometry,n,133,20,0.044835141416,0.0403426775247,-0.0342365065324,0.123906789364,0.0885551836111,descriptive_not_causal
manual,scene_category,卫浴,late_new_geometry,n_building,133,20,0.0476482806738,0.0462570733858,-0.0430155831623,0.13831214451,0.117062902014,descriptive_not_causal
manual,scene_category,卫浴,half_tv,none,133,20,-0.000633816128977,0.0245007731137,-0.0486553314319,0.0473876991739,0.0238092685665,descriptive_not_causal
manual,scene_category,卫浴,half_tv,n,133,20,0.030996426906,0.0254521052041,-0.0188896992941,0.080882553106,0.144134394299,descriptive_not_causal
manual,scene_category,卫浴,half_tv,n_building,133,20,0.0384873376842,0.0296163348388,-0.0195606785999,0.0965353539682,0.157358845387,descriptive_not_causal
manual,scene_category,卫浴,singleton_mass,none,166,22,0.0845507123626,0.0493212639727,-0.0121189650239,0.181220389749,0.0984916832457,descriptive_not_causal
manual,scene_category,卫浴,singleton_mass,n,166,22,0.113598171371,0.0437290938159,0.0278891474919,0.19930719525,0.0484294205005,descriptive_not_causal
manual,scene_category,卫浴,singleton_mass,n_building,166,22,0.12152099682,0.0481463447302,0.0271541611489,0.215887832491,0.162815352335,descriptive_not_causal
manual,scene_category,卫浴,within_mode_median,none,126,19,-0.000458479655647,0.00328094933846,-0.00688914035903,0.00597218104774,0.0066999519144,descriptive_not_causal
manual,scene_category,卫浴,within_mode_median,n,126,19,0.000694247296969,0.0032599853931,-0.0056953240735,0.00708381866744,0.101777428573,descriptive_not_causal
manual,scene_category,卫浴,within_mode_median,n_building,126,19,0.00100880664334,0.00384419279389,-0.00652581123268,0.00854342451937,0.078108805106,descriptive_not_causal
manual,scene_category,工作与学习,late_new_geometry,none,133,20,-0.0163880341879,0.0621595350392,-0.138220722865,0.105444654489,0.0132247123258,descriptive_not_causal
manual,scene_category,工作与学习,late_new_geometry,n,133,20,-0.0212019655226,0.02049358257,-0.0613693873597,0.0189654563145,0.0466360955433,descriptive_not_causal
manual,scene_category,工作与学习,late_new_geometry,n_building,133,20,-0.0567908328916,0.0179675727333,-0.0920072754488,-0.0215743903344,-0.0303483580291,descriptive_not_causal
manual,scene_category,工作与学习,half_tv,none,133,20,0.0822524661646,0.03547878134,0.0127140547381,0.151790877591,0.0970023544523,descriptive_not_causal
manual,scene_category,工作与学习,half_tv,n,133,20,0.0791394478924,0.0114553212689,0.0566870182053,0.101591877579,-0.0594071595383,descriptive_not_causal
manual,scene_category,工作与学习,half_tv,n_building,133,20,0.0655095955351,0.00725544210066,0.0512889290178,0.0797302620524,-0.0764899041324,descriptive_not_causal
manual,scene_category,工作与学习,singleton_mass,none,166,22,-0.0615364811188,0.0582999935796,-0.175804468535,0.0527315062973,-0.0281730227549,descriptive_not_causal
manual,scene_category,工作与学习,singleton_mass,n,166,22,-0.0367326696276,0.0207311413891,-0.0773657067503,0.00390036749497,-0.0831893320585,descriptive_not_causal
manual,scene_category,工作与学习,singleton_mass,n_building,166,22,-0.0445186906973,0.0269585522215,-0.0973574530514,0.00832007165678,-0.0268836161484,descriptive_not_causal
manual,scene_category,工作与学习,within_mode_median,none,126,19,0.0141234022699,0.007733801121,-0.00103484792732,0.029281652467,0.132392965812,descriptive_not_causal
manual,scene_category,工作与学习,within_mode_median,n,126,19,0.0139264368816,0.00645620585417,0.00127227340741,0.0265806003558,-0.0434513373879,descriptive_not_causal
manual,scene_category,工作与学习,within_mode_median,n_building,126,19,0.0162576159836,0.00563897762782,0.00520521983307,0.0273100121341,0.054593697948,descriptive_not_causal
manual,scene_category,起居与休闲,late_new_geometry,none,133,20,0.0823752136752,0.0965040570553,-0.106772738153,0.271523165504,0.0710828287514,descriptive_not_causal
