image_id,source,yaw,available,reason,point_count,id
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,bi_enclosed,0,True,ok,8.0,
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,bi_extended,0,True,ok,8.0,
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,hohonet,0,True,ok,8.0,
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,ulayout_boundary,0,True,ok,,
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,bi_enclosed,90,True,ok,8.0,
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,bi_extended,90,True,ok,8.0,
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,hohonet,90,True,ok,8.0,
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,ulayout_boundary,90,True,ok,,
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,bi_enclosed,180,True,ok,8.0,
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,bi_extended,180,True,ok,8.0,
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,hohonet,180,True,ok,8.0,
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,ulayout_boundary,180,True,ok,,
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,bi_enclosed,270,True,ok,8.0,
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,bi_extended,270,True,ok,8.0,
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,hohonet,270,True,ok,8.0,
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,ulayout_boundary,270,True,ok,,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,bi_enclosed,0,True,ok,8.0,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,bi_extended,0,True,ok,8.0,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,hohonet,0,True,ok,8.0,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,ulayout_boundary,0,True,ok,,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,bi_enclosed,90,True,ok,8.0,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,bi_extended,90,True,ok,8.0,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,hohonet,90,True,ok,8.0,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,ulayout_boundary,90,True,ok,,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,bi_enclosed,180,True,ok,8.0,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,bi_extended,180,True,ok,8.0,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,hohonet,180,True,ok,8.0,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,ulayout_boundary,180,True,ok,,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,bi_enclosed,270,True,ok,8.0,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,bi_extended,270,True,ok,8.0,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,hohonet,270,True,ok,8.0,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,ulayout_boundary,270,True,ok,,
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,bi_enclosed,0,True,ok,8.0,
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,bi_extended,0,True,ok,8.0,
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,hohonet,0,True,ok,8.0,
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,ulayout_boundary,0,True,ok,,
