model,delta_MAE,cluster_bootstrap_low,cluster_bootstrap_high,buildings,draws
bi_head_gap,-0.004352369866961357,-0.008200275347989582,-0.0011566285918097538,18,4000
counts_gaps_rotation,-0.011084461547771025,-0.015291214925138538,-0.006908688392483141,18,4000
global_mean,0.0,0.0,0.0,18,4000
model_counts,-0.007388202129925919,-0.012100271601725538,-0.0013809894605900114,18,4000
model_counts_and_gaps,-0.011138551037373124,-0.0156815420837685,-0.005995492508788669,18,4000
