version,image_id,code,condition,method,N,N_base,N_shared,shared_ARI,clusters,supported,singletons,singleton_mass,largest_share,entropy_bits,sizes
no_borrowed_imputation,q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC-13,manual,A0_legacy,23,24,23,1.0,17,4,13,0.5652173913043478,0.17391304347826086,3.9148663038831,4;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1
no_borrowed_imputation,q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC-13,manual,A1_mask,23,24,23,1.0,14,6,8,0.34782608695652173,0.17391304347826086,3.621175542919471,4;3;2;2;2;2;1;1;1;1;1;1;1;1
no_borrowed_imputation,q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC-13,manual,A2_local,23,24,23,1.0,20,2,18,0.782608695652174,0.13043478260869565,4.229871195093383,3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
no_borrowed_imputation,q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC-13,manual,A3_cyclic,23,24,23,1.0,15,4,11,0.4782608695652174,0.17391304347826086,3.6753108689123644,4;3;3;2;1;1;1;1;1;1;1;1;1;1;1
no_borrowed_imputation,q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC-13,manual,A4_adaptive,23,24,23,1.0,16,4,12,0.5217391304347826,0.13043478260869565,3.816402716644387,3;3;3;2;1;1;1;1;1;1;1;1;1;1;1;1
no_borrowed_imputation,q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC-13,manual,A5_density,23,24,23,1.0,6,4,2,0.08695652173913043,0.34782608695652173,2.214022152632502,8;6;5;2;1;1
no_borrowed_imputation,q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC-13,manual,A6_spectral,23,24,23,0.7149295774647887,3,3,0,0.0,0.391304347826087,1.5379841082136025,9;9;5
no_borrowed_imputation,q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC-13,manual,A7_event,23,24,23,1.0,18,5,13,0.5652173913043478,0.08695652173913043,4.088779347361361,2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1
no_borrowed_imputation,q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC-13,manual,A3_cyclic_cut06,23,24,23,1.0,21,2,19,0.8260869565217391,0.08695652173913043,4.349648912578752,2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
no_borrowed_imputation,q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC-13,manual,A3_cyclic_cut08,23,24,23,1.0,21,2,19,0.8260869565217391,0.08695652173913043,4.349648912578752,2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
