image_id,code,condition,building,N_observed,N_geometry,N_unavailable,development_image,metric,k,finite_pool_new_incompatible_probability
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,manual,2t7WUuJeko7,3,3,0,False,mask,2,0.0
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,manual,2t7WUuJeko7,3,3,0,False,cyclic8,2,0.0
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,manual,2t7WUuJeko7,3,3,0,False,cyclic12,2,0.0
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7-09,manual,2t7WUuJeko7,3,3,0,False,mask,2,0.0
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7-09,manual,2t7WUuJeko7,3,3,0,False,cyclic8,2,0.3333333333333333
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7-09,manual,2t7WUuJeko7,3,3,0,False,cyclic12,2,0.3333333333333333
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va-03,manual,7y3sRwLe3Va,5,5,0,False,mask,2,0.0
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va-03,manual,7y3sRwLe3Va,5,5,0,False,mask,4,0.0
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va-03,manual,7y3sRwLe3Va,5,5,0,False,cyclic8,2,0.8
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va-03,manual,7y3sRwLe3Va,5,5,0,False,cyclic8,4,0.6
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va-03,manual,7y3sRwLe3Va,5,5,0,False,cyclic12,2,0.2
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va-03,manual,7y3sRwLe3Va,5,5,0,False,cyclic12,4,0.2
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,mask,2,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,mask,4,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,mask,8,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,mask,12,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,mask,16,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,cyclic8,2,0.08152173913043477
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,cyclic8,4,0.04800489365706757
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,cyclic8,8,0.023729436646720264
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,cyclic8,12,0.010610766045548654
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,cyclic8,16,0.003623188405797102
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,cyclic12,2,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,cyclic12,4,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,cyclic12,8,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,cyclic12,12,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,cyclic12,16,0.0
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va-08,oos,7y3sRwLe3Va,24,24,0,True,mask,2,0.729578392621871
