model,N,MAE
bi_head_gap,115,0.037942608456484186
counts_gaps_rotation,115,0.031210516775674515
global_mean,115,0.042294978323445545
model_counts,115,0.034906776193519624
model_counts_and_gaps,115,0.03115642728607242
