image_id,code,condition,building,N_observed,N_geometry,N_unavailable,development_image,method,clusters,supported,singletons,singleton_mass,largest_share,entropy_bits,sizes,noise_n,inference_status
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,manual,2t7WUuJeko7,3,3,0,False,A0_legacy,1,1,0,0.0,1.0,-0.0,3,0,exploratory_partition
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,manual,2t7WUuJeko7,3,3,0,False,A1_mask,1,1,0,0.0,1.0,-0.0,3,0,exploratory_partition
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,manual,2t7WUuJeko7,3,3,0,False,A2_local,1,1,0,0.0,1.0,-0.0,3,0,exploratory_partition
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,manual,2t7WUuJeko7,3,3,0,False,A3_cyclic,1,1,0,0.0,1.0,-0.0,3,0,exploratory_partition
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,manual,2t7WUuJeko7,3,3,0,False,A4_adaptive,1,1,0,0.0,1.0,-0.0,3,0,exploratory_partition
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,manual,2t7WUuJeko7,3,3,0,False,A5_density,2,1,1,0.3333333333333333,0.6666666666666666,0.9182958340544896,2;1,1,exploratory_partition
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,manual,2t7WUuJeko7,3,3,0,False,A6_spectral,1,1,0,0.0,1.0,-0.0,3,0,exploratory_partition
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,manual,2t7WUuJeko7,3,3,0,False,A7_event,1,1,0,0.0,1.0,-0.0,3,0,exploratory_partition
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,manual,2t7WUuJeko7,3,3,0,False,A3_cyclic_cut06,2,1,1,0.3333333333333333,0.6666666666666666,0.9182958340544896,2;1,0,exploratory_partition
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,manual,2t7WUuJeko7,3,3,0,False,A3_cyclic_cut08,1,1,0,0.0,1.0,-0.0,3,0,exploratory_partition
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,manual,2t7WUuJeko7,3,3,0,False,A3_cyclic_cut10,1,1,0,0.0,1.0,-0.0,3,0,exploratory_partition
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,manual,2t7WUuJeko7,3,3,0,False,A3_cyclic_cut14,1,1,0,0.0,1.0,-0.0,3,0,exploratory_partition
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,manual,2t7WUuJeko7,3,3,0,False,A3_cyclic_cut16,1,1,0,0.0,1.0,-0.0,3,0,exploratory_partition
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,manual,2t7WUuJeko7,3,3,0,False,A1_mask_cut0.050,1,1,0,0.0,1.0,-0.0,3,0,exploratory_partition
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,manual,2t7WUuJeko7,3,3,0,False,A1_mask_cut0.075,1,1,0,0.0,1.0,-0.0,3,0,exploratory_partition
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,manual,2t7WUuJeko7,3,3,0,False,A1_mask_cut0.125,1,1,0,0.0,1.0,-0.0,3,0,exploratory_partition
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,manual,2t7WUuJeko7,3,3,0,False,A1_mask_cut0.150,1,1,0,0.0,1.0,-0.0,3,0,exploratory_partition
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,manual,2t7WUuJeko7,3,3,0,False,A1_mask_cut0.200,1,1,0,0.0,1.0,-0.0,3,0,exploratory_partition
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7-09,manual,2t7WUuJeko7,3,3,0,False,A0_legacy,1,1,0,0.0,1.0,-0.0,3,0,exploratory_partition
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7-09,manual,2t7WUuJeko7,3,3,0,False,A1_mask,1,1,0,0.0,1.0,-0.0,3,0,exploratory_partition
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7-09,manual,2t7WUuJeko7,3,3,0,False,A2_local,2,1,1,0.3333333333333333,0.6666666666666666,0.9182958340544896,2;1,0,exploratory_partition
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7-09,manual,2t7WUuJeko7,3,3,0,False,A3_cyclic,2,1,1,0.3333333333333333,0.6666666666666666,0.9182958340544896,2;1,0,exploratory_partition
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7-09,manual,2t7WUuJeko7,3,3,0,False,A4_adaptive,2,1,1,0.3333333333333333,0.6666666666666666,0.9182958340544896,2;1,0,exploratory_partition
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7-09,manual,2t7WUuJeko7,3,3,0,False,A5_density,2,1,1,0.3333333333333333,0.6666666666666666,0.9182958340544896,2;1,1,exploratory_partition
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7-09,manual,2t7WUuJeko7,3,3,0,False,A6_spectral,1,1,0,0.0,1.0,-0.0,3,0,exploratory_partition
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7-09,manual,2t7WUuJeko7,3,3,0,False,A7_event,1,1,0,0.0,1.0,-0.0,3,0,exploratory_partition
