analysis_role,block3_generated,ci_lower,ci_upper,cluster_unit,comparison,failed_replicates,formal_policy_frozen,formal_profile_frozen,metric,paired_same_draw,point_estimate,requested_replicates,scientific_conclusion_prohibited,seed,successful_replicates,validation_kind
diagnostic_pre_stage3,False,-0.0034434918774773242,0.0006161811777698185,base_task_id,Strong_Global_vs_baseline,0,False,False,paired_delta_rmse,True,-0.0012888977994397754,1000,True,20260815,1000,leave_one_base_task_out
diagnostic_pre_stage3,False,-0.0031848702673617124,0.0005634460524985264,base_task_id,Strong_Global_vs_baseline,0,False,False,paired_delta_mae,True,-0.001172440803606567,1000,True,20260815,1000,leave_one_base_task_out
diagnostic_pre_stage3,False,-0.10057749053143611,0.08482075194970874,base_task_id,Strong_Global_vs_baseline,0,False,False,paired_delta_spearman,True,-0.0056491208300689655,1000,True,20260815,1000,leave_one_base_task_out
diagnostic_pre_stage3,False,-0.0037183616810685235,0.0002750160223222754,building_id,Strong_Global_vs_baseline,0,False,False,paired_delta_rmse,True,-0.0012888977994397754,1000,True,20260815,1000,leave_one_base_task_out
diagnostic_pre_stage3,False,-0.0029684712093413085,0.000489626130097509,building_id,Strong_Global_vs_baseline,0,False,False,paired_delta_mae,True,-0.001172440803606567,1000,True,20260815,1000,leave_one_base_task_out
diagnostic_pre_stage3,False,-0.07464486335854213,0.12620730420287363,building_id,Strong_Global_vs_baseline,0,False,False,paired_delta_spearman,True,-0.0056491208300689655,1000,True,20260815,1000,leave_one_base_task_out
diagnostic_pre_stage3,False,-0.0036670259897766564,0.0008056978784922956,worker_id,Strong_Global_vs_baseline,0,False,False,paired_delta_rmse,True,-0.0012888977994397754,1000,True,20260815,1000,leave_one_base_task_out
diagnostic_pre_stage3,False,-0.004511521041108517,0.001826773683082973,worker_id,Strong_Global_vs_baseline,0,False,False,paired_delta_mae,True,-0.001172440803606567,1000,True,20260815,1000,leave_one_base_task_out
diagnostic_pre_stage3,False,-0.053842347033470093,0.048852922529587124,worker_id,Strong_Global_vs_baseline,0,False,False,paired_delta_spearman,True,-0.0056491208300689655,1000,True,20260815,1000,leave_one_base_task_out
diagnostic_pre_stage3,False,-0.003654670667357243,0.00023018376697254877,base_task_id,Strong_Global_vs_baseline,0,False,False,paired_delta_rmse,True,-0.0014992864442101989,1000,True,20260815,1000,leave_one_building_out
diagnostic_pre_stage3,False,-0.0032413523393535863,0.0006502362650865163,base_task_id,Strong_Global_vs_baseline,0,False,False,paired_delta_mae,True,-0.001143332379321918,1000,True,20260815,1000,leave_one_building_out
diagnostic_pre_stage3,False,-0.10094087300233838,0.08898464852879627,base_task_id,Strong_Global_vs_baseline,0,False,False,paired_delta_spearman,True,-0.005438615066035601,1000,True,20260815,1000,leave_one_building_out
diagnostic_pre_stage3,False,-0.00366862209492209,-0.00022107802546572148,building_id,Strong_Global_vs_baseline,0,False,False,paired_delta_rmse,True,-0.0014992864442101989,1000,True,20260815,1000,leave_one_building_out
diagnostic_pre_stage3,False,-0.003384899615992057,0.00045169180300029803,building_id,Strong_Global_vs_baseline,0,False,False,paired_delta_mae,True,-0.001143332379321918,1000,True,20260815,1000,leave_one_building_out
diagnostic_pre_stage3,False,-0.13551686045779815,0.1338596396622687,building_id,Strong_Global_vs_baseline,0,False,False,paired_delta_spearman,True,-0.005438615066035601,1000,True,20260815,1000,leave_one_building_out
diagnostic_pre_stage3,False,-0.0038154897736155753,0.000571373495525489,worker_id,Strong_Global_vs_baseline,0,False,False,paired_delta_rmse,True,-0.0014992864442101989,1000,True,20260815,1000,leave_one_building_out
diagnostic_pre_stage3,False,-0.004837234767165164,0.0018046693610647725,worker_id,Strong_Global_vs_baseline,0,False,False,paired_delta_mae,True,-0.001143332379321918,1000,True,20260815,1000,leave_one_building_out
