analysis_role,block3_generated,ci_lower,ci_upper,cluster_unit,comparison,failed_replicates,formal_policy_frozen,formal_profile_frozen,metric,paired_same_draw,point_estimate,requested_replicates,scientific_conclusion_prohibited,seed,successful_replicates,validation_kind
diagnostic_pre_stage3,False,-0.0022129399325640626,0.00758751973562456,base_task_id,P2_vs_P1,0,False,False,paired_delta_rmse,True,0.0020312906262429375,1000,True,20260815,1000,leave_one_base_task_out
diagnostic_pre_stage3,False,-0.0006743990633030248,0.0059096190350799134,building_id,P2_vs_P1,0,False,False,paired_delta_rmse,True,0.0020312906262429375,1000,True,20260815,1000,leave_one_base_task_out
diagnostic_pre_stage3,False,-0.00044024146807706134,0.0050748543171181305,worker_id,P2_vs_P1,0,False,False,paired_delta_rmse,True,0.0020312906262429375,1000,True,20260815,1000,leave_one_base_task_out
diagnostic_pre_stage3,False,0.003143558316703189,0.032011518877047236,base_task_id,worker_x_risk_diagnostic_vs_P1,0,False,False,paired_delta_rmse,True,0.014590691515959653,1000,True,20260815,1000,leave_one_base_task_out
diagnostic_pre_stage3,False,0.007560598728748253,0.02207441794390794,building_id,worker_x_risk_diagnostic_vs_P1,0,False,False,paired_delta_rmse,True,0.014590691515959653,1000,True,20260815,1000,leave_one_base_task_out
diagnostic_pre_stage3,False,0.009091196313775415,0.020524430321640634,worker_id,worker_x_risk_diagnostic_vs_P1,0,False,False,paired_delta_rmse,True,0.014590691515959653,1000,True,20260815,1000,leave_one_base_task_out
diagnostic_pre_stage3,False,-0.017129172274215582,0.038952565834189906,base_task_id,P3_d_model_feat_local_max_vs_P1,0,False,False,paired_delta_rmse,True,0.006249635398544173,1000,True,20260815,1000,leave_one_base_task_out
diagnostic_pre_stage3,False,-0.015810315577111274,0.03431664902961062,building_id,P3_d_model_feat_local_max_vs_P1,0,False,False,paired_delta_rmse,True,0.006249635398544173,1000,True,20260815,1000,leave_one_base_task_out
diagnostic_pre_stage3,False,-0.001480284607396132,0.01362143990248996,worker_id,P3_d_model_feat_local_max_vs_P1,0,False,False,paired_delta_rmse,True,0.006249635398544173,1000,True,20260815,1000,leave_one_base_task_out
diagnostic_pre_stage3,False,-0.012725195884057053,0.028754689772164825,base_task_id,P3_d_model_feat_local_max_residualized_sensitivity_vs_P1,0,False,False,paired_delta_rmse,True,0.0042834653201208606,1000,True,20260815,1000,leave_one_base_task_out
diagnostic_pre_stage3,False,-0.008370625565614765,0.023646573850568644,building_id,P3_d_model_feat_local_max_residualized_sensitivity_vs_P1,0,False,False,paired_delta_rmse,True,0.0042834653201208606,1000,True,20260815,1000,leave_one_base_task_out
diagnostic_pre_stage3,False,-0.0012426479328620072,0.010440517359781696,worker_id,P3_d_model_feat_local_max_residualized_sensitivity_vs_P1,0,False,False,paired_delta_rmse,True,0.0042834653201208606,1000,True,20260815,1000,leave_one_base_task_out
diagnostic_pre_stage3,False,-0.0025744641535043354,0.0052059385226642454,base_task_id,P2_vs_P1,0,False,False,paired_delta_rmse,True,0.0008211439748031096,1000,True,20260815,1000,leave_one_building_out
diagnostic_pre_stage3,False,-0.0011816822146164159,0.0043236892869092745,building_id,P2_vs_P1,0,False,False,paired_delta_rmse,True,0.0008211439748031096,1000,True,20260815,1000,leave_one_building_out
diagnostic_pre_stage3,False,-0.0014299236996143925,0.003262981708728204,worker_id,P2_vs_P1,0,False,False,paired_delta_rmse,True,0.0008211439748031096,1000,True,20260815,1000,leave_one_building_out
diagnostic_pre_stage3,False,0.002959656495162863,0.03869322111342124,base_task_id,worker_x_risk_diagnostic_vs_P1,0,False,False,paired_delta_rmse,True,0.016388590178865556,1000,True,20260815,1000,leave_one_building_out
diagnostic_pre_stage3,False,0.0045609855148944205,0.03385723061890841,building_id,worker_x_risk_diagnostic_vs_P1,0,False,False,paired_delta_rmse,True,0.016388590178865556,1000,True,20260815,1000,leave_one_building_out
diagnostic_pre_stage3,False,0.006926403114116993,0.027331523425834763,worker_id,worker_x_risk_diagnostic_vs_P1,0,False,False,paired_delta_rmse,True,0.016388590178865556,1000,True,20260815,1000,leave_one_building_out
diagnostic_pre_stage3,False,-0.025309706545344257,0.03896776516883269,base_task_id,P3_d_model_feat_local_max_vs_P1,0,False,False,paired_delta_rmse,True,0.0022238680651072013,1000,True,20260815,1000,leave_one_building_out
