M2_boundary_status,analysis_role,block3_generated,comparison,delta_mae,delta_rmse,delta_spearman,formal_policy_frozen,formal_profile_frozen,interpretation,paired_test_rows,same_test_rows,scientific_conclusion_prohibited,validation_kind
boundary_singular retained in pooled association output,diagnostic_pre_stage3,False,P2_vs_P1,0.0016930703694880284,0.0020312906262429375,0.001853141926284163,False,False,exploratory_multiple_candidate_no_winner,225,True,True,leave_one_base_task_out
not_applicable,diagnostic_pre_stage3,False,worker_x_risk_diagnostic_vs_P1,0.007819284724688319,0.014590691515959653,-0.022981488334259725,False,False,exploratory_multiple_candidate_no_winner,225,True,True,leave_one_base_task_out
not_applicable,diagnostic_pre_stage3,False,P3_d_model_feat_local_max_vs_P1,-0.004807999028292251,0.006249635398544173,0.1341283898657793,False,False,exploratory_multiple_candidate_no_winner,225,True,True,leave_one_base_task_out
not_applicable,diagnostic_pre_stage3,False,P3_d_model_feat_local_max_residualized_sensitivity_vs_P1,-0.003626677061278921,0.0042834653201208606,0.0810151720069866,False,False,exploratory_multiple_candidate_no_winner,225,True,True,leave_one_base_task_out
boundary_singular retained in pooled association output,diagnostic_pre_stage3,False,P2_vs_P1,0.0010899257172450882,0.0008211439748031096,0.030539968578788323,False,False,exploratory_multiple_candidate_no_winner,225,True,True,leave_one_building_out
not_applicable,diagnostic_pre_stage3,False,worker_x_risk_diagnostic_vs_P1,0.01087829582451355,0.016388590178865556,-0.018900678071916532,False,False,exploratory_multiple_candidate_no_winner,225,True,True,leave_one_building_out
not_applicable,diagnostic_pre_stage3,False,P3_d_model_feat_local_max_vs_P1,-0.0035358313751996384,0.0022238680651072013,0.12126016811558143,False,False,exploratory_multiple_candidate_no_winner,225,True,True,leave_one_building_out
not_applicable,diagnostic_pre_stage3,False,P3_d_model_feat_local_max_residualized_sensitivity_vs_P1,-0.002019019512544462,0.004059836048974433,0.054652937543422764,False,False,exploratory_multiple_candidate_no_winner,225,True,True,leave_one_building_out
boundary_singular retained in pooled association output,diagnostic_pre_stage3,False,P2_vs_P1,0.0014268641797151455,0.0008636801254287285,0.038334689308520575,False,False,exploratory_multiple_candidate_no_winner,70,True,True,temporal
not_applicable,diagnostic_pre_stage3,False,worker_x_risk_diagnostic_vs_P1,0.009320012929326008,0.03762991781985103,0.04605061718851039,False,False,exploratory_multiple_candidate_no_winner,70,True,True,temporal
not_applicable,diagnostic_pre_stage3,False,P3_d_model_feat_local_max_vs_P1,-0.0023258406709654317,0.023017914948603363,0.11022754114271094,False,False,exploratory_multiple_candidate_no_winner,70,True,True,temporal
not_applicable,diagnostic_pre_stage3,False,P3_d_model_feat_local_max_residualized_sensitivity_vs_P1,-0.002005878964671512,0.015026800714503824,0.04312871252647338,False,False,exploratory_multiple_candidate_no_winner,70,True,True,temporal
