context,image,building,stage,condition,N,k,fraction,full_disagreement,finite_sd,empirical_iid_sd,selected_medoid_to_remaining,selected_medoid_reference_distance,medoid_step_distance,remaining,iid_role
C1|0|manual|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,C1,manual,23,2,0.0869565217391,0.0441875928213,0.041477395913,0.0415545144033,0.0421907454661,0.0299009514682,,21,with_replacement_empirical_distribution_diagnostic_not_new_workers
C1|0|manual|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,C1,manual,23,3,0.130434782609,0.0441875928213,0.0322863060195,0.0321378862118,0.0350177353778,0.0214235783097,0.0213906696375,20,with_replacement_empirical_distribution_diagnostic_not_new_workers
C1|0|manual|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,C1,manual,23,4,0.173913043478,0.0441875928213,0.0270344917896,0.0272955573726,0.0340174401446,0.020469626055,0.00968683833,19,with_replacement_empirical_distribution_diagnostic_not_new_workers
C1|0|manual|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,C1,manual,23,5,0.217391304348,0.0441875928213,0.02343986305,0.0241703087214,0.0320843848704,0.0185253896236,0.00837969476871,18,with_replacement_empirical_distribution_diagnostic_not_new_workers
C1|0|manual|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,C1,manual,23,6,0.260869565217,0.0441875928213,0.0207436490353,0.0219298757559,0.0314560066317,0.0176669932607,0.00768796638795,17,with_replacement_empirical_distribution_diagnostic_not_new_workers
C1|0|manual|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,C1,manual,23,7,0.304347826087,0.0441875928213,0.0186008460795,0.0202196807512,0.031216028387,0.0174895963337,0.00588021212807,16,with_replacement_empirical_distribution_diagnostic_not_new_workers
C1|0|manual|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,C1,manual,23,8,0.347826086957,0.0441875928213,0.016827147312,0.0188578316494,0.0308305966146,0.016537476877,0.00454516173453,15,with_replacement_empirical_distribution_diagnostic_not_new_workers
C1|0|manual|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,C1,manual,23,9,0.391304347826,0.0441875928213,0.0153132696559,0.0177396701786,0.0301256845394,0.0163018007075,0.00419121122041,14,with_replacement_empirical_distribution_diagnostic_not_new_workers
C1|0|manual|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,C1,manual,23,10,0.434782608696,0.0441875928213,0.0139893380582,0.0168000038709,0.0298135634358,0.0158627576674,0.00310913037293,13,with_replacement_empirical_distribution_diagnostic_not_new_workers
C1|0|manual|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,C1,manual,23,11,0.478260869565,0.0441875928213,0.0128079531095,0.0159957718141,0.0296091229955,0.0157280676998,0.00364587495407,12,with_replacement_empirical_distribution_diagnostic_not_new_workers
C1|0|manual|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,C1,manual,23,12,0.521739130435,0.0441875928213,0.0117353101962,0.0152972135011,0.0293008274512,0.0155942170445,0.0022854244937,11,with_replacement_empirical_distribution_diagnostic_not_new_workers
C1|0|manual|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,C1,manual,23,13,0.565217391304,0.0441875928213,0.0107461577912,0.014683003615,0.0295603027032,0.0152464537521,0.0024906518405,10,with_replacement_empirical_distribution_diagnostic_not_new_workers
C1|0|manual|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,C1,manual,23,14,0.608695652174,0.0441875928213,0.0098207191214,0.0141374026344,0.0294117103243,0.0152291518081,0.00210218909598,9,with_replacement_empirical_distribution_diagnostic_not_new_workers
C1|0|manual|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,C1,manual,23,15,0.652173913043,0.0441875928213,0.00894265227683,0.0136485036573,0.0292977695711,0.0149314185976,0.00197332930886,8,with_replacement_empirical_distribution_diagnostic_not_new_workers
C1|0|manual|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,C1,manual,23,16,0.695652173913,0.0441875928213,0.00809753361013,0.0132071088787,0.0291764102595,0.0146624394119,0.00183100115526,7,with_replacement_empirical_distribution_diagnostic_not_new_workers
C1|0|manual|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,C1,manual,23,17,0.739130434783,0.0441875928213,0.00727150842243,0.0128059845027,0.0292961226929,0.0143519345176,0.00135950399585,6,with_replacement_empirical_distribution_diagnostic_not_new_workers
C1|0|manual|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,C1,manual,23,18,0.782608695652,0.0441875928213,0.00644974159278,0.0124393519676,0.0295828996207,0.013929850888,0.00146039777082,5,with_replacement_empirical_distribution_diagnostic_not_new_workers
C1|0|manual|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,C1,manual,23,19,0.826086956522,0.0441875928213,0.00561404409116,0.012102531648,0.0283010989944,0.0136168897599,0.00123378153187,4,with_replacement_empirical_distribution_diagnostic_not_new_workers
