feature,heldout_building,worker,effect,group,training_rank
corners,2t7WUuJeko7,1,0.739304932384,high,19
corners,2t7WUuJeko7,2,0.763162641192,high,19
corners,2t7WUuJeko7,6,0.108365566396,high,19
corners,2t7WUuJeko7,8,-0.121541657855,low,19
corners,2t7WUuJeko7,10,-0.624702245284,low,19
corners,2t7WUuJeko7,11,0.468558732596,high,19
corners,2t7WUuJeko7,12,0.664149510125,high,19
corners,2t7WUuJeko7,13,-0.376418631006,low,19
corners,2t7WUuJeko7,15,0.131173472622,high,19
corners,2t7WUuJeko7,17,0.774840887462,high,19
corners,2t7WUuJeko7,28,0.0607683362313,low,19
corners,2t7WUuJeko7,29,-0.80769098617,low,19
corners,2t7WUuJeko7,30,-0.191599698878,low,19
corners,2t7WUuJeko7,31,-0.245373212365,low,19
corners,2t7WUuJeko7,32,0.236648530717,high,19
corners,2t7WUuJeko7,33,0.0680931117894,high,19
corners,2t7WUuJeko7,34,-1.08621255847,low,19
corners,2t7WUuJeko7,35,-0.263185417612,low,19
corners,2t7WUuJeko7,36,-0.518204773551,low,19
corners,2t7WUuJeko7,37,0.219863459675,high,19
corners,7y3sRwLe3Va,1,0.737891768797,high,19
corners,7y3sRwLe3Va,2,0.768374224479,high,19
corners,7y3sRwLe3Va,6,0.166200501661,high,19
corners,7y3sRwLe3Va,8,-0.0874080375783,low,19
corners,7y3sRwLe3Va,10,-0.622496282406,low,19
corners,7y3sRwLe3Va,11,0.555055192285,high,19
corners,7y3sRwLe3Va,12,0.655909045389,high,19
corners,7y3sRwLe3Va,13,-0.349092280366,low,19
corners,7y3sRwLe3Va,15,0.183088801148,high,19
corners,7y3sRwLe3Va,17,0.8226038249,high,19
corners,7y3sRwLe3Va,28,-0.0453960433369,low,19
corners,7y3sRwLe3Va,29,-0.855832901904,low,19
corners,7y3sRwLe3Va,30,-0.318742910532,low,19
corners,7y3sRwLe3Va,31,-0.21123392898,low,19
corners,7y3sRwLe3Va,32,0.207873347567,high,19
corners,7y3sRwLe3Va,33,-0.0430697282301,high,19
corners,7y3sRwLe3Va,34,-1.04373131582,low,19
corners,7y3sRwLe3Va,35,-0.243920247986,low,19
corners,7y3sRwLe3Va,36,-0.547301208172,low,19
corners,7y3sRwLe3Va,37,0.27122817908,high,19
corners,B6ByNegPMKs,1,0.670720568429,high,19
corners,B6ByNegPMKs,2,0.684082108838,high,19
corners,B6ByNegPMKs,6,0.111590585038,high,19
corners,B6ByNegPMKs,8,-0.12388528723,low,19
corners,B6ByNegPMKs,10,-0.655259417141,low,19
corners,B6ByNegPMKs,11,0.50186472816,high,19
corners,B6ByNegPMKs,12,0.639081776983,high,19
corners,B6ByNegPMKs,13,-0.373411943829,low,19
corners,B6ByNegPMKs,15,0.149460549764,high,19
corners,B6ByNegPMKs,17,0.806746036371,high,19
corners,B6ByNegPMKs,28,0.125551987814,high,19
corners,B6ByNegPMKs,29,-0.812788942439,low,19
corners,B6ByNegPMKs,30,-0.196636611767,low,19
corners,B6ByNegPMKs,31,-0.236647616409,low,19
corners,B6ByNegPMKs,32,0.261073798437,high,19
corners,B6ByNegPMKs,33,0.0867272852244,low,19
corners,B6ByNegPMKs,34,-1.17236331115,low,19
corners,B6ByNegPMKs,35,-0.241695320827,low,19
corners,B6ByNegPMKs,36,-0.376631885938,low,19
corners,B6ByNegPMKs,37,0.152420911668,high,19
corners,S9hNv5qa7GM,1,0.739304932384,high,19
