stage,condition,k,contexts,supported
C1,manual,15,87,12
C1,manual,16,87,12
C1,manual,17,87,12
C1,manual,18,87,12
C1,manual,19,87,12
C1,manual,20,87,12
C1,semi,15,25,0
C1,semi,16,25,0
C1,semi,17,25,0
C1,semi,18,25,0
C1,semi,19,25,0
C1,semi,20,25,0
C2-A-RP,manual,15,55,0
C2-A-RP,manual,16,55,0
C2-A-RP,manual,17,55,0
C2-A-RP,manual,18,55,0
C2-A-RP,manual,19,55,0
C2-A-RP,manual,20,55,0
C2-B,manual,15,46,4
C2-B,manual,16,46,4
C2-B,manual,17,46,4
C2-B,manual,18,46,4
C2-B,manual,19,46,4
C2-B,manual,20,46,1
P1,manual,15,30,30
P1,manual,16,30,30
P1,manual,17,30,30
P1,manual,18,30,30
P1,manual,19,30,29
P1,manual,20,30,24
P1,oos,15,9,9
P1,oos,16,9,9
P1,oos,17,9,9
P1,oos,18,9,9
P1,oos,19,9,8
P1,oos,20,9,5
P1,semi,15,18,18
P1,semi,16,18,18
P1,semi,17,18,18
P1,semi,18,18,18
P1,semi,19,18,17
P1,semi,20,18,15
