stage,condition,k,images,buildings,target,exact_fixed_panel_variance,exact_independent_variance,cross_image_covariance_contribution,exact_variance_ratio,simulated_fixed_variance,simulated_independent_variance,fixed_mean,independent_mean,endpoint_mechanical
C1,manual,15,12,5,0.108232879902,1.39163194602e-05,1.50009051441e-05,-1.08458568391e-06,0.927698650615,1.33059431546e-05,1.45843127e-05,0.108089948664,0.108028049307,False
C1,manual,16,12,5,0.108232879902,1.04111729999e-05,1.12325579144e-05,-8.21384914546e-07,0.926874633471,1.08918125763e-05,1.15027267566e-05,0.108184319575,0.108150681573,False
C1,manual,17,12,5,0.108232879902,7.33296333809e-06,7.91767206258e-06,-5.84708724498e-07,0.926151434427,7.72427429723e-06,8.11340510256e-06,0.10820337869,0.108233413435,False
C1,manual,18,12,5,0.108232879902,4.60810657069e-06,4.97898295742e-06,-3.7087638673e-07,0.925511617553,4.71134989437e-06,5.18440154716e-06,0.108245119496,0.108082580372,False
C1,manual,19,12,5,0.108232879902,2.1790212514e-06,2.35584751841e-06,-1.7682626701e-07,0.924941548369,2.13197336675e-06,2.26684788549e-06,0.108317000968,0.108272278117,False
C1,manual,20,12,5,0.108232879902,0,0,0,,1.45022524812e-34,7.89631277199e-36,0.108232879902,0.108232879902,True
C2-B,manual,15,1,1,0.0409994595328,1.00796506693e-05,1.00796506693e-05,0,1,1.02974156802e-05,9.49969702064e-06,0.0412394529896,0.041057268506,False
C2-B,manual,16,1,1,0.0409994595328,7.53976398285e-06,7.53976398285e-06,0,1,7.55607863454e-06,7.22645160539e-06,0.0409275413767,0.0410603437336,False
C2-B,manual,17,1,1,0.0409994595328,5.30984944668e-06,5.30984944668e-06,0,1,5.57519634355e-06,5.15154302963e-06,0.0408654820846,0.0409699063912,False
C2-B,manual,18,1,1,0.0409994595328,3.33638471041e-06,3.33638471041e-06,0,1,3.17792207386e-06,3.54465075239e-06,0.0409984335321,0.0408976957559,False
C2-B,manual,19,1,1,0.0409994595328,1.57750693437e-06,1.57750693437e-06,0,1,1.75114667514e-06,1.52559309063e-06,0.0409531758564,0.0410223305298,False
C2-B,manual,20,1,1,0.0409994595328,0,0,0,,1.10692823554e-34,1.09392820841e-34,0.0409994595328,0.0409994595328,True
P1,manual,15,24,12,0.112775866384,1.50587556455e-05,6.71830009979e-06,8.34045554576e-06,2.2414532578,1.46890897986e-05,6.64661185565e-06,0.112777329939,0.112788590986,False
P1,manual,16,24,12,0.112775866384,1.12688894759e-05,5.02354464735e-06,6.24534482853e-06,2.24321475511,1.12051342655e-05,5.05450924375e-06,0.112700258594,0.112847866475,False
P1,manual,17,24,12,0.112775866384,7.93895955874e-06,3.53665536938e-06,4.40230418936e-06,2.24476482144,7.83493276099e-06,3.46603515884e-06,0.112760340709,0.112797709809,False
P1,manual,18,24,12,0.112775866384,4.98996491132e-06,2.22157404013e-06,2.76839087119e-06,2.24613936839,4.96275401869e-06,2.18411995829e-06,0.112976317004,0.112770169293,False
P1,manual,19,24,12,0.112775866384,2.3600300084e-06,1.0501312947e-06,1.30989871369e-06,2.24736661053,2.45295218289e-06,1.06905890204e-06,0.112770502627,0.112767583854,False
P1,manual,20,24,12,0.112775866384,0,0,0,,6.24579080965e-34,8.98446319057e-34,0.112775866384,0.112775866384,True
P1,oos,15,5,4,0.205865263558,0.000106507659069,8.30196578365e-05,2.34880012323e-05,1.28292095926,0.000102385113877,8.52295472827e-05,0.206219412603,0.205896412027,False
P1,oos,16,5,4,0.205865263558,7.96211992042e-05,6.20878934777e-05,1.75333057266e-05,1.28239492024,8.14740288943e-05,6.5592672419e-05,0.205708563729,0.20607431393,False
P1,oos,17,5,4,0.205865263558,5.60428921723e-05,4.37175175168e-05,1.23253746555e-05,1.28193217171,5.03871993346e-05,4.10891630355e-05,0.206159219482,0.205696522003,False
P1,oos,18,5,4,0.205865263558,3.51972058496e-05,2.74651605733e-05,7.73204527626e-06,1.28152193961,3.62026538173e-05,2.64729611135e-05,0.205611893617,0.206046205706,False
P1,oos,19,5,4,0.205865263558,1.66348618899e-05,1.2984261834e-05,3.65060005587e-06,1.281155764,1.72033395368e-05,1.25173260427e-05,0.205765315511,0.205792825769,False
P1,oos,20,5,4,0.205865263558,0,0,0,,5.6275672975e-33,3.14619915715e-33,0.205865263558,0.205865263558,True
P1,semi,15,15,9,0.072583040637,3.80663482869e-05,7.70081841987e-06,3.03655298671e-05,4.94315619607,4.17630389517e-05,8.17815437516e-06,0.0726154644929,0.0723898557209,False
P1,semi,16,15,9,0.072583040637,2.85015323652e-05,5.75674746619e-06,2.2744784899e-05,4.95097840101,2.9921895502e-05,5.62187197367e-06,0.0722674465126,0.0726066102971,False
P1,semi,17,15,9,0.072583040637,2.0088940321e-05,4.05193370193e-06,1.60370066191e-05,4.95786500935,2.24201478323e-05,3.83268302737e-06,0.0722476536528,0.0726394589299,False
P1,semi,18,15,9,0.072583040637,1.26320429388e-05,2.54474376892e-06,1.00872991698e-05,4.963974406,1.22806888854e-05,2.47648536865e-06,0.0726455822743,0.0725298831103,False
P1,semi,19,15,9,0.072583040637,5.97663123827e-06,1.20267915492e-06,4.77395208335e-06,4.96943113534,5.87031732975e-06,1.1779422851e-06,0.0726125676087,0.0724921056165,False
P1,semi,20,15,9,0.072583040637,0,0,0,,2.91393200586e-34,1.91052250483e-34,0.072583040637,0.072583040637,True
