stage,condition,available_scenes,sampled_scenes,workers_per_scene,budget,scene_variance,annotation_variance,total_RMSE,target
C1,manual,12,1,3,3,0.00315589681923,0.00343394241576,0.0811778247738,finite_scene_average_pairwise_disagreement_independently_drawn_panels; not_per_image_layout_quality
C1,manual,12,5,3,15,0.000401659595175,0.000686788483153,0.0329916364906,finite_scene_average_pairwise_disagreement_independently_drawn_panels; not_per_image_layout_quality
C1,manual,12,10,3,30,5.73799421679e-05,0.000343394241576,0.0200193452377,finite_scene_average_pairwise_disagreement_independently_drawn_panels; not_per_image_layout_quality
C1,manual,12,12,3,36,0,0.00028616186798,0.0169163195755,finite_scene_average_pairwise_disagreement_independently_drawn_panels; not_per_image_layout_quality
C1,manual,12,1,5,5,0.00315589681923,0.00166937576027,0.0694641819897,finite_scene_average_pairwise_disagreement_independently_drawn_panels; not_per_image_layout_quality
C1,manual,12,5,5,25,0.000401659595175,0.000333875152053,0.0271207438546,finite_scene_average_pairwise_disagreement_independently_drawn_panels; not_per_image_layout_quality
C1,manual,12,10,5,50,5.73799421679e-05,0.000166937576027,0.0149772333291,finite_scene_average_pairwise_disagreement_independently_drawn_panels; not_per_image_layout_quality
C1,manual,12,12,5,60,0,0.000139114646689,0.011794687223,finite_scene_average_pairwise_disagreement_independently_drawn_panels; not_per_image_layout_quality
C1,manual,12,1,10,10,0.00315589681923,0.000565725338195,0.0610050994379,finite_scene_average_pairwise_disagreement_independently_drawn_panels; not_per_image_layout_quality
C1,manual,12,5,10,50,0.000401659595175,0.000113145067639,0.0226893072352,finite_scene_average_pairwise_disagreement_independently_drawn_panels; not_per_image_layout_quality
C1,manual,12,10,10,100,5.73799421679e-05,5.65725338195e-05,0.0106748525042,finite_scene_average_pairwise_disagreement_independently_drawn_panels; not_per_image_layout_quality
C1,manual,12,12,10,120,0,4.71437781829e-05,0.00686613269482,finite_scene_average_pairwise_disagreement_independently_drawn_panels; not_per_image_layout_quality
C1,manual,12,1,15,15,0.00315589681923,0.000227743166151,0.0581690638173,finite_scene_average_pairwise_disagreement_independently_drawn_panels; not_per_image_layout_quality
C1,manual,12,5,15,75,0.000401659595175,4.55486332302e-05,0.0211472983713,finite_scene_average_pairwise_disagreement_independently_drawn_panels; not_per_image_layout_quality
C1,manual,12,10,15,150,5.73799421679e-05,2.27743166151e-05,0.00895289108517,finite_scene_average_pairwise_disagreement_independently_drawn_panels; not_per_image_layout_quality
C1,manual,12,12,15,180,0,1.89785971792e-05,0.00435644317985,finite_scene_average_pairwise_disagreement_independently_drawn_panels; not_per_image_layout_quality
C1,manual,12,1,20,20,0.00315589681923,6.34733383363e-05,0.0567394938078,finite_scene_average_pairwise_disagreement_independently_drawn_panels; not_per_image_layout_quality
C1,manual,12,5,20,100,0.000401659595175,1.26946676673e-05,0.0203556936222,finite_scene_average_pairwise_disagreement_independently_drawn_panels; not_per_image_layout_quality
C1,manual,12,10,20,200,5.73799421679e-05,6.34733383363e-06,0.00798293655252,finite_scene_average_pairwise_disagreement_independently_drawn_panels; not_per_image_layout_quality
C1,manual,12,12,20,240,0,5.28944486136e-06,0.00229987931452,finite_scene_average_pairwise_disagreement_independently_drawn_panels; not_per_image_layout_quality
P1,manual,30,1,3,3,0.00738762464458,0.0052596324952,0.11246002463,finite_scene_average_pairwise_disagreement_independently_drawn_panels; not_per_image_layout_quality
P1,manual,30,5,3,15,0.001273728387,0.00105192649904,0.0482250441787,finite_scene_average_pairwise_disagreement_independently_drawn_panels; not_per_image_layout_quality
P1,manual,30,10,3,30,0.000509491354799,0.00052596324952,0.0321784804538,finite_scene_average_pairwise_disagreement_independently_drawn_panels; not_per_image_layout_quality
P1,manual,30,30,3,90,0,0.000175321083173,0.0132408867971,finite_scene_average_pairwise_disagreement_independently_drawn_panels; not_per_image_layout_quality
P1,manual,30,1,5,5,0.00738762464458,0.00260778981621,0.099977069675,finite_scene_average_pairwise_disagreement_independently_drawn_panels; not_per_image_layout_quality
P1,manual,30,5,5,25,0.001273728387,0.000521557963242,0.0423708195606,finite_scene_average_pairwise_disagreement_independently_drawn_panels; not_per_image_layout_quality
P1,manual,30,10,5,50,0.000509491354799,0.000260778981621,0.0277537445477,finite_scene_average_pairwise_disagreement_independently_drawn_panels; not_per_image_layout_quality
P1,manual,30,30,5,150,0,8.69263272071e-05,0.00932342894042,finite_scene_average_pairwise_disagreement_independently_drawn_panels; not_per_image_layout_quality
P1,manual,30,1,10,10,0.00738762464458,0.000915519520144,0.0911215900033,finite_scene_average_pairwise_disagreement_independently_drawn_panels; not_per_image_layout_quality
P1,manual,30,5,10,50,0.001273728387,0.000183103904029,0.0381684724744,finite_scene_average_pairwise_disagreement_independently_drawn_panels; not_per_image_layout_quality
P1,manual,30,10,10,100,0.000509491354799,9.15519520144e-05,0.0245161845892,finite_scene_average_pairwise_disagreement_independently_drawn_panels; not_per_image_layout_quality
P1,manual,30,30,10,300,0,3.05173173381e-05,0.00552424812424,finite_scene_average_pairwise_disagreement_independently_drawn_panels; not_per_image_layout_quality
P1,manual,30,1,15,15,0.00738762464458,0.00039178475658,0.0882009603188,finite_scene_average_pairwise_disagreement_independently_drawn_panels; not_per_image_layout_quality
P1,manual,30,5,15,75,0.001273728387,7.83569513159e-05,0.0367707130515,finite_scene_average_pairwise_disagreement_independently_drawn_panels; not_per_image_layout_quality
P1,manual,30,10,15,150,0.000509491354799,3.9178475658e-05,0.0234237023217,finite_scene_average_pairwise_disagreement_independently_drawn_panels; not_per_image_layout_quality
P1,manual,30,30,15,450,0,1.3059491886e-05,0.00361379189854,finite_scene_average_pairwise_disagreement_independently_drawn_panels; not_per_image_layout_quality
P1,manual,30,1,20,20,0.00738762464458,0.000136289269817,0.0867404975453,finite_scene_average_pairwise_disagreement_independently_drawn_panels; not_per_image_layout_quality
P1,manual,30,5,20,100,0.001273728387,2.72578539635e-05,0.036069186863,finite_scene_average_pairwise_disagreement_independently_drawn_panels; not_per_image_layout_quality
P1,manual,30,10,20,200,0.000509491354799,1.36289269817e-05,0.0228718228784,finite_scene_average_pairwise_disagreement_independently_drawn_panels; not_per_image_layout_quality
P1,manual,30,30,20,600,0,4.54297566058e-06,0.00213142573424,finite_scene_average_pairwise_disagreement_independently_drawn_panels; not_per_image_layout_quality
