epsilon,contexts,finite_pass20,iid_diagnostic_pass20,finite_only_pass20,late_fraction_gt80,median_fraction,minority_supported,minority_capture90_by20,medoid_hindsight_stable_by20
0.005,70,20,5,15,52,0.916666666667,69,41,41
0.01,70,49,18,31,21,0.693979933111,69,41,52
0.02,70,63,48,15,7,0.38795986622,69,41,63
