building_id,config,source_n,folds,target_appearances,common_people_budget,k_max,outside_pool_n,outside_group_n_min,outside_group_n_max,prediction_identified_folds,prediction_not_reached_folds,prediction_unknown_folds,prediction_lower_onset_finite_folds,prediction_both_onsets_finite_folds,prediction_onset_width_le2_folds,prediction_lower_crossing_lt5_folds,prediction_onset_width_mean_among_both_finite,prediction_lower_onset_mean_among_finite,same_error_lower,same_error_upper,outside_error_lower,outside_error_upper,benefit_lower,benefit_upper,same_prediction_unknown_mean,target_unknown_mean,outside_prediction_unknown_mean,outside_N_identified_prediction_fraction,target_N_identified_n,target_N_not_reached_n,target_N_unknown_n,target_N_both_finite_n,target_N_interval_width_le2_n,target_N_lower_crossing_lt5_n,N_identified_pairs,N_absolute_error_sum,outside_N_identified_pairs,outside_N_absolute_error_sum,N_MAE_identified,outside_N_MAE_identified
7y3sRwLe3Va,ospa30_t6,all,6,9,24,19,35,35,50,0,5,1,1,1,1,1,1.0,2.0,0.3039254385964912,0.8028728070175438,0.2090575187969925,0.6584484962406015,-0.5938152882205513,0.3545230576441103,0.3027192982456141,0.30271929824561405,0.31190751879699247,0.13999999999999999,0.0,6.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,,
7y3sRwLe3Va,ospa30_t6,1,3,6,24,19,35,35,35,0,2,1,1,1,1,1,1.0,2.0,0.33771929824561403,0.8402631578947369,0.22405012531328325,0.6759724310776943,-0.6162130325814535,0.33825313283208036,0.3027192982456141,0.30271929824561405,0.30938345864661654,0.20000000000000004,0.0,4.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,,
7y3sRwLe3Va,ospa30_t6,2,3,3,24,19,35,50,50,0,3,0,0,0,0,0,,,0.2701315789473684,0.7654824561403508,0.19406491228070175,0.6409245614035087,-0.5714175438596492,0.3707929824561404,0.3027192982456141,0.3027192982456141,0.3144315789473684,0.08,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,
7y3sRwLe3Va,q_0.800,all,6,9,24,19,35,35,50,0,3,3,1,1,1,1,1.0,2.0,0.32708333333333334,0.8197807017543859,0.25410588972431075,0.6214735588972431,-0.5656748120300752,0.2943902255639098,0.2998245614035088,0.29982456140350877,0.1993953007518797,0.27714285714285714,0.0,3.0,6.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,,
7y3sRwLe3Va,q_0.800,1,3,6,24,19,35,35,35,0,1,2,1,1,1,1,1.0,2.0,0.3569298245614035,0.8596491228070174,0.26601002506265664,0.6364260651629073,-0.5936390977443607,0.27949624060150385,0.2998245614035088,0.29982456140350877,0.19803007518796992,0.3142857142857143,0.0,2.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,,
7y3sRwLe3Va,q_0.800,2,3,3,24,19,35,50,50,0,2,1,0,0,0,0,,,0.29723684210526313,0.7799122807017546,0.2422017543859649,0.6065210526315788,-0.5377105263157895,0.30928421052631566,0.2998245614035087,0.2998245614035088,0.20076052631578953,0.24,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,
7y3sRwLe3Va,q_0.850,all,6,9,24,19,35,35,50,0,3,3,1,1,1,1,1.0,2.0,0.32708333333333334,0.8197807017543859,0.25331660401002504,0.6218619674185465,-0.5664640977443608,0.29477863408521315,0.2998245614035088,0.29982456140350877,0.20142857142857143,0.27714285714285714,0.0,3.0,6.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,,
7y3sRwLe3Va,q_0.850,1,3,6,24,19,35,35,35,0,1,2,1,1,1,1,1.0,2.0,0.3569298245614035,0.8596491228070174,0.26509022556390976,0.6369949874686718,-0.5945588972431076,0.2800651629072683,0.2998245614035088,0.29982456140350877,0.19985714285714287,0.3142857142857143,0.0,2.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,,
7y3sRwLe3Va,q_0.850,2,3,3,24,19,35,50,50,0,2,1,0,0,0,0,,,0.29723684210526313,0.7799122807017546,0.24154298245614036,0.6067289473684211,-0.538369298245614,0.30949210526315796,0.2998245614035087,0.2998245614035088,0.20299999999999999,0.24,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,
7y3sRwLe3Va,q_0.900,all,6,9,24,19,35,35,50,0,3,3,1,1,1,1,1.0,2.0,0.3156798245614035,0.8068640350877193,0.2392094611528822,0.6239658521303258,-0.5676545739348371,0.30828602756892237,0.30026315789473684,0.30026315789473684,0.224643984962406,0.22285714285714284,0.0,3.0,6.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,,
