condition,model,images,RPS,accuracy
manual,actual_n_1NN_diagnostic,26,0.124781576448,0.846153846154
manual,overall_frequency,26,0.251762938829,0.576923076923
semi,actual_n_1NN_diagnostic,5,0.2,0.6
semi,overall_frequency,5,0.264583333333,0.6
