cohort,config,horizon,k,bound,model,images,buildings,quality_baseline_G1,quality_baseline_G2,quality_baseline_ALL,candidate_G1,candidate_G2,candidate_ALL
all26,ospa30_t6,7,2,lower,T,28,11,0.4290530303030302,0.17935606060606063,0.2910606060606061,0.1922727272727273,0.37594696969696967,0.2910606060606061
all26,ospa30_t6,7,2,lower,S,26,9,0.3943981481481482,0.1681018518518519,0.27574074074074073,0.19486111111111115,0.3481944444444444,0.27574074074074073
all26,ospa30_t6,7,2,lower,B,1,1,0.17,0.0,0.0,0.02,0.0,0.0
all26,ospa30_t6,7,2,lower,TS,28,11,0.4290530303030302,0.17935606060606063,0.2910606060606061,0.18227272727272725,0.3820454545454546,0.2910606060606061
all26,ospa30_t6,7,2,lower,TB,19,6,0.2532638888888889,0.08819444444444445,0.18006944444444448,0.125625,0.22340277777777776,0.18006944444444448
all26,ospa30_t6,7,2,lower,SB,13,5,0.34,0.13325,0.19825000000000004,0.28175,0.12325,0.19825000000000004
all26,ospa30_t6,7,2,lower,TSB,27,10,0.3719583333333334,0.15129166666666669,0.24816666666666665,0.181875,0.32066666666666666,0.24816666666666665
all26,ospa30_t6,7,2,upper,T,28,11,0.7509469696969698,0.6629545454545455,0.7160606060606061,0.6332575757575758,0.7962121212121211,0.7160606060606061
all26,ospa30_t6,7,2,upper,S,26,9,0.7517129629629629,0.6569444444444444,0.7024074074074075,0.6701851851851851,0.739074074074074,0.7024074074074075
all26,ospa30_t6,7,2,upper,B,1,1,0.495,0.755,0.775,0.65,0.72,0.775
all26,ospa30_t6,7,2,upper,TS,28,11,0.7509469696969698,0.6629545454545455,0.7160606060606061,0.6305303030303031,0.7877651515151516,0.7160606060606061
all26,ospa30_t6,7,2,upper,TB,19,6,0.7073611111111111,0.6277083333333333,0.6840277777777778,0.6359722222222223,0.7345833333333333,0.6840277777777778
all26,ospa30_t6,7,2,upper,SB,13,5,0.7310000000000001,0.763,0.75725,0.7799999999999999,0.7217500000000001,0.75725
all26,ospa30_t6,7,2,upper,TSB,27,10,0.7260416666666666,0.6667500000000001,0.7096666666666667,0.6565000000000001,0.7714166666666666,0.7096666666666667
all26,ospa30_t6,8,3,lower,T,28,11,0.4148863636363637,0.14515151515151514,0.2665530303030303,0.15833333333333333,0.35954545454545456,0.2665530303030303
all26,ospa30_t6,8,3,lower,S,26,9,0.3815277777777778,0.13574074074074075,0.24912037037037033,0.14722222222222223,0.32888888888888884,0.24912037037037033
all26,ospa30_t6,8,3,lower,B,1,1,0.13,0.0,0.0,0.015,0.0,0.0
all26,ospa30_t6,8,3,lower,TS,28,11,0.4148863636363637,0.14515151515151514,0.2665530303030303,0.12840909090909092,0.36613636363636365,0.2665530303030303
all26,ospa30_t6,8,3,lower,TB,19,6,0.23645833333333335,0.05694444444444444,0.15347222222222223,0.08965277777777776,0.20333333333333334,0.15347222222222223
all26,ospa30_t6,8,3,lower,SB,11,4,0.41125,0.1540625,0.2290625,0.34375,0.1371875,0.2290625
all26,ospa30_t6,8,3,lower,TSB,27,10,0.356375,0.12216666666666667,0.2242083333333333,0.14079166666666668,0.30291666666666667,0.2242083333333333
all26,ospa30_t6,8,3,upper,T,28,11,0.5835227272727272,0.3986742424242424,0.5207575757575758,0.38935606060606065,0.6188636363636365,0.5207575757575758
all26,ospa30_t6,8,3,upper,S,26,9,0.5781944444444443,0.40060185185185193,0.5081481481481481,0.42898148148148146,0.5628703703703705,0.5081481481481481
all26,ospa30_t6,8,3,upper,B,1,1,0.215,0.405,0.465,0.26,0.38,0.465
all26,ospa30_t6,8,3,upper,TS,28,11,0.5835227272727272,0.3986742424242424,0.5207575757575758,0.370719696969697,0.6068560606060606,0.5207575757575758
all26,ospa30_t6,8,3,upper,TB,19,6,0.4633333333333333,0.34465277777777775,0.4563888888888889,0.3659722222222222,0.5209722222222223,0.4563888888888889
all26,ospa30_t6,8,3,upper,SB,11,4,0.6078125,0.530625,0.5718749999999999,0.568125,0.5443749999999999,0.5718749999999999
all26,ospa30_t6,8,3,upper,TSB,27,10,0.5418749999999999,0.40104166666666663,0.5038333333333334,0.411125,0.568375,0.5038333333333334
all26,ospa30_t6,10,5,lower,T,26,11,0.44284090909090906,0.21208333333333335,0.3235606060606061,0.22681818181818178,0.3443181818181818,0.3235606060606061
all26,ospa30_t6,10,5,lower,S,12,3,0.25277777777777777,0.027777777777777776,0.1284722222222222,0.14027777777777778,0.07361111111111111,0.1284722222222222
all26,ospa30_t6,10,5,lower,TS,11,4,0.6079166666666668,0.34791666666666665,0.49854166666666666,0.33999999999999997,0.5816666666666667,0.49854166666666666
all26,ospa30_t6,10,5,lower,TB,19,6,0.31826388888888885,0.14993055555555557,0.2431944444444444,0.17597222222222222,0.22791666666666666,0.2431944444444444
all26,ospa30_t6,10,5,lower,TSB,26,10,0.436625,0.21329166666666666,0.3131666666666667,0.23504166666666665,0.3465,0.3131666666666667
all26,ospa30_t6,10,5,upper,T,26,11,0.5578409090909091,0.35924242424242425,0.47356060606060607,0.39113636363636356,0.525340909090909,0.47356060606060607
all26,ospa30_t6,10,5,upper,S,12,3,0.39013888888888887,0.24791666666666667,0.3229166666666667,0.4116666666666666,0.19944444444444445,0.3229166666666667
all26,ospa30_t6,10,5,upper,TS,11,4,0.6587500000000001,0.4235416666666666,0.6002083333333333,0.47,0.6224999999999999,0.6002083333333333
all26,ospa30_t6,10,5,upper,TB,19,6,0.44798611111111114,0.32416666666666666,0.43875,0.3617361111111111,0.4529166666666667,0.43875
all26,ospa30_t6,10,5,upper,TSB,26,10,0.543875,0.35041666666666665,0.46191666666666664,0.42575,0.4800833333333334,0.46191666666666664
all26,q95,7,2,lower,T,28,11,0.5498106060606059,0.20734848484848484,0.34174242424242424,0.2555681818181818,0.4127651515151516,0.34174242424242424
all26,q95,7,2,lower,S,26,9,0.5147685185185185,0.2023148148148148,0.3371296296296296,0.2201388888888889,0.4436574074074074,0.3371296296296296
all26,q95,7,2,lower,B,1,1,0.415,0.0,0.005,0.02,0.0,0.005
all26,q95,7,2,lower,TS,28,11,0.5498106060606059,0.20734848484848484,0.34174242424242424,0.24477272727272725,0.4081818181818182,0.34174242424242424
all26,q95,7,2,lower,TB,19,6,0.3554861111111111,0.13118055555555555,0.23756944444444442,0.21,0.2497222222222222,0.23756944444444442
all26,q95,7,2,lower,SB,13,5,0.49849999999999994,0.16024999999999998,0.25375,0.30775,0.19149999999999998,0.25375
all26,q95,7,2,lower,TSB,27,10,0.5047916666666666,0.18208333333333332,0.30391666666666667,0.26312499999999994,0.3425,0.30391666666666667
all26,q95,7,2,upper,T,28,11,0.8035984848484848,0.6554166666666666,0.7185227272727274,0.6506818181818183,0.775189393939394,0.7185227272727274
all26,q95,7,2,upper,S,26,9,0.8043981481481483,0.6443981481481481,0.7065277777777778,0.6599074074074074,0.7648148148148148,0.7065277777777778
all26,q95,7,2,upper,B,1,1,0.6,0.785,0.765,0.7,0.685,0.765
all26,q95,7,2,upper,TS,28,11,0.8035984848484848,0.6554166666666666,0.7185227272727274,0.6326136363636364,0.7777651515151515,0.7185227272727274
all26,q95,7,2,upper,TB,19,6,0.7301388888888889,0.6176388888888888,0.6685416666666667,0.6435416666666667,0.6867361111111112,0.6685416666666667
all26,q95,7,2,upper,SB,13,5,0.8019999999999999,0.762,0.7735,0.77525,0.746,0.7735
all26,q95,7,2,upper,TSB,27,10,0.7839583333333333,0.6584583333333334,0.712375,0.6686249999999999,0.7514166666666668,0.712375
all26,q95,8,3,lower,T,28,11,0.5393560606060606,0.16833333333333333,0.3190909090909091,0.21977272727272731,0.39246212121212126,0.3190909090909091
all26,q95,8,3,lower,S,26,9,0.5069907407407407,0.16407407407407407,0.3127777777777777,0.17657407407407408,0.42101851851851846,0.3127777777777777
all26,q95,8,3,lower,B,1,1,0.37,0.0,0.005,0.015,0.0,0.005
all26,q95,8,3,lower,TS,28,11,0.5393560606060606,0.16833333333333333,0.3190909090909091,0.19106060606060604,0.3902272727272727,0.3190909090909091
all26,q95,8,3,lower,TB,19,6,0.34381944444444446,0.09361111111111113,0.21520833333333333,0.17770833333333333,0.22243055555555558,0.21520833333333333
all26,q95,8,3,lower,SB,11,4,0.5925,0.1825,0.2959375,0.36125,0.198125,0.2959375
all26,q95,8,3,lower,TSB,27,10,0.49329166666666663,0.14766666666666667,0.2819999999999999,0.21937500000000001,0.3235,0.2819999999999999
all26,q95,8,3,upper,T,28,11,0.6755303030303029,0.3871212121212121,0.5243181818181818,0.43594696969696967,0.5723484848484849,0.5243181818181818
all26,q95,8,3,upper,S,26,9,0.6734259259259258,0.3742592592592593,0.5130555555555555,0.4090740740740741,0.5681481481481482,0.5130555555555555
all26,q95,8,3,upper,B,1,1,0.37,0.515,0.46,0.43,0.295,0.46
all26,q95,8,3,upper,TS,28,11,0.6755303030303029,0.3871212121212121,0.5243181818181818,0.4029166666666667,0.5792045454545455,0.5243181818181818
all26,q95,8,3,upper,TB,19,6,0.5590972222222222,0.3247222222222222,0.45104166666666673,0.4163888888888889,0.42638888888888893,0.45104166666666673
all26,q95,8,3,upper,SB,11,4,0.7103125,0.5334375,0.588125,0.50375,0.58875,0.588125
all26,q95,8,3,upper,TSB,27,10,0.6430833333333332,0.3883333333333333,0.5077499999999999,0.4488333333333333,0.5280416666666667,0.5077499999999999
all26,q95,10,5,lower,T,26,11,0.6098863636363636,0.26249999999999996,0.41022727272727283,0.3215530303030303,0.4375,0.41022727272727283
all26,q95,10,5,lower,S,12,3,0.36527777777777776,0.03513888888888889,0.1626388888888889,0.18611111111111112,0.13388888888888886,0.1626388888888889
all26,q95,10,5,lower,TS,11,4,0.6022916666666667,0.3993749999999999,0.5379166666666666,0.4325,0.5708333333333333,0.5379166666666666
all26,q95,10,5,lower,TB,19,6,0.39368055555555553,0.20986111111111114,0.31902777777777774,0.28097222222222223,0.2913888888888889,0.31902777777777774
all26,q95,10,5,lower,TSB,26,10,0.570875,0.25775,0.382,0.3472083333333333,0.38208333333333333,0.382
all26,q95,10,5,upper,T,26,11,0.6704924242424243,0.3839772727272727,0.5110606060606061,0.4982954545454545,0.48515151515151517,0.5110606060606061
all26,q95,10,5,upper,S,12,3,0.46,0.22722222222222221,0.33805555555555555,0.4959722222222222,0.19499999999999998,0.33805555555555555
all26,q95,10,5,upper,TS,11,4,0.6327083333333333,0.40562499999999996,0.5641666666666667,0.4589583333333333,0.5758333333333333,0.5641666666666667
all26,q95,10,5,upper,TB,19,6,0.5047916666666666,0.30756944444444445,0.43277777777777776,0.43277777777777776,0.3583333333333334,0.43277777777777776
all26,q95,10,5,upper,TSB,26,10,0.6375416666666667,0.3913749999999999,0.4929166666666667,0.5334583333333334,0.43270833333333336,0.4929166666666667
current20,ospa30_t6,7,2,lower,T,28,11,0.3992424242424242,0.3171590909090909,0.3707954545454546,0.3690151515151516,0.36500000000000005,0.3707954545454546
current20,ospa30_t6,7,2,lower,S,17,8,0.33249999999999996,0.300625,0.34296875,0.3984375,0.4203125,0.34296875
current20,ospa30_t6,7,2,lower,B,15,7,0.30821428571428566,0.22892857142857143,0.27464285714285713,0.29000000000000004,0.19357142857142856,0.27464285714285713
current20,ospa30_t6,7,2,lower,QT,19,7,0.32071428571428573,0.1470238095238095,0.23285714285714287,0.2675,0.21916666666666668,0.23285714285714287
current20,ospa30_t6,7,2,lower,QS,2,1,0.0125,0.0,0.0025,0.0,0.0,0.0025
current20,ospa30_t6,7,2,lower,QB,28,11,0.3992424242424242,0.3171590909090909,0.3707954545454546,0.3893181818181819,0.3340530303030303,0.3707954545454546
current20,ospa30_t6,7,2,lower,TS,28,11,0.3992424242424242,0.3171590909090909,0.3707954545454546,0.33882575757575756,0.3760227272727273,0.3707954545454546
current20,ospa30_t6,7,2,lower,TB,28,11,0.3992424242424242,0.3171590909090909,0.3707954545454546,0.39272727272727276,0.35007575757575754,0.3707954545454546
current20,ospa30_t6,7,2,lower,SB,22,9,0.43101851851851847,0.3525,0.4069444444444445,0.41805555555555557,0.37787037037037036,0.4069444444444445
current20,ospa30_t6,7,2,lower,QTS,25,8,0.42020833333333335,0.27921874999999996,0.35484374999999996,0.37838541666666664,0.43203125000000003,0.35484374999999996
current20,ospa30_t6,7,2,lower,QTB,28,11,0.3992424242424242,0.3171590909090909,0.3707954545454546,0.4001136363636364,0.36200757575757575,0.3707954545454546
current20,ospa30_t6,7,2,lower,QSB,24,9,0.45064814814814813,0.3436111111111111,0.4095833333333333,0.4031018518518519,0.36148148148148146,0.4095833333333333
current20,ospa30_t6,7,2,lower,TSB,28,11,0.3992424242424242,0.3171590909090909,0.3707954545454546,0.37625,0.35984848484848486,0.3707954545454546
current20,ospa30_t6,7,2,lower,QTSB,28,11,0.3992424242424242,0.3171590909090909,0.3707954545454546,0.4001136363636364,0.35428030303030306,0.3707954545454546
current20,ospa30_t6,7,2,upper,T,28,11,0.7609469696969696,0.7251136363636363,0.7753787878787879,0.7460227272727273,0.7746969696969697,0.7753787878787879
current20,ospa30_t6,7,2,upper,S,17,8,0.71828125,0.70390625,0.7629687499999999,0.8032812500000001,0.8134374999999999,0.7629687499999999
current20,ospa30_t6,7,2,upper,B,15,7,0.7257142857142856,0.6891071428571428,0.7469642857142856,0.7021428571428572,0.7039285714285715,0.7469642857142856
current20,ospa30_t6,7,2,upper,QT,19,7,0.6947619047619048,0.6552380952380953,0.7011904761904761,0.7333333333333334,0.7003571428571428,0.7011904761904761
current20,ospa30_t6,7,2,upper,QS,2,1,0.6575,0.8025,0.7575,0.8825,0.7075,0.7575
current20,ospa30_t6,7,2,upper,QB,28,11,0.7609469696969696,0.7251136363636363,0.7753787878787879,0.7484469696969697,0.7474621212121213,0.7753787878787879
current20,ospa30_t6,7,2,upper,TS,28,11,0.7609469696969696,0.7251136363636363,0.7753787878787879,0.7675757575757576,0.7656818181818181,0.7753787878787879
current20,ospa30_t6,7,2,upper,TB,28,11,0.7609469696969696,0.7251136363636363,0.7753787878787879,0.7556439393939393,0.7730681818181818,0.7753787878787879
current20,ospa30_t6,7,2,upper,SB,22,9,0.7554629629629628,0.7068055555555556,0.7656018518518519,0.7410185185185185,0.7264814814814815,0.7656018518518519
current20,ospa30_t6,7,2,upper,QTS,25,8,0.7819270833333333,0.72953125,0.7642708333333331,0.775,0.8280208333333332,0.7642708333333331
current20,ospa30_t6,7,2,upper,QTB,28,11,0.7609469696969696,0.7251136363636363,0.7753787878787879,0.7966666666666667,0.7756060606060605,0.7753787878787879
current20,ospa30_t6,7,2,upper,QSB,24,9,0.790324074074074,0.7274999999999999,0.7739814814814815,0.7296296296296296,0.7733796296296297,0.7739814814814815
current20,ospa30_t6,7,2,upper,TSB,28,11,0.7609469696969696,0.7251136363636363,0.7753787878787879,0.7647348484848485,0.7754924242424241,0.7753787878787879
current20,ospa30_t6,7,2,upper,QTSB,28,11,0.7609469696969696,0.7251136363636363,0.7753787878787879,0.7933712121212122,0.7648106060606061,0.7753787878787879
current20,ospa30_t6,8,3,lower,T,26,11,0.419090909090909,0.3089393939393939,0.36356060606060603,0.37121212121212127,0.3598484848484848,0.36356060606060603
current20,ospa30_t6,8,3,lower,S,13,5,0.31074999999999997,0.21625,0.27775,0.217,0.45,0.27775
current20,ospa30_t6,8,3,lower,B,15,7,0.2933928571428571,0.20946428571428571,0.2469642857142857,0.27517857142857144,0.18142857142857144,0.2469642857142857
current20,ospa30_t6,8,3,lower,QT,6,1,0.2058333333333333,0.04083333333333333,0.16666666666666666,0.3333333333333333,0.09916666666666667,0.16666666666666666
current20,ospa30_t6,8,3,lower,QS,2,1,0.0,0.0,0.0,0.0,0.0,0.0
current20,ospa30_t6,8,3,lower,QB,28,11,0.3872348484848485,0.2999621212121212,0.34685606060606056,0.37799242424242424,0.3218939393939394,0.34685606060606056
current20,ospa30_t6,8,3,lower,TS,23,9,0.3066203703703704,0.2230092592592593,0.26837962962962963,0.2556944444444444,0.2725462962962963,0.26837962962962963
current20,ospa30_t6,8,3,lower,TB,28,11,0.3872348484848485,0.2999621212121212,0.34685606060606056,0.3662878787878787,0.3328030303030303,0.34685606060606056
current20,ospa30_t6,8,3,lower,SB,20,8,0.4074479166666667,0.31338541666666664,0.3619270833333333,0.3934895833333333,0.2863541666666667,0.3619270833333333
current20,ospa30_t6,8,3,lower,QTS,19,7,0.43624999999999997,0.2983928571428572,0.3569642857142857,0.37124999999999997,0.46589285714285716,0.3569642857142857
current20,ospa30_t6,8,3,lower,QTB,15,6,0.3958333333333333,0.2584722222222222,0.3101388888888889,0.3611111111111111,0.3023611111111111,0.3101388888888889
current20,ospa30_t6,8,3,lower,QSB,16,7,0.39278571428571424,0.3180714285714285,0.3553571428571428,0.37925,0.2857142857142857,0.3553571428571428
current20,ospa30_t6,8,3,lower,TSB,27,11,0.4023863636363636,0.3001893939393939,0.3501893939393939,0.3654545454545454,0.34492424242424247,0.3501893939393939
current20,ospa30_t6,8,3,lower,QTSB,27,11,0.4023863636363636,0.3001893939393939,0.3501893939393939,0.40151515151515155,0.32878787878787885,0.3501893939393939
current20,ospa30_t6,8,3,upper,T,26,11,0.5840151515151516,0.503560606060606,0.5764772727272728,0.5462121212121211,0.5512878787878788,0.5764772727272728
current20,ospa30_t6,8,3,upper,S,13,5,0.5257499999999999,0.42174999999999996,0.55625,0.4907500000000001,0.7517500000000001,0.55625
current20,ospa30_t6,8,3,upper,B,15,7,0.5028571428571429,0.41642857142857137,0.5114285714285715,0.4471428571428571,0.4780357142857143,0.5114285714285715
current20,ospa30_t6,8,3,upper,QT,6,1,0.4891666666666667,0.3433333333333333,0.4808333333333333,0.7075,0.39916666666666667,0.4808333333333333
current20,ospa30_t6,8,3,upper,QS,2,1,0.3425,0.5425,0.49749999999999994,0.645,0.38,0.49749999999999994
current20,ospa30_t6,8,3,upper,QB,28,11,0.5881060606060606,0.5128030303030303,0.5924621212121213,0.5482954545454545,0.5747348484848485,0.5924621212121213
current20,ospa30_t6,8,3,upper,TS,23,9,0.5190740740740741,0.4384259259259259,0.525925925925926,0.5351388888888888,0.4979166666666667,0.525925925925926
current20,ospa30_t6,8,3,upper,TB,28,11,0.5881060606060606,0.5128030303030303,0.5924621212121213,0.5707575757575757,0.5622727272727274,0.5924621212121213
current20,ospa30_t6,8,3,upper,SB,20,8,0.5833333333333334,0.4644791666666666,0.5704166666666667,0.529375,0.49057291666666664,0.5704166666666667
current20,ospa30_t6,8,3,upper,QTS,19,7,0.65,0.5682142857142857,0.6151785714285715,0.6019642857142857,0.7557142857142856,0.6151785714285715
current20,ospa30_t6,8,3,upper,QTB,15,6,0.5565277777777778,0.43861111111111106,0.5247222222222222,0.5718055555555556,0.4925,0.5247222222222222
current20,ospa30_t6,8,3,upper,QSB,16,7,0.5683928571428571,0.5204642857142857,0.5607142857142857,0.51225,0.5495357142857143,0.5607142857142857
current20,ospa30_t6,8,3,upper,TSB,27,11,0.5900378787878788,0.4989015151515152,0.5813257575757576,0.5867045454545455,0.5709469696969696,0.5813257575757576
current20,ospa30_t6,8,3,upper,QTSB,27,11,0.5900378787878788,0.4989015151515152,0.5813257575757576,0.6099621212121212,0.5568181818181819,0.5813257575757576
current20,ospa30_t6,10,5,lower,TS,15,7,0.3763095238095238,0.3363333333333333,0.3585238095238095,0.34126190476190477,0.3283333333333334,0.3585238095238095
current20,ospa30_t6,10,5,lower,QTS,5,2,0.6950000000000001,0.5141666666666667,0.6087499999999999,0.5183333333333333,0.75,0.6087499999999999
current20,ospa30_t6,10,5,lower,QTSB,1,1,0.0,0.025,0.0,0.0,0.05,0.0
current20,ospa30_t6,10,5,upper,TS,15,7,0.537047619047619,0.4309047619047619,0.4715,0.5657380952380953,0.4481666666666667,0.4715
current20,ospa30_t6,10,5,upper,QTS,5,2,0.79,0.7725,0.7262500000000001,0.6695833333333333,0.90375,0.7262500000000001
current20,ospa30_t6,10,5,upper,QTSB,1,1,0.035,0.025,0.045,0.08,0.05,0.045
current20,q95,7,2,lower,T,28,11,0.5196969696969697,0.36977272727272725,0.43159090909090914,0.5072727272727273,0.3832196969696971,0.43159090909090914
current20,q95,7,2,lower,S,17,8,0.464375,0.36890625,0.4128125,0.4009375,0.45125,0.4128125
current20,q95,7,2,lower,B,15,7,0.38785714285714284,0.2621428571428571,0.30214285714285716,0.31339285714285714,0.24446428571428572,0.30214285714285716
current20,q95,7,2,lower,QT,19,7,0.5092857142857142,0.2129761904761905,0.3322619047619048,0.47619047619047616,0.2755952380952381,0.3322619047619048
current20,q95,7,2,lower,QS,2,1,0.035,0.0,0.015,0.0,0.015,0.015
current20,q95,7,2,lower,QB,28,11,0.5196969696969697,0.36977272727272725,0.43159090909090914,0.44443181818181815,0.39140151515151517,0.43159090909090914
current20,q95,7,2,lower,TS,28,11,0.5196969696969697,0.36977272727272725,0.43159090909090914,0.4487878787878788,0.40268939393939396,0.43159090909090914
current20,q95,7,2,lower,TB,28,11,0.5196969696969697,0.36977272727272725,0.43159090909090914,0.5195454545454545,0.36965909090909094,0.43159090909090914
current20,q95,7,2,lower,SB,22,9,0.5757407407407408,0.3963888888888889,0.47027777777777785,0.48319444444444454,0.4228240740740741,0.47027777777777785
current20,q95,7,2,lower,QTS,25,8,0.5764583333333333,0.3515625,0.44843750000000004,0.543125,0.46484375000000006,0.44843750000000004
current20,q95,7,2,lower,QTB,28,11,0.5196969696969697,0.36977272727272725,0.43159090909090914,0.4623863636363636,0.41954545454545455,0.43159090909090914
current20,q95,7,2,lower,QSB,24,9,0.5348148148148149,0.40087962962962964,0.4564814814814815,0.4766203703703703,0.3897222222222222,0.4564814814814815
current20,q95,7,2,lower,TSB,28,11,0.5196969696969697,0.36977272727272725,0.43159090909090914,0.5125000000000001,0.38034090909090906,0.43159090909090914
current20,q95,7,2,lower,QTSB,28,11,0.5196969696969697,0.36977272727272725,0.43159090909090914,0.46284090909090914,0.4185227272727273,0.43159090909090914
current20,q95,7,2,upper,T,28,11,0.8088636363636362,0.729810606060606,0.7833712121212121,0.7914772727272726,0.7598863636363635,0.7833712121212121
current20,q95,7,2,upper,S,17,8,0.77,0.7220312499999999,0.7762500000000001,0.7968749999999999,0.78296875,0.7762500000000001
current20,q95,7,2,upper,B,15,7,0.7355357142857143,0.6880357142857143,0.7283928571428573,0.7028571428571428,0.6776785714285715,0.7283928571428573
current20,q95,7,2,upper,QT,19,7,0.7745238095238095,0.6528571428571428,0.7205952380952382,0.8236904761904762,0.6870238095238095,0.7205952380952382
current20,q95,7,2,upper,QS,2,1,0.6275,0.7625,0.69,0.8125,0.6225,0.69
current20,q95,7,2,upper,QB,28,11,0.8088636363636362,0.729810606060606,0.7833712121212121,0.7624621212121212,0.7437499999999999,0.7833712121212121
current20,q95,7,2,upper,TS,28,11,0.8088636363636362,0.729810606060606,0.7833712121212121,0.7558333333333334,0.7580681818181819,0.7833712121212121
current20,q95,7,2,upper,TB,28,11,0.8088636363636362,0.729810606060606,0.7833712121212121,0.7923484848484847,0.7575378787878789,0.7833712121212121
current20,q95,7,2,upper,SB,22,9,0.8198611111111112,0.7019907407407406,0.7768981481481482,0.7639814814814814,0.7106944444444445,0.7768981481481482
current20,q95,7,2,upper,QTS,25,8,0.8521875,0.7359895833333333,0.7865104166666668,0.8233854166666666,0.7985937500000001,0.7865104166666668
current20,q95,7,2,upper,QTB,28,11,0.8088636363636362,0.729810606060606,0.7833712121212121,0.7960227272727273,0.775,0.7833712121212121
current20,q95,7,2,upper,QSB,24,9,0.8195833333333334,0.7401851851851852,0.7727314814814815,0.7639814814814814,0.7314814814814815,0.7727314814814815
current20,q95,7,2,upper,TSB,28,11,0.8088636363636362,0.729810606060606,0.7833712121212121,0.78375,0.7620454545454546,0.7833712121212121
current20,q95,7,2,upper,QTSB,28,11,0.8088636363636362,0.729810606060606,0.7833712121212121,0.7940909090909092,0.767840909090909,0.7833712121212121
current20,q95,8,3,lower,T,26,11,0.5399242424242424,0.3653787878787879,0.4317424242424243,0.5303030303030303,0.3811363636363636,0.4317424242424243
current20,q95,8,3,lower,S,13,5,0.51625,0.3205,0.40549999999999997,0.4345,0.45949999999999996,0.40549999999999997
current20,q95,8,3,lower,B,15,7,0.3698214285714286,0.2432142857142857,0.2810714285714286,0.2933928571428571,0.21660714285714283,0.2810714285714286
current20,q95,8,3,lower,QT,6,1,0.5,0.0675,0.2675,0.5,0.17416666666666666,0.2675
current20,q95,8,3,lower,QS,2,1,0.0075,0.0,0.0075,0.0,0.005,0.0075
current20,q95,8,3,lower,QB,28,11,0.5080681818181818,0.34977272727272724,0.41159090909090906,0.42784090909090916,0.36882575757575753,0.41159090909090906
current20,q95,8,3,lower,TS,23,9,0.4543055555555556,0.26083333333333336,0.3363888888888889,0.36050925925925925,0.298287037037037,0.3363888888888889
current20,q95,8,3,lower,TB,28,11,0.5080681818181818,0.34977272727272724,0.41159090909090906,0.5063636363636363,0.3509848484848485,0.41159090909090906
current20,q95,8,3,lower,SB,20,8,0.51015625,0.34624999999999995,0.4034375,0.43953124999999993,0.31963541666666667,0.4034375
current20,q95,8,3,lower,QTS,19,7,0.5798214285714286,0.37285714285714283,0.4492857142857143,0.53,0.4780357142857143,0.4492857142857143
current20,q95,8,3,lower,QTB,15,6,0.6161111111111112,0.27875000000000005,0.3977777777777778,0.47222222222222215,0.3336111111111111,0.3977777777777778
current20,q95,8,3,lower,QSB,16,7,0.515357142857143,0.3251428571428571,0.3905,0.42960714285714285,0.31428571428571433,0.3905
current20,q95,8,3,lower,TSB,27,11,0.5232196969696971,0.35,0.4149242424242425,0.5151515151515151,0.36571969696969703,0.4149242424242425
current20,q95,8,3,lower,QTSB,27,11,0.5232196969696971,0.35,0.4149242424242425,0.46212121212121215,0.39356060606060606,0.4149242424242425
current20,q95,8,3,upper,T,26,11,0.654659090909091,0.50125,0.5845833333333332,0.6496969696969698,0.5316666666666666,0.5845833333333332
current20,q95,8,3,upper,S,13,5,0.64775,0.45975,0.6045,0.64225,0.61825,0.6045
current20,q95,8,3,upper,B,15,7,0.5305357142857142,0.4069642857142857,0.4941071428571429,0.4533928571428572,0.41000000000000003,0.4941071428571429
current20,q95,8,3,upper,QT,6,1,0.6891666666666666,0.2225,0.43583333333333335,0.6683333333333333,0.32749999999999996,0.43583333333333335
current20,q95,8,3,upper,QS,2,1,0.3325,0.45,0.40249999999999997,0.6,0.275,0.40249999999999997
current20,q95,8,3,upper,QB,28,11,0.6521969696969697,0.49954545454545446,0.5925757575757575,0.5602272727272727,0.5400757575757577,0.5925757575757575
current20,q95,8,3,upper,TS,23,9,0.6003240740740741,0.4054166666666667,0.5207870370370371,0.5265277777777778,0.46958333333333335,0.5207870370370371
current20,q95,8,3,upper,TB,28,11,0.6521969696969697,0.49954545454545446,0.5925757575757575,0.644469696969697,0.5336363636363637,0.5925757575757575
current20,q95,8,3,upper,SB,20,8,0.6338020833333333,0.45265625,0.5615104166666667,0.55859375,0.4363541666666667,0.5615104166666667
current20,q95,8,3,upper,QTS,19,7,0.7435714285714285,0.5646428571428571,0.6375000000000001,0.6905357142857144,0.6789285714285713,0.6375000000000001
