name,confirmed,undetermined,not_reached,lower,upper,reference_error
质量偏差较低组,17,1,21,0.5021830808080808,0.6585662878787878,3.303735627771798
质量偏差较高组,9,1,29,0.35430366161616167,0.5010839646464647,4.190305107934308
较快组,18,0,21,0.4886363636363636,0.6398907828282828,4.05633881353213
较慢组,8,0,31,0.3785517676767676,0.5312487373737372,4.154826314992751
全体随机组合,8,0,31,0.4164431818181819,0.5850713383838384,3.808001999339733
