cohort,config,horizon,k,bound,model,images,buildings,quality_baseline_G1,quality_baseline_G2,quality_baseline_ALL,candidate_G1,candidate_G2,candidate_ALL
all26,ospa30_t6,7,2,lower,T,55,15,0.31419603174603167,0.14664126984126985,0.2216674603174603,0.18926666666666664,0.24786428571428573,0.2216674603174603
all26,ospa30_t6,7,2,lower,S,51,13,0.3234313186813187,0.1574065934065934,0.2371804029304029,0.2031831501831502,0.2751639194139194,0.2371804029304029
all26,ospa30_t6,7,2,lower,B,1,1,0.17,0.0,0.0,0.02,0.0,0.0
all26,ospa30_t6,7,2,lower,TS,55,15,0.31419603174603167,0.14664126984126985,0.2216674603174603,0.18522539682539685,0.2520238095238095,0.2216674603174603
all26,ospa30_t6,7,2,lower,TB,38,9,0.2072248677248677,0.07903174603174604,0.14495502645502645,0.1562473544973545,0.13078042328042327,0.14495502645502645
all26,ospa30_t6,7,2,lower,SB,23,5,0.26148809523809524,0.09185714285714286,0.14953571428571427,0.21435714285714286,0.07032380952380954,0.14953571428571427
all26,ospa30_t6,7,2,lower,TSB,54,14,0.2652100340136055,0.12425850340136055,0.18607227891156458,0.1830603741496599,0.19362074829931974,0.18607227891156458
all26,ospa30_t6,7,2,upper,T,55,15,0.7535484126984127,0.7234174603174603,0.7577904761904762,0.7026706349206348,0.7864055555555556,0.7577904761904762
all26,ospa30_t6,7,2,upper,S,51,13,0.7747353479853479,0.7133021978021977,0.7542454212454213,0.7347042124542126,0.7716968864468863,0.7542454212454213
all26,ospa30_t6,7,2,upper,B,1,1,0.495,0.755,0.775,0.65,0.72,0.775
all26,ospa30_t6,7,2,upper,TS,55,15,0.7535484126984127,0.7234174603174603,0.7577904761904762,0.6823198412698412,0.7866380952380952,0.7577904761904762
all26,ospa30_t6,7,2,upper,TB,38,9,0.7587380952380952,0.7109735449735449,0.7505767195767196,0.7092962962962963,0.7678082010582011,0.7505767195767196
all26,ospa30_t6,7,2,upper,SB,23,5,0.7104119047619047,0.7519190476190476,0.7649714285714286,0.7719738095238095,0.7107666666666667,0.7649714285714286
all26,ospa30_t6,7,2,upper,TSB,54,14,0.7359447278911564,0.7304472789115647,0.7562040816326531,0.7239923469387755,0.770732993197279,0.7562040816326531
all26,ospa30_t6,8,3,lower,T,55,15,0.2961690476190476,0.12152222222222223,0.20074682539682545,0.16751825396825396,0.2306904761904762,0.20074682539682545
all26,ospa30_t6,8,3,lower,S,47,10,0.34775357142857144,0.11978333333333331,0.22795357142857148,0.16947857142857142,0.2832892857142857,0.22795357142857148
all26,ospa30_t6,8,3,lower,B,1,1,0.13,0.0,0.0,0.015,0.0,0.0
all26,ospa30_t6,8,3,lower,TS,47,14,0.3279107142857143,0.14405952380952383,0.22420238095238096,0.16238095238095235,0.26845238095238094,0.22420238095238096
all26,ospa30_t6,8,3,lower,TB,38,9,0.18463359788359787,0.055129629629629626,0.12059656084656084,0.1356574074074074,0.11238624338624341,0.12059656084656084
all26,ospa30_t6,8,3,lower,SB,16,4,0.37127976190476186,0.16041666666666665,0.23523809523809525,0.31842261904761904,0.1333035714285714,0.23523809523809525
all26,ospa30_t6,8,3,lower,TSB,54,14,0.2458954081632653,0.10341666666666664,0.1658001700680272,0.16065561224489797,0.17451870748299322,0.1658001700680272
all26,ospa30_t6,8,3,upper,T,55,15,0.5678801587301586,0.4724428571428572,0.5510563492063494,0.47354761904761905,0.5709174603174603,0.5510563492063494
all26,ospa30_t6,8,3,upper,S,47,10,0.5900702380952382,0.42074761904761904,0.5220845238095239,0.4810714285714287,0.5505428571428572,0.5220845238095239
all26,ospa30_t6,8,3,upper,B,1,1,0.215,0.405,0.465,0.26,0.38,0.465
all26,ospa30_t6,8,3,upper,TS,47,14,0.6058928571428571,0.4953214285714287,0.5730476190476191,0.4688928571428571,0.6060238095238095,0.5730476190476191
all26,ospa30_t6,8,3,upper,TB,38,9,0.535633597883598,0.4453677248677249,0.5247698412698413,0.4772923280423281,0.5213174603174604,0.5247698412698413
all26,ospa30_t6,8,3,upper,SB,16,4,0.5360714285714285,0.48095238095238096,0.5363988095238096,0.5171428571428571,0.46827380952380954,0.5363988095238096
all26,ospa30_t6,8,3,upper,TSB,54,14,0.5370144557823129,0.4794030612244899,0.5411318027210885,0.49752551020408164,0.5300365646258504,0.5411318027210885
all26,ospa30_t6,10,5,lower,T,37,12,0.35633531746031744,0.17333333333333334,0.2584464285714286,0.2130277777777778,0.2687539682539682,0.2584464285714286
all26,ospa30_t6,10,5,lower,S,23,4,0.21235416666666665,0.113625,0.1460625,0.22020833333333334,0.14410416666666667,0.1460625
all26,ospa30_t6,10,5,lower,TS,22,5,0.3640833333333333,0.24191666666666664,0.2925,0.27016666666666667,0.34174999999999994,0.2925
all26,ospa30_t6,10,5,lower,TB,28,7,0.2813367346938775,0.15904761904761905,0.22662244897959186,0.22655102040816327,0.1803877551020408,0.22662244897959186
all26,ospa30_t6,10,5,lower,TSB,42,11,0.32551839826839823,0.14669047619047618,0.22107142857142856,0.2137099567099567,0.21099891774891774,0.22107142857142856
all26,ospa30_t6,10,5,upper,T,37,12,0.519904761904762,0.38342857142857145,0.45205158730158734,0.3784503968253968,0.49518849206349197,0.45205158730158734
all26,ospa30_t6,10,5,upper,S,23,4,0.43920833333333337,0.4756458333333333,0.44216666666666665,0.49862500000000004,0.4031666666666667,0.44216666666666665
all26,ospa30_t6,10,5,upper,TS,22,5,0.5050833333333333,0.49891666666666656,0.49850000000000005,0.4215833333333333,0.5055833333333333,0.49850000000000005
all26,ospa30_t6,10,5,upper,TB,28,7,0.47031292517006806,0.3934965986394558,0.4649455782312925,0.39356122448979586,0.4996462585034013,0.4649455782312925
all26,ospa30_t6,10,5,upper,TSB,42,11,0.48048701298701296,0.3479978354978355,0.4175324675324675,0.4083495670995671,0.4130313852813853,0.4175324675324675
all26,q95,7,2,lower,T,55,15,0.3974301587301587,0.1618007936507936,0.25598095238095236,0.21877619047619046,0.27740873015873013,0.25598095238095236
all26,q95,7,2,lower,S,51,13,0.4008809523809524,0.1748983516483516,0.2763882783882784,0.21077930402930403,0.319989010989011,0.2763882783882784
all26,q95,7,2,lower,B,1,1,0.415,0.0,0.005,0.02,0.0,0.005
all26,q95,7,2,lower,TS,55,15,0.3974301587301587,0.1618007936507936,0.25598095238095236,0.22042857142857145,0.26450396825396827,0.25598095238095236
all26,q95,7,2,lower,TB,38,9,0.27909656084656087,0.09818650793650795,0.1806164021164021,0.19613492063492063,0.15144708994708997,0.1806164021164021
all26,q95,7,2,lower,SB,23,5,0.36597380952380953,0.10648571428571427,0.17804285714285717,0.2270714285714286,0.10607380952380951,0.17804285714285717
all26,q95,7,2,lower,TSB,54,14,0.3543894557823129,0.14050085034013607,0.22283673469387755,0.22242091836734693,0.20942431972789113,0.22283673469387755
all26,q95,7,2,upper,T,55,15,0.7908349206349208,0.7250174603174602,0.7594690476190474,0.7047095238095236,0.7844968253968253,0.7594690476190474
all26,q95,7,2,upper,S,51,13,0.8100659340659342,0.7152765567765567,0.7586181318681319,0.7194111721611721,0.78753663003663,0.7586181318681319
all26,q95,7,2,upper,B,1,1,0.6,0.785,0.765,0.7,0.685,0.765
all26,q95,7,2,upper,TS,55,15,0.7908349206349208,0.7250174603174602,0.7594690476190474,0.6750079365079364,0.7851349206349205,0.7594690476190474
