cohort,panel,model,config,horizon,k,comparison,bound,images,buildings,G1,ALL,G2,MIX
all26,common,B,ospa30_t6,7,2,G1|ALL,lower,1,1,0.02,0.0,,
all26,common,B,ospa30_t6,7,2,G1|ALL,upper,1,1,0.65,0.775,,
all26,common,B,ospa30_t6,7,2,G2|ALL,lower,42,13,,0.2817470862470862,0.34210547785547785,
all26,common,B,ospa30_t6,7,2,G2|ALL,upper,42,13,,0.7198432400932402,0.7659009324009324,
all26,common,B,ospa30_t6,7,2,MIX|ALL,lower,27,11,,0.25060606060606055,,0.0865909090909091
all26,common,B,ospa30_t6,7,2,MIX|ALL,upper,27,11,,0.6910606060606062,,0.607840909090909
all26,common,B,ospa30_t6,7,2,G1|G2|MIX|ALL,lower,1,1,0.02,0.0,0.0,0.0
all26,common,B,ospa30_t6,7,2,G1|G2|MIX|ALL,upper,1,1,0.65,0.775,0.72,0.88
all26,common,B,ospa30_t6,8,2,G1|ALL,lower,1,1,0.015,0.0,,
all26,common,B,ospa30_t6,8,2,G1|ALL,upper,1,1,0.26,0.45,,
all26,common,B,ospa30_t6,8,2,G2|ALL,lower,41,12,,0.281564393939394,0.34898926767676763,
all26,common,B,ospa30_t6,8,2,G2|ALL,upper,41,12,,0.5120441919191919,0.5792241161616162,
all26,common,B,ospa30_t6,8,2,MIX|ALL,lower,27,11,,0.224280303030303,,0.009318181818181817
all26,common,B,ospa30_t6,8,2,MIX|ALL,upper,27,11,,0.47068181818181826,,0.25803030303030305
all26,common,B,ospa30_t6,8,2,G1|G2|MIX|ALL,lower,1,1,0.015,0.0,0.0,0.0
all26,common,B,ospa30_t6,8,2,G1|G2|MIX|ALL,upper,1,1,0.26,0.45,0.38,0.515
all26,common,B,ospa30_t6,8,3,G1|ALL,lower,1,1,0.015,0.0,,
all26,common,B,ospa30_t6,8,3,G1|ALL,upper,1,1,0.26,0.465,,
all26,common,B,ospa30_t6,8,3,G2|ALL,lower,41,12,,0.281564393939394,0.34898926767676763,
all26,common,B,ospa30_t6,8,3,G2|ALL,upper,41,12,,0.5296483585858586,0.5933087121212121,
all26,common,B,ospa30_t6,8,3,MIX|ALL,lower,27,11,,0.224280303030303,,0.009318181818181817
all26,common,B,ospa30_t6,8,3,MIX|ALL,upper,27,11,,0.4907575757575758,,0.27397727272727274
all26,common,B,ospa30_t6,8,3,G1|G2|MIX|ALL,lower,1,1,0.015,0.0,0.0,0.0
all26,common,B,ospa30_t6,8,3,G1|G2|MIX|ALL,upper,1,1,0.26,0.465,0.38,0.52
all26,common,B,ospa30_t6,10,2,G1|ALL,lower,1,1,0.005,0.0,,
all26,common,B,ospa30_t6,10,2,G1|ALL,upper,1,1,0.015,0.045,,
all26,common,B,ospa30_t6,10,2,G2|ALL,lower,40,11,,0.281431129476584,0.3641783746556474,
all26,common,B,ospa30_t6,10,2,G2|ALL,upper,40,11,,0.38110537190082644,0.47208333333333335,
all26,common,B,ospa30_t6,10,2,MIX|ALL,lower,1,1,,0.0,,0.0
all26,common,B,ospa30_t6,10,2,MIX|ALL,upper,1,1,,0.045,,0.08
all26,common,B,ospa30_t6,10,3,G1|ALL,lower,1,1,0.005,0.0,,
all26,common,B,ospa30_t6,10,3,G1|ALL,upper,1,1,0.015,0.05,,
all26,common,B,ospa30_t6,10,3,G2|ALL,lower,40,11,,0.281431129476584,0.3641783746556474,
all26,common,B,ospa30_t6,10,3,G2|ALL,upper,40,11,,0.38922314049586776,0.4794917355371902,
all26,common,B,ospa30_t6,10,3,MIX|ALL,lower,1,1,,0.0,,0.0
all26,common,B,ospa30_t6,10,3,MIX|ALL,upper,1,1,,0.05,,0.08
all26,common,B,ospa30_t6,10,4,G1|ALL,lower,1,1,0.005,0.0,,
all26,common,B,ospa30_t6,10,4,G1|ALL,upper,1,1,0.015,0.05,,
all26,common,B,ospa30_t6,10,4,G2|ALL,lower,40,11,,0.2816997245179063,0.36421969696969697,
all26,common,B,ospa30_t6,10,4,G2|ALL,upper,40,11,,0.4064820936639118,0.4948960055096418,
all26,common,B,ospa30_t6,10,4,MIX|ALL,lower,1,1,,0.0,,0.005
all26,common,B,ospa30_t6,10,4,MIX|ALL,upper,1,1,,0.05,,0.085
all26,common,B,ospa30_t6,10,5,G1|ALL,lower,1,1,0.02,0.0,,
all26,common,B,ospa30_t6,10,5,G1|ALL,upper,1,1,0.03,0.065,,
all26,common,B,ospa30_t6,10,5,G2|ALL,lower,40,11,,0.40763636363636363,0.43601239669421493,
all26,common,B,ospa30_t6,10,5,G2|ALL,upper,40,11,,0.5609008264462809,0.591973829201102,
all26,common,B,ospa30_t6,10,5,MIX|ALL,lower,1,1,,0.0,,0.015
all26,common,B,ospa30_t6,10,5,MIX|ALL,upper,1,1,,0.065,,0.11
all26,common,B,ospa30_t6,13,2,G1|ALL,lower,1,1,0.0,0.0,,
all26,common,B,ospa30_t6,13,2,G1|ALL,upper,1,1,0.0,0.0,,
all26,common,B,ospa30_t6,13,2,G2|ALL,lower,40,11,,0.27222658402203853,0.3539304407713499,
all26,common,B,ospa30_t6,13,2,G2|ALL,upper,40,11,,0.31554201101928375,0.4038588154269972,
all26,common,B,ospa30_t6,13,2,MIX|ALL,lower,1,1,,0.0,,0.0
all26,common,B,ospa30_t6,13,2,MIX|ALL,upper,1,1,,0.0,,0.01
all26,common,B,ospa30_t6,13,3,G1|ALL,lower,1,1,0.0,0.0,,
all26,common,B,ospa30_t6,13,3,G1|ALL,upper,1,1,0.0,0.0,,
all26,common,B,ospa30_t6,13,3,G2|ALL,lower,40,11,,0.27222658402203853,0.3539304407713499,
all26,common,B,ospa30_t6,13,3,G2|ALL,upper,40,11,,0.3185440771349862,0.4072121212121212,
all26,common,B,ospa30_t6,13,3,MIX|ALL,lower,1,1,,0.0,,0.0
all26,common,B,ospa30_t6,13,3,MIX|ALL,upper,1,1,,0.0,,0.01
all26,common,B,ospa30_t6,13,4,G1|ALL,lower,1,1,0.0,0.0,,
all26,common,B,ospa30_t6,13,4,G1|ALL,upper,1,1,0.0,0.0,,
all26,common,B,ospa30_t6,13,4,G2|ALL,lower,40,11,,0.27222658402203853,0.3539304407713499,
all26,common,B,ospa30_t6,13,4,G2|ALL,upper,40,11,,0.32899999999999996,0.41712327823691453,
all26,common,B,ospa30_t6,13,4,MIX|ALL,lower,1,1,,0.0,,0.0
all26,common,B,ospa30_t6,13,4,MIX|ALL,upper,1,1,,0.0,,0.01
all26,common,B,ospa30_t6,13,5,G1|ALL,lower,1,1,0.0,0.0,,
all26,common,B,ospa30_t6,13,5,G1|ALL,upper,1,1,0.0,0.0,,
all26,common,B,ospa30_t6,13,5,G2|ALL,lower,40,11,,0.27222658402203853,0.3539304407713499,
all26,common,B,ospa30_t6,13,5,G2|ALL,upper,40,11,,0.34747038567493116,0.4353285123966943,
all26,common,B,ospa30_t6,13,5,MIX|ALL,lower,1,1,,0.0,,0.0
all26,common,B,ospa30_t6,13,5,MIX|ALL,upper,1,1,,0.0,,0.01
all26,common,B,ospa30_t6,13,6,G1|ALL,lower,1,1,0.0,0.0,,
all26,common,B,ospa30_t6,13,6,G1|ALL,upper,1,1,0.0,0.0,,
all26,common,B,ospa30_t6,13,6,G2|ALL,lower,40,11,,0.3985909090909091,0.4148863636363636,
all26,common,B,ospa30_t6,13,6,G2|ALL,upper,40,11,,0.49804476584022034,0.5182348484848486,
all26,common,B,ospa30_t6,13,6,MIX|ALL,lower,1,1,,0.0,,0.0
all26,common,B,ospa30_t6,13,6,MIX|ALL,upper,1,1,,0.0,,0.01
all26,common,B,ospa30_t6,13,7,G1|ALL,lower,1,1,0.005,0.0,,
all26,common,B,ospa30_t6,13,7,G1|ALL,upper,1,1,0.005,0.0,,
all26,common,B,ospa30_t6,13,7,G2|ALL,lower,40,11,,0.4149634986225896,0.42903925619834715,
all26,common,B,ospa30_t6,13,7,G2|ALL,upper,40,11,,0.5364820936639118,0.5535902203856748,
all26,common,B,ospa30_t6,13,7,MIX|ALL,lower,1,1,,0.0,,0.0
all26,common,B,ospa30_t6,13,7,MIX|ALL,upper,1,1,,0.0,,0.02
all26,common,B,ospa30_t6,13,8,G1|ALL,lower,1,1,0.02,0.025,,
all26,common,B,ospa30_t6,13,8,G1|ALL,upper,1,1,0.02,0.03,,
all26,common,B,ospa30_t6,13,8,G2|ALL,lower,40,11,,0.48354476584022044,0.4908044077134987,
all26,common,B,ospa30_t6,13,8,G2|ALL,upper,40,11,,0.6300316804407713,0.639793388429752,
all26,common,B,ospa30_t6,13,8,MIX|ALL,lower,1,1,,0.025,,0.02
all26,common,B,ospa30_t6,13,8,MIX|ALL,upper,1,1,,0.03,,0.05
all26,common,B,q95,7,2,G1|ALL,lower,1,1,0.02,0.005,,
all26,common,B,q95,7,2,G1|ALL,upper,1,1,0.7,0.765,,
all26,common,B,q95,7,2,G2|ALL,lower,42,13,,0.3199726107226107,0.3838356643356644,
all26,common,B,q95,7,2,G2|ALL,upper,42,13,,0.7159481351981352,0.7614854312354312,
all26,common,B,q95,7,2,MIX|ALL,lower,27,11,,0.32015151515151513,,0.1274242424242424
all26,common,B,q95,7,2,MIX|ALL,upper,27,11,,0.7032954545454546,,0.6043939393939394
all26,common,B,q95,7,2,G1|G2|MIX|ALL,lower,1,1,0.02,0.005,0.0,0.0
all26,common,B,q95,7,2,G1|G2|MIX|ALL,upper,1,1,0.7,0.765,0.685,0.805
all26,common,B,q95,8,2,G1|ALL,lower,1,1,0.015,0.005,,
all26,common,B,q95,8,2,G1|ALL,upper,1,1,0.41,0.445,,
all26,common,B,q95,8,2,G2|ALL,lower,41,12,,0.3233137626262626,0.396701388888889,
all26,common,B,q95,8,2,G2|ALL,upper,41,12,,0.5181483585858585,0.5798314393939393,
all26,common,B,q95,8,2,MIX|ALL,lower,27,11,,0.29522727272727267,,0.030000000000000002
all26,common,B,q95,8,2,MIX|ALL,upper,27,11,,0.4911742424242424,,0.2536363636363636
all26,common,B,q95,8,2,G1|G2|MIX|ALL,lower,1,1,0.015,0.005,0.0,0.0
all26,common,B,q95,8,2,G1|G2|MIX|ALL,upper,1,1,0.41,0.445,0.295,0.47
all26,common,B,q95,8,3,G1|ALL,lower,1,1,0.015,0.005,,
all26,common,B,q95,8,3,G1|ALL,upper,1,1,0.43,0.46,,
all26,common,B,q95,8,3,G2|ALL,lower,41,12,,0.3233137626262626,0.396701388888889,
all26,common,B,q95,8,3,G2|ALL,upper,41,12,,0.5320157828282828,0.5917948232323232,
all26,common,B,q95,8,3,MIX|ALL,lower,27,11,,0.29522727272727267,,0.030000000000000002
all26,common,B,q95,8,3,MIX|ALL,upper,27,11,,0.5004545454545454,,0.2648484848484849
all26,common,B,q95,8,3,G1|G2|MIX|ALL,lower,1,1,0.015,0.005,0.0,0.0
all26,common,B,q95,8,3,G1|G2|MIX|ALL,upper,1,1,0.43,0.46,0.295,0.48
all26,common,B,q95,10,2,G1|ALL,lower,1,1,0.005,0.0,,
all26,common,B,q95,10,2,G1|ALL,upper,1,1,0.29,0.195,,
all26,common,B,q95,10,2,G2|ALL,lower,40,11,,0.3235730027548209,0.4139600550964188,
all26,common,B,q95,10,2,G2|ALL,upper,40,11,,0.39338085399449035,0.47849380165289257,
all26,common,B,q95,10,2,MIX|ALL,lower,1,1,,0.0,,0.0
all26,common,B,q95,10,2,MIX|ALL,upper,1,1,,0.195,,0.185
all26,common,B,q95,10,3,G1|ALL,lower,1,1,0.005,0.0,,
all26,common,B,q95,10,3,G1|ALL,upper,1,1,0.31,0.21,,
all26,common,B,q95,10,3,G2|ALL,lower,40,11,,0.3235730027548209,0.4139600550964188,
all26,common,B,q95,10,3,G2|ALL,upper,40,11,,0.39783746556473837,0.48277617079889806,
all26,common,B,q95,10,3,MIX|ALL,lower,1,1,,0.0,,0.0
all26,common,B,q95,10,3,MIX|ALL,upper,1,1,,0.21,,0.195
all26,common,B,q95,10,4,G1|ALL,lower,1,1,0.005,0.0,,
all26,common,B,q95,10,4,G1|ALL,upper,1,1,0.355,0.26,,
all26,common,B,q95,10,4,G2|ALL,lower,40,11,,0.32384159779614324,0.4139600550964188,
all26,common,B,q95,10,4,G2|ALL,upper,40,11,,0.40845936639118463,0.490659779614325,
all26,common,B,q95,10,4,MIX|ALL,lower,1,1,,0.0,,0.005
all26,common,B,q95,10,4,MIX|ALL,upper,1,1,,0.26,,0.23
all26,common,B,q95,10,5,G1|ALL,lower,1,1,0.015,0.005,,
all26,common,B,q95,10,5,G1|ALL,upper,1,1,0.415,0.275,,
all26,common,B,q95,10,5,G2|ALL,lower,40,11,,0.46178925619834704,0.49627754820936654,
all26,common,B,q95,10,5,G2|ALL,upper,40,11,,0.5638436639118458,0.585818870523416,
all26,common,B,q95,10,5,MIX|ALL,lower,1,1,,0.005,,0.015
all26,common,B,q95,10,5,MIX|ALL,upper,1,1,,0.275,,0.25
all26,common,B,q95,13,2,G1|ALL,lower,1,1,0.0,0.0,,
all26,common,B,q95,13,2,G1|ALL,upper,1,1,0.285,0.195,,
all26,common,B,q95,13,2,G2|ALL,lower,40,11,,0.3125571625344353,0.4038808539944904,
all26,common,B,q95,13,2,G2|ALL,upper,40,11,,0.3494910468319559,0.4335826446280992,
all26,common,B,q95,13,2,MIX|ALL,lower,1,1,,0.0,,0.0
all26,common,B,q95,13,2,MIX|ALL,upper,1,1,,0.195,,0.17
all26,common,B,q95,13,3,G1|ALL,lower,1,1,0.0,0.0,,
all26,common,B,q95,13,3,G1|ALL,upper,1,1,0.305,0.21,,
all26,common,B,q95,13,3,G2|ALL,lower,40,11,,0.3125571625344353,0.4038808539944904,
all26,common,B,q95,13,3,G2|ALL,upper,40,11,,0.3512968319559229,0.435198347107438,
all26,common,B,q95,13,3,MIX|ALL,lower,1,1,,0.0,,0.0
all26,common,B,q95,13,3,MIX|ALL,upper,1,1,,0.21,,0.18
all26,common,B,q95,13,4,G1|ALL,lower,1,1,0.0,0.0,,
all26,common,B,q95,13,4,G1|ALL,upper,1,1,0.35,0.26,,
all26,common,B,q95,13,4,G2|ALL,lower,40,11,,0.3125571625344353,0.4038808539944904,
all26,common,B,q95,13,4,G2|ALL,upper,40,11,,0.35747038567493117,0.4400303030303029,
all26,common,B,q95,13,4,MIX|ALL,lower,1,1,,0.0,,0.0
all26,common,B,q95,13,4,MIX|ALL,upper,1,1,,0.26,,0.21
all26,common,B,q95,13,5,G1|ALL,lower,1,1,0.0,0.0,,
all26,common,B,q95,13,5,G1|ALL,upper,1,1,0.4,0.27,,
all26,common,B,q95,13,5,G2|ALL,lower,40,11,,0.3125571625344353,0.4038808539944904,
all26,common,B,q95,13,5,G2|ALL,upper,40,11,,0.367297520661157,0.4464290633608815,
all26,common,B,q95,13,5,MIX|ALL,lower,1,1,,0.0,,0.0
all26,common,B,q95,13,5,MIX|ALL,upper,1,1,,0.27,,0.22
all26,common,B,q95,13,6,G1|ALL,lower,1,1,0.0,0.0,,
all26,common,B,q95,13,6,G1|ALL,upper,1,1,0.495,0.29,,
all26,common,B,q95,13,6,G2|ALL,lower,40,11,,0.4533415977961432,0.4778719008264462,
all26,common,B,q95,13,6,G2|ALL,upper,40,11,,0.5197396694214876,0.5312596418732781,
all26,common,B,q95,13,6,MIX|ALL,lower,1,1,,0.0,,0.0
all26,common,B,q95,13,6,MIX|ALL,upper,1,1,,0.29,,0.255
all26,common,B,q95,13,7,G1|ALL,lower,1,1,0.005,0.0,,
all26,common,B,q95,13,7,G1|ALL,upper,1,1,0.58,0.34,,
all26,common,B,q95,13,7,G2|ALL,lower,40,11,,0.476202479338843,0.49515977961432506,
all26,common,B,q95,13,7,G2|ALL,upper,40,11,,0.5544683195592287,0.5604600550964188,
all26,common,B,q95,13,7,MIX|ALL,lower,1,1,,0.0,,0.0
all26,common,B,q95,13,7,MIX|ALL,upper,1,1,,0.34,,0.295
all26,common,B,q95,13,8,G1|ALL,lower,1,1,0.015,0.03,,
all26,common,B,q95,13,8,G1|ALL,upper,1,1,0.67,0.42,,
all26,common,B,q95,13,8,G2|ALL,lower,40,11,,0.5633477961432506,0.5777995867768595,
all26,common,B,q95,13,8,G2|ALL,upper,40,11,,0.654366391184573,0.6550702479338845,
all26,common,B,q95,13,8,MIX|ALL,lower,1,1,,0.03,,0.06
all26,common,B,q95,13,8,MIX|ALL,upper,1,1,,0.42,,0.39
all26,common,Q_median2,ospa30_t6,7,2,G1|ALL,lower,41,12,0.433070707070707,0.3052260101010101,,
all26,common,Q_median2,ospa30_t6,7,2,G1|ALL,upper,41,12,0.7526931818181818,0.7269135101010101,,
all26,common,Q_median2,ospa30_t6,7,2,G2|ALL,lower,41,12,,0.3052260101010101,0.19970202020202021,
all26,common,Q_median2,ospa30_t6,7,2,G2|ALL,upper,41,12,,0.7269135101010101,0.6700719696969696,
all26,common,Q_median2,ospa30_t6,7,2,MIX|ALL,lower,41,12,,0.3052260101010101,,0.3022196969696969
all26,common,Q_median2,ospa30_t6,7,2,MIX|ALL,upper,41,12,,0.7269135101010101,,0.7494728535353535
all26,common,Q_median2,ospa30_t6,7,2,G1|G2|MIX|ALL,lower,41,12,0.433070707070707,0.3052260101010101,0.19970202020202021,0.3022196969696969
all26,common,Q_median2,ospa30_t6,7,2,G1|G2|MIX|ALL,upper,41,12,0.7526931818181818,0.7269135101010101,0.6700719696969696,0.7494728535353535
all26,common,Q_median2,ospa30_t6,8,2,G1|ALL,lower,41,12,0.4195044191919192,0.281564393939394,,
all26,common,Q_median2,ospa30_t6,8,2,G1|ALL,upper,41,12,0.5723901515151515,0.5120441919191919,,
all26,common,Q_median2,ospa30_t6,8,2,G2|ALL,lower,41,12,,0.281564393939394,0.1659614898989899,
all26,common,Q_median2,ospa30_t6,8,2,G2|ALL,upper,41,12,,0.5120441919191919,0.3998655303030303,
all26,common,Q_median2,ospa30_t6,8,2,MIX|ALL,lower,41,12,,0.281564393939394,,0.28136805555555555
all26,common,Q_median2,ospa30_t6,8,2,MIX|ALL,upper,41,12,,0.5120441919191919,,0.5156098484848485
all26,common,Q_median2,ospa30_t6,8,2,G1|G2|MIX|ALL,lower,41,12,0.4195044191919192,0.281564393939394,0.1659614898989899,0.28136805555555555
all26,common,Q_median2,ospa30_t6,8,2,G1|G2|MIX|ALL,upper,41,12,0.5723901515151515,0.5120441919191919,0.3998655303030303,0.5156098484848485
all26,common,Q_median2,ospa30_t6,8,3,G1|ALL,lower,41,12,0.4195044191919192,0.281564393939394,,
all26,common,Q_median2,ospa30_t6,8,3,G1|ALL,upper,41,12,0.5896893939393939,0.5296483585858586,,
all26,common,Q_median2,ospa30_t6,8,3,G2|ALL,lower,41,12,,0.281564393939394,0.1659614898989899,
all26,common,Q_median2,ospa30_t6,8,3,G2|ALL,upper,41,12,,0.5296483585858586,0.4094640151515152,
all26,common,Q_median2,ospa30_t6,8,3,MIX|ALL,lower,41,12,,0.281564393939394,,0.28136805555555555
all26,common,Q_median2,ospa30_t6,8,3,MIX|ALL,upper,41,12,,0.5296483585858586,,0.5307714646464646
all26,common,Q_median2,ospa30_t6,8,3,G1|G2|MIX|ALL,lower,41,12,0.4195044191919192,0.281564393939394,0.1659614898989899,0.28136805555555555
all26,common,Q_median2,ospa30_t6,8,3,G1|G2|MIX|ALL,upper,41,12,0.5896893939393939,0.5296483585858586,0.4094640151515152,0.5307714646464646
all26,common,Q_median2,ospa30_t6,10,2,G1|ALL,lower,39,11,0.39043732782369145,0.23597658402203858,,
all26,common,Q_median2,ospa30_t6,10,2,G1|ALL,upper,39,11,0.4442265840220385,0.33360537190082645,,
all26,common,Q_median2,ospa30_t6,10,2,G2|ALL,lower,41,12,,0.2579785353535353,0.14057891414141413,
all26,common,Q_median2,ospa30_t6,10,2,G2|ALL,upper,41,12,,0.3530965909090909,0.23311426767676766,
all26,common,Q_median2,ospa30_t6,10,2,MIX|ALL,lower,41,12,,0.2579785353535353,,0.25772537878787877
all26,common,Q_median2,ospa30_t6,10,2,MIX|ALL,upper,41,12,,0.3530965909090909,,0.3521016414141414
all26,common,Q_median2,ospa30_t6,10,2,G1|G2|MIX|ALL,lower,39,11,0.39043732782369145,0.23597658402203858,0.10790426997245178,0.23570041322314045
all26,common,Q_median2,ospa30_t6,10,2,G1|G2|MIX|ALL,upper,39,11,0.4442265840220385,0.33360537190082645,0.20544283746556474,0.33070179063360877
all26,common,Q_median2,ospa30_t6,10,3,G1|ALL,lower,39,11,0.39043732782369145,0.23597658402203858,,
all26,common,Q_median2,ospa30_t6,10,3,G1|ALL,upper,39,11,0.4510179063360882,0.33945041322314046,,
all26,common,Q_median2,ospa30_t6,10,3,G2|ALL,lower,41,12,,0.2579785353535353,0.14057891414141413,
all26,common,Q_median2,ospa30_t6,10,3,G2|ALL,upper,41,12,,0.3609545454545455,0.23805492424242422,
all26,common,Q_median2,ospa30_t6,10,3,MIX|ALL,lower,41,12,,0.2579785353535353,,0.25772537878787877
all26,common,Q_median2,ospa30_t6,10,3,MIX|ALL,upper,41,12,,0.3609545454545455,,0.3599842171717172
all26,common,Q_median2,ospa30_t6,10,3,G1|G2|MIX|ALL,lower,39,11,0.39043732782369145,0.23597658402203858,0.10790426997245178,0.23570041322314045
all26,common,Q_median2,ospa30_t6,10,3,G1|G2|MIX|ALL,upper,39,11,0.4510179063360882,0.33945041322314046,0.20992355371900828,0.33748278236914603
all26,common,Q_median2,ospa30_t6,10,4,G1|ALL,lower,39,11,0.3918009641873278,0.23624517906336087,,
all26,common,Q_median2,ospa30_t6,10,4,G1|ALL,upper,39,11,0.4637630853994491,0.3528457300275482,,
all26,common,Q_median2,ospa30_t6,10,4,G2|ALL,lower,41,12,,0.25822474747474744,0.14057891414141413,
all26,common,Q_median2,ospa30_t6,10,4,G2|ALL,upper,41,12,,0.3767752525252525,0.2548983585858586,
all26,common,Q_median2,ospa30_t6,10,4,MIX|ALL,lower,41,12,,0.25822474747474744,,0.25897537878787874
all26,common,Q_median2,ospa30_t6,10,4,MIX|ALL,upper,41,12,,0.3767752525252525,,0.3772064393939394
all26,common,Q_median2,ospa30_t6,10,4,G1|G2|MIX|ALL,lower,39,11,0.3918009641873278,0.23624517906336087,0.10790426997245178,0.23706404958677682
all26,common,Q_median2,ospa30_t6,10,4,G1|G2|MIX|ALL,upper,39,11,0.4637630853994491,0.3528457300275482,0.2267073002754821,0.3510433884297521
all26,common,Q_median2,ospa30_t6,10,5,G1|ALL,lower,39,11,0.4768181818181819,0.36218181818181816,,
all26,common,Q_median2,ospa30_t6,10,5,G1|ALL,upper,39,11,0.565314738292011,0.503400826446281,,
all26,common,Q_median2,ospa30_t6,10,5,G2|ALL,lower,41,12,,0.37366666666666665,0.2790119949494949,
all26,common,Q_median2,ospa30_t6,10,5,G2|ALL,upper,41,12,,0.5195757575757575,0.41653724747474746,
all26,common,Q_median2,ospa30_t6,10,5,MIX|ALL,lower,41,12,,0.37366666666666665,,0.37044886363636365
all26,common,Q_median2,ospa30_t6,10,5,MIX|ALL,upper,41,12,,0.5195757575757575,,0.5175801767676768
all26,common,Q_median2,ospa30_t6,10,5,G1|G2|MIX|ALL,lower,39,11,0.4768181818181819,0.36218181818181816,0.2589221763085399,0.35844421487603306
all26,common,Q_median2,ospa30_t6,10,5,G1|G2|MIX|ALL,upper,39,11,0.565314738292011,0.503400826446281,0.4012224517906336,0.49895110192837483
all26,common,Q_median2,ospa30_t6,13,2,MIX|ALL,lower,41,12,,0.24954103535353533,,0.24798169191919195
all26,common,Q_median2,ospa30_t6,13,2,MIX|ALL,upper,41,12,,0.2892468434343434,,0.286376893939394
all26,common,Q_median2,ospa30_t6,13,3,MIX|ALL,lower,41,12,,0.24954103535353533,,0.24798169191919195
all26,common,Q_median2,ospa30_t6,13,3,MIX|ALL,upper,41,12,,0.2919987373737374,,0.2912013888888889
all26,common,Q_median2,ospa30_t6,13,4,MIX|ALL,lower,41,12,,0.24954103535353533,,0.24798169191919195
all26,common,Q_median2,ospa30_t6,13,4,MIX|ALL,upper,41,12,,0.3015833333333333,,0.3007664141414142
all26,common,Q_median2,ospa30_t6,13,5,MIX|ALL,lower,41,12,,0.24954103535353533,,0.24798169191919195
all26,common,Q_median2,ospa30_t6,13,5,MIX|ALL,upper,41,12,,0.31851452020202026,,0.318810606060606
all26,common,Q_median2,ospa30_t6,13,6,MIX|ALL,lower,41,12,,0.365375,,0.3605517676767677
all26,common,Q_median2,ospa30_t6,13,6,MIX|ALL,upper,41,12,,0.4565410353535353,,0.45145959595959595
all26,common,Q_median2,ospa30_t6,13,7,MIX|ALL,lower,41,12,,0.3803832070707071,,0.3776729797979798
all26,common,Q_median2,ospa30_t6,13,7,MIX|ALL,upper,41,12,,0.4917752525252525,,0.49227083333333327
all26,common,Q_median2,ospa30_t6,13,8,MIX|ALL,lower,41,12,,0.4453327020202021,,0.43813005050505044
all26,common,Q_median2,ospa30_t6,13,8,MIX|ALL,upper,41,12,,0.5800290404040404,,0.5842771464646465
all26,common,Q_median2,ospa30_t6,22,2,MIX|ALL,lower,11,5,,0.10600000000000001,,0.1143
all26,common,Q_median2,ospa30_t6,22,2,MIX|ALL,upper,11,5,,0.10789999999999997,,0.11710000000000001
all26,common,Q_median2,ospa30_t6,22,3,MIX|ALL,lower,11,5,,0.10600000000000001,,0.1143
all26,common,Q_median2,ospa30_t6,22,3,MIX|ALL,upper,11,5,,0.10839999999999998,,0.11710000000000001
all26,common,Q_median2,ospa30_t6,22,4,MIX|ALL,lower,11,5,,0.10600000000000001,,0.1143
all26,common,Q_median2,ospa30_t6,22,4,MIX|ALL,upper,11,5,,0.1091,,0.1176
all26,common,Q_median2,ospa30_t6,22,5,MIX|ALL,lower,11,5,,0.10600000000000001,,0.1143
all26,common,Q_median2,ospa30_t6,22,5,MIX|ALL,upper,11,5,,0.11079999999999998,,0.11950000000000001
all26,common,Q_median2,ospa30_t6,22,6,MIX|ALL,lower,11,5,,0.10600000000000001,,0.1143
all26,common,Q_median2,ospa30_t6,22,6,MIX|ALL,upper,11,5,,0.11359999999999999,,0.1227
all26,common,Q_median2,ospa30_t6,22,7,MIX|ALL,lower,11,5,,0.22680000000000003,,0.24040000000000003
all26,common,Q_median2,ospa30_t6,22,7,MIX|ALL,upper,11,5,,0.23710000000000003,,0.25270000000000004
all26,common,Q_median2,ospa30_t6,22,8,MIX|ALL,lower,11,5,,0.2432,,0.2542
all26,common,Q_median2,ospa30_t6,22,8,MIX|ALL,upper,11,5,,0.25670000000000004,,0.27
all26,common,Q_median2,ospa30_t6,22,9,MIX|ALL,lower,11,5,,0.26199999999999996,,0.26599999999999996
all26,common,Q_median2,ospa30_t6,22,9,MIX|ALL,upper,11,5,,0.2827,,0.2859
all26,common,Q_median2,ospa30_t6,22,10,MIX|ALL,lower,11,5,,0.26999999999999996,,0.275
all26,common,Q_median2,ospa30_t6,22,10,MIX|ALL,upper,11,5,,0.2960999999999999,,0.2974
all26,common,Q_median2,ospa30_t6,22,11,MIX|ALL,lower,11,5,,0.33799999999999997,,0.3355
all26,common,Q_median2,ospa30_t6,22,11,MIX|ALL,upper,11,5,,0.3677,,0.36429999999999996
all26,common,Q_median2,ospa30_t6,22,12,MIX|ALL,lower,11,5,,0.3447,,0.346
all26,common,Q_median2,ospa30_t6,22,12,MIX|ALL,upper,11,5,,0.3812,,0.38029999999999997
all26,common,Q_median2,ospa30_t6,22,13,MIX|ALL,lower,11,5,,0.3553,,0.35869999999999996
all26,common,Q_median2,ospa30_t6,22,13,MIX|ALL,upper,11,5,,0.3965,,0.40119999999999995
all26,common,Q_median2,ospa30_t6,22,14,MIX|ALL,lower,11,5,,0.372,,0.3741
all26,common,Q_median2,ospa30_t6,22,14,MIX|ALL,upper,11,5,,0.4196000000000001,,0.42329999999999995
all26,common,Q_median2,ospa30_t6,22,15,MIX|ALL,lower,11,5,,0.3941,,0.3886
