cohort,config,horizon,k,bound,model,images,buildings,quality_baseline_G1,quality_baseline_G2,quality_baseline_ALL,candidate_G1,candidate_G2,candidate_ALL
all26,ospa30_t6,7,2,lower,T,41,12,0.433070707070707,0.19970202020202021,0.3052260101010101,0.23690151515151514,0.372834595959596,0.3052260101010101
all26,ospa30_t6,7,2,lower,S,39,10,0.40268484848484853,0.19364242424242425,0.29427121212121216,0.21257348484848487,0.37081969696969697,0.29427121212121216
all26,ospa30_t6,7,2,lower,B,1,1,0.17,0.0,0.0,0.02,0.0,0.0
all26,ospa30_t6,7,2,lower,TS,41,12,0.433070707070707,0.19970202020202021,0.3052260101010101,0.22520770202020202,0.37814078282828284,0.3052260101010101
all26,ospa30_t6,7,2,lower,TB,26,6,0.28121085858585854,0.10023737373737374,0.1939936868686869,0.178510101010101,0.2155871212121212,0.1939936868686869
all26,ospa30_t6,7,2,lower,SB,18,5,0.28231666666666666,0.0978,0.16105,0.23689999999999997,0.07416666666666667,0.16105
all26,ospa30_t6,7,2,lower,TSB,40,11,0.38153168044077135,0.17603856749311297,0.2675192837465565,0.2299538567493113,0.3195661157024793,0.2675192837465565
all26,ospa30_t6,7,2,upper,T,41,12,0.7526931818181818,0.6700719696969696,0.7269135101010101,0.6647209595959597,0.7879482323232323,0.7269135101010101
all26,ospa30_t6,7,2,upper,S,39,10,0.7537318181818181,0.6660863636363636,0.7167962121212121,0.6718651515151515,0.7598613636363637,0.7167962121212121
all26,ospa30_t6,7,2,upper,B,1,1,0.495,0.755,0.775,0.65,0.72,0.775
all26,ospa30_t6,7,2,upper,TS,41,12,0.7526931818181818,0.6700719696969696,0.7269135101010101,0.6501534090909091,0.7844299242424243,0.7269135101010101
all26,ospa30_t6,7,2,upper,TB,26,6,0.7157335858585858,0.6311161616161616,0.6863270202020203,0.6587979797979798,0.7284330808080809,0.6863270202020203
all26,ospa30_t6,7,2,upper,SB,18,5,0.7136833333333333,0.7507333333333334,0.7601,0.7765166666666665,0.7037666666666667,0.7601
all26,ospa30_t6,7,2,upper,TSB,40,11,0.7302107438016529,0.6741694214876033,0.7220874655647384,0.6901522038567495,0.7649931129476585,0.7220874655647384
all26,ospa30_t6,8,3,lower,T,41,12,0.4195044191919192,0.1659614898989899,0.281564393939394,0.20739962121212122,0.3551736111111112,0.281564393939394
all26,ospa30_t6,8,3,lower,S,37,9,0.37822811447811444,0.12405976430976431,0.2431969696969697,0.12962037037037036,0.3349579124579124,0.2431969696969697
all26,ospa30_t6,8,3,lower,B,1,1,0.13,0.0,0.0,0.015,0.0,0.0
all26,ospa30_t6,8,3,lower,TS,35,12,0.416657196969697,0.18128787878787878,0.286126893939394,0.1612689393939394,0.3773863636363637,0.286126893939394
